"fold","index","original_test_index"
1,117,592
1,7,33
1,139,693
1,119,595
1,59,292
1,108,563
1,113,580
1,27,117
1,94,489
1,65,353
1,18,64
1,130,643
1,142,704
1,144,708
1,84,452
1,133,658
1,12,46
1,68,363
1,33,159
1,55,266
1,20,79
1,97,501
1,3,17
1,98,504
1,51,248
1,132,654
1,110,570
1,131,648
1,28,119
1,105,540
1,127,628
1,148,735
1,129,639
1,29,135
1,74,383
1,83,451
1,62,335
1,109,567
1,11,44
1,40,186
1,71,377
1,145,714
1,95,492
1,10,39
1,100,515
1,121,607
1,104,539
1,146,720
1,79,413
1,58,281
1,32,158
1,53,263
1,64,349
1,134,660
1,72,378
1,48,243
1,149,737
1,19,77
1,36,170
1,67,362
1,44,204
1,77,406
1,24,98
1,76,395
1,122,608
1,45,217
1,123,615
1,92,480
1,14,50
1,15,54
1,90,473
1,9,37
1,47,237
1,69,373
1,6,28
1,38,176
1,57,277
1,34,161
1,21,86
1,8,36
1,70,376
1,37,173
1,61,300
1,16,55
1,93,482
1,50,247
1,63,336
1,31,137
1,120,599
1,52,256
1,141,702
1,88,471
1,17,60
1,46,225
1,43,201
1,124,618
1,116,591
1,101,517
1,66,360
1,85,456
1,26,105
1,89,472
1,80,427
1,140,699
1,23,95
1,111,571
1,86,465
1,49,244
1,56,269
1,81,428
1,4,18
1,13,47
1,82,445
1,25,101
1,137,681
1,102,519
1,150,738
1,5,23
1,75,385
1,73,382
1,2,8
1,91,476
1,42,195
1,1,4
1,135,669
1,22,89
1,106,541
1,143,705
1,103,526
1,107,562
1,136,675
1,96,495
1,115,590
1,54,264
1,112,572
1,114,587
1,99,506
1,39,183
1,147,733
1,78,408
1,30,136
1,41,187
1,125,620
1,87,468
1,35,163
1,118,593
1,126,622
1,138,688
1,60,299
1,128,638
2,29,123
2,45,199
2,109,549
2,8,30
2,93,431
2,128,642
2,4,15
2,150,747
2,118,585
2,52,245
2,24,106
2,61,275
2,71,318
2,83,374
2,16,57
2,106,533
2,138,710
2,85,384
2,47,209
2,127,641
2,35,143
2,21,83
2,113,559
2,139,715
2,66,295
2,95,440
2,18,63
2,86,386
2,60,274
2,125,621
2,130,652
2,42,190
2,82,372
2,129,651
2,107,538
2,69,312
2,123,609
2,72,319
2,100,470
2,57,257
2,146,730
2,67,297
2,79,367
2,141,718
2,119,588
2,89,414
2,112,557
2,114,575
2,104,514
2,33,130
2,143,727
2,54,251
2,43,196
2,68,303
2,23,99
2,25,108
2,39,151
2,40,188
2,121,597
2,73,320
2,88,403
2,28,122
2,94,434
2,96,444
2,32,126
2,65,293
2,80,368
2,78,358
2,148,741
2,19,81
2,81,369
2,7,25
2,15,56
2,27,121
2,92,425
2,38,147
2,131,661
2,76,352
2,1,2
2,116,582
2,56,255
2,74,323
2,75,350
2,62,282
2,58,267
2,97,449
2,101,485
2,115,577
2,31,125
2,13,49
2,17,62
2,51,239
2,117,583
2,64,290
2,149,744
2,55,252
2,133,680
2,6,22
2,53,250
2,147,736
2,44,197
2,41,189
2,122,598
2,110,554
2,87,399
2,2,9
2,11,42
2,5,16
2,14,53
2,50,229
2,63,284
2,140,717
2,132,662
2,10,41
2,34,141
2,144,728
2,48,211
2,90,419
2,98,450
2,20,82
2,37,146
2,77,355
2,70,314
2,134,689
2,111,556
2,84,380
2,145,729
2,124,617
2,49,219
2,46,205
2,142,725
2,91,421
2,126,635
2,3,14
2,22,92
2,136,703
2,135,695
2,103,496
2,59,271
2,108,545
2,30,124
2,12,43
2,120,594
2,105,522
2,137,709
2,102,487
2,9,40
2,99,453
2,26,112
2,36,145
3,128,644
3,35,212
3,53,308
3,96,479
3,145,721
3,30,169
3,46,273
3,123,627
3,82,429
3,48,279
3,50,283
3,45,272
3,100,516
3,89,447
3,88,446
3,6,38
3,43,242
3,91,455
3,84,432
3,93,463
3,98,507
3,11,69
3,66,345
3,133,672
3,109,547
3,15,102
3,122,614
3,78,396
3,140,690
3,137,684
3,21,134
3,67,346
3,76,392
3,116,569
3,27,154
3,135,682
3,38,230
3,147,724
3,102,523
3,86,436
3,126,637
3,111,551
3,94,474
3,146,723
3,105,531
3,72,381
3,14,90
3,108,543
3,62,339
3,80,415
3,130,656
3,85,433
3,87,439
3,29,168
3,77,394
3,69,348
3,34,182
3,26,153
3,20,131
3,52,305
3,90,454
3,41,235
3,7,45
3,115,565
3,61,338
3,12,70
3,120,603
3,13,84
3,71,361
3,47,276
3,127,640
3,16,113
3,28,167
3,18,118
3,132,668
3,79,410
3,3,13
3,54,310
3,42,236
3,118,576
3,10,68
3,36,214
3,142,701
3,40,232
3,74,390
3,149,734
3,60,337
3,113,555
3,24,144
3,83,430
3,39,231
3,92,458
3,75,391
3,37,226
3,9,59
3,121,610
3,124,632
3,5,24
3,107,536
3,114,560
3,65,343
3,106,534
3,101,521
3,148,731
3,138,685
3,117,573
3,58,328
3,31,172
3,55,313
3,70,354
3,73,389
3,104,527
3,143,707
3,150,742
3,19,120
3,22,139
3,57,322
3,68,347
3,64,342
3,2,10
3,51,304
3,139,687
3,56,315
3,17,116
3,63,340
3,49,280
3,144,712
3,125,636
3,110,550
3,8,58
3,131,665
3,97,502
3,129,649
3,112,552
3,95,478
3,99,508
3,23,142
3,1,7
3,33,180
3,136,683
3,32,174
3,119,600
3,141,696
3,134,673
3,4,21
3,44,268
3,81,417
3,103,524
3,25,150
3,59,333
4,105,498
4,99,481
4,9,51
4,54,270
4,131,646
4,56,287
4,55,278
4,109,513
4,76,375
4,114,548
4,45,233
4,147,732
4,80,401
4,31,175
4,53,265
4,74,365
4,118,568
4,72,341
4,26,155
4,141,697
4,85,416
4,130,626
4,111,528
4,44,228
4,67,324
4,38,206
4,6,26
4,62,301
4,139,676
4,23,128
4,138,667
4,11,73
4,66,317
4,69,327
4,127,619
4,1,1
4,113,542
4,60,294
4,3,6
4,124,611
4,78,393
4,88,426
4,7,29
4,122,605
4,106,500
4,4,11
4,125,613
4,140,694
4,47,238
4,116,558
4,107,510
4,89,435
4,19,107
4,64,309
4,92,443
4,33,181
4,119,581
4,22,115
4,137,666
4,94,457
4,93,448
4,18,104
4,71,334
4,50,258
4,149,748
4,90,437
4,35,192
4,36,194
4,77,379
4,142,706
4,29,164
4,52,262
4,75,366
4,110,518
4,17,103
4,98,475
4,16,100
4,97,466
4,103,494
4,2,5
4,20,110
4,146,722
4,86,418
4,8,48
4,58,289
4,68,325
4,81,404
4,135,659
4,43,227
4,12,85
4,41,223
4,39,207
4,61,296
4,115,553
4,145,716
4,82,407
4,21,114
4,132,647
4,10,71
4,112,530
4,34,185
4,37,203
4,24,133
4,63,302
4,73,356
4,136,663
4,95,461
4,65,311
4,25,149
4,5,19
4,134,653
4,57,288
4,144,713
4,143,711
4,123,606
4,117,564
4,91,438
4,129,625
4,49,241
4,83,409
4,100,483
4,46,234
4,101,484
4,102,486
4,87,420
4,96,464
4,84,411
4,79,397
4,108,512
4,104,497
4,59,291
4,28,160
4,40,216
4,51,260
4,14,88
4,30,166
4,121,589
4,120,586
4,128,623
4,32,179
4,133,650
4,48,240
4,70,329
4,15,91
4,27,157
4,13,87
4,126,616
4,148,739
4,42,224
5,42,198
5,101,505
5,53,246
5,14,72
5,6,32
5,86,424
5,145,726
5,52,222
5,77,387
5,88,442
5,82,405
5,9,52
5,46,210
5,149,746
5,138,679
5,107,532
5,20,93
5,71,351
5,137,678
5,112,561
5,103,511
5,44,202
5,141,692
5,97,491
5,104,520
5,21,94
5,7,34
5,28,132
5,5,31
5,113,566
5,80,400
5,96,490
5,129,645
5,93,469
5,127,633
5,57,259
5,120,602
5,139,686
5,10,61
5,124,629
5,36,171
5,142,698
5,65,321
5,144,719
5,54,249
5,135,674
5,123,624
5,130,655
5,29,138
5,25,111
5,17,76
5,115,578
5,23,97
5,133,670
5,61,298
5,84,422
5,66,326
5,132,664
5,49,218
5,146,740
5,38,178
5,78,388
5,43,200
5,91,462
5,31,148
5,48,215
5,81,402
5,79,398
5,74,364
5,55,253
5,39,184
5,95,488
5,108,535
5,37,177
5,143,700
5,41,193
5,30,140
5,4,27
5,34,162
5,45,208
5,125,630
5,63,307
5,76,371
5,50,220
5,15,74
5,136,677
5,118,596
5,12,66
5,122,612
5,16,75
5,105,525
5,85,423
5,69,332
5,60,286
5,8,35
5,47,213
5,51,221
5,106,529
5,18,78
5,114,574
5,119,601
5,59,285
5,116,579
5,89,459
5,27,129
5,13,67
5,111,546
5,26,127
