"fold","index","original_test_index"
1,19,91
1,197,975
1,52,247
1,103,510
1,122,596
1,66,338
1,190,953
1,193,962
1,147,701
1,60,298
1,51,245
1,169,853
1,76,380
1,86,427
1,195,967
1,73,366
1,71,357
1,97,495
1,151,722
1,18,86
1,121,592
1,132,637
1,72,359
1,113,556
1,91,465
1,157,772
1,126,622
1,115,566
1,21,100
1,112,551
1,79,401
1,77,384
1,181,903
1,128,630
1,144,689
1,74,375
1,59,291
1,43,192
1,54,267
1,130,633
1,5,31
1,180,898
1,56,274
1,41,176
1,57,286
1,102,508
1,123,599
1,116,582
1,17,84
1,3,18
1,81,408
1,34,148
1,50,237
1,177,887
1,114,559
1,82,409
1,64,336
1,12,45
1,83,412
1,141,676
1,143,685
1,8,35
1,55,269
1,150,710
1,9,39
1,175,879
1,70,347
1,22,108
1,136,663
1,106,527
1,36,155
1,35,149
1,30,133
1,13,47
1,90,463
1,2,6
1,183,913
1,186,939
1,87,433
1,25,114
1,192,960
1,161,817
1,93,476
1,173,867
1,53,264
1,20,98
1,155,747
1,62,311
1,58,290
1,109,539
1,92,466
1,145,690
1,178,893
1,32,139
1,164,834
1,14,62
1,89,445
1,160,811
1,46,206
1,29,130
1,27,127
1,185,931
1,37,156
1,28,128
1,129,631
1,110,541
1,120,589
1,162,821
1,154,732
1,100,502
1,105,513
1,174,875
1,198,983
1,111,545
1,4,19
1,119,588
1,95,484
1,98,496
1,171,863
1,194,966
1,167,848
1,26,126
1,75,378
1,188,951
1,176,882
1,137,665
1,142,677
1,42,189
1,139,667
1,85,423
1,6,32
1,23,110
1,172,864
1,39,164
1,11,43
1,133,649
1,99,498
1,61,304
1,104,512
1,10,42
1,118,586
1,40,172
1,196,969
1,101,506
1,184,924
1,134,657
1,159,807
1,108,529
1,165,845
1,65,337
1,78,386
1,15,71
1,149,709
1,96,488
1,153,730
1,170,856
1,88,439
1,38,161
1,16,77
1,140,669
1,33,144
1,69,345
1,117,584
1,48,223
1,168,852
1,84,415
1,156,761
1,166,846
1,148,702
1,189,952
1,124,611
1,158,794
1,127,629
1,182,904
1,138,666
1,63,313
1,125,621
1,179,897
1,45,204
1,68,340
1,94,483
1,131,634
1,44,201
1,135,659
1,80,407
1,67,339
1,146,699
1,191,954
1,49,230
1,152,728
1,47,212
1,31,136
1,24,113
1,187,944
1,107,528
1,7,34
1,163,833
1,1,2
2,3,10
2,165,825
2,72,383
2,55,265
2,166,839
2,146,746
2,69,349
2,116,612
2,64,316
2,163,808
2,94,517
2,131,683
2,191,936
2,143,736
2,107,570
2,158,792
2,70,360
2,16,61
2,78,432
2,167,841
2,114,598
2,161,800
2,25,97
2,31,124
2,185,915
2,127,664
2,178,895
2,96,540
2,92,501
2,138,704
2,83,446
2,105,565
2,156,783
2,41,209
2,99,550
2,28,115
2,23,76
2,181,900
2,18,65
