"fold","index","original_test_index"
1,46,225
1,167,862
1,136,709
1,114,567
1,9,35
1,49,247
1,139,718
1,85,446
1,103,524
1,33,144
1,191,947
1,160,841
1,16,73
1,57,282
1,1,2
1,192,949
1,72,380
1,165,857
1,184,930
1,52,262
1,82,432
1,154,794
1,91,455
1,106,535
1,6,21
1,67,348
1,36,174
1,30,135
1,138,717
1,121,604
1,117,589
1,76,390
1,8,34
1,177,900
1,38,189
1,60,316
1,41,205
1,39,195
1,83,433
1,152,788
1,37,177
1,95,481
1,159,833
1,109,550
1,156,800
1,104,530
1,10,53
1,63,340
1,44,219
1,66,346
1,74,385
1,81,425
1,162,847
1,34,163
1,140,722
1,193,953
1,132,680
1,119,597
1,189,945
1,20,88
1,54,268
1,190,946
1,110,552
1,12,55
1,113,566
1,87,450
1,108,545
1,129,664
1,25,124
1,55,273
1,135,701
1,186,940
1,35,173
1,181,920
1,53,264
1,92,461
1,51,257
1,183,928
1,182,926
1,153,793
1,3,12
1,96,484
1,14,69
1,163,849
1,100,508
1,126,625
1,133,692
1,188,943
1,24,122
1,73,384
1,23,111
1,22,108
1,175,896
1,141,724
1,71,373
1,56,274
1,99,505
1,130,673
1,168,867
1,137,715
1,45,224
1,86,448
1,15,72
1,48,246
1,143,744
1,21,102
1,4,13
1,179,911
1,187,941
1,77,391
1,134,695
1,93,463
1,17,76
1,115,578
1,79,411
1,105,532
1,40,203
1,161,842
1,102,519
1,32,139
1,150,768
1,68,352
1,75,388
1,58,288
1,59,299
1,164,852
1,155,795
1,62,338
1,18,77
1,166,860
1,61,327
1,13,64
1,125,620
1,174,887
1,70,371
1,47,230
1,65,344
1,148,765
1,180,915
1,94,478
1,127,646
1,101,515
1,19,83
1,78,406
1,131,678
1,80,413
1,31,136
1,89,452
1,123,613
1,27,129
1,50,249
1,64,343
1,88,451
1,144,747
1,185,935
1,146,759
1,5,19
1,112,560
1,107,538
1,2,5
1,11,54
1,29,133
1,170,870
1,7,31
1,149,766
1,157,803
1,26,126
1,176,897
1,171,871
1,178,901
1,128,650
1,142,728
1,28,130
1,43,213
1,120,601
1,84,441
1,172,874
1,169,869
1,145,749
1,69,366
1,116,580
1,111,555
1,173,885
1,98,497
1,90,454
1,151,777
1,97,485
1,122,606
1,147,760
1,158,805
1,124,616
1,118,594
1,42,207
2,152,770
2,21,109
2,20,103
2,147,753
2,144,740
2,181,907
2,92,434
2,13,78
2,57,277
2,89,419
2,117,586
2,131,640
2,171,868
2,56,276
2,40,226
2,84,405
2,17,91
2,31,172
2,106,521
2,64,303
2,82,397
2,5,24
2,104,512
2,182,908
2,14,80
2,110,546
2,11,67
2,132,645
2,134,663
2,91,426
2,102,510
2,86,408
2,68,315
2,90,421
2,185,916
2,150,763
2,37,209
2,112,553
2,24,120
2,168,846
2,46,243
2,121,607
2,155,786
2,4,20
2,136,679
2,34,186
2,109,544
2,43,235
2,129,634
2,76,360
2,159,799
2,188,927
2,51,259
2,1,3
2,118,590
2,12,68
2,87,412
2,73,341
2,74,345
2,143,738
2,164,823
2,97,482
2,167,836
2,95,470
2,80,393
2,62,300
2,148,757
2,35,190
2,162,815
2,53,261
2,153,782
2,72,334
2,101,507
2,172,877
2,191,948
2,151,769
2,19,96
2,10,66
2,77,365
2,141,723
2,93,443
2,59,293
2,33,182
2,125,626
2,48,251
2,30,169
2,160,809
2,142,727
2,79,383
2,174,881
2,127,631
2,41,232
2,42,233
2,7,37
2,58,278
2,163,819
2,170,861
2,139,688
2,157,792
2,94,447
2,119,592
2,70,328
2,85,407
2,177,898
2,67,314
2,107,528
2,71,329
2,140,710
2,105,514
2,69,324
2,114,563
2,6,36
2,47,248
2,146,746
2,179,903
2,23,112
2,2,4
2,32,175
2,126,627
2,154,785
2,98,483
2,50,254
2,180,904
2,103,511
2,83,403
2,135,669
2,81,394
2,123,611
2,26,140
2,15,81
2,111,549
2,108,539
2,149,758
2,115,573
2,39,218
2,65,309
2,161,811
2,173,879
2,138,685
2,45,241
2,52,260
2,99,486
2,54,263
2,16,89
2,9,43
2,189,933
2,66,310
2,186,921
2,190,937
2,96,475
2,29,168
2,145,741
2,178,899
2,176,893
2,116,585
2,78,378
2,133,652
2,130,638
2,166,831
2,158,796
2,169,851
2,18,95
2,49,252
2,175,891
2,184,914
2,88,417
2,61,298
2,28,167
2,60,294
2,165,825
2,22,110
2,124,618
2,122,609
2,187,924
2,3,16
2,100,495
2,8,41
2,63,302
2,55,275
2,137,683
2,113,562
2,75,354
2,120,593
2,128,632
2,36,208
2,38,212
2,27,161
2,183,910
2,25,128
2,44,237
2,156,791
3,148,737
3,70,357
3,42,194
3,95,471
3,97,488
3,133,671
3,43,198
3,77,402
3,35,162
3,80,423
3,107,536
3,160,821
3,190,954
3,60,295
3,92,464
3,167,864
3,187,944
3,100,492
3,191,958
3,31,150
3,89,458
3,169,866
3,88,457
3,124,623
3,73,382
3,22,106
3,3,14
3,40,192
3,174,889
3,32,152
3,33,156
3,13,51
3,154,787
3,46,210
3,117,591
3,132,670
3,183,925
3,53,269
3,57,289
3,55,280
3,120,603
3,39,188
3,119,599
3,182,923
3,105,526
3,137,694
3,129,655
3,52,265
3,87,453
3,113,564
3,161,822
3,65,325
3,153,775
3,26,125
3,155,789
3,146,716
3,1,1
3,109,542
3,147,720
3,134,681
3,164,845
3,114,570
3,178,909
3,98,489
3,184,929
3,59,291
3,12,46
3,179,912
3,76,398
3,135,682
3,152,761
3,96,480
3,171,876
3,21,105
3,150,750
3,172,878
3,14,56
3,136,687
3,144,711
3,82,430
3,106,534
3,54,271
3,93,465
3,140,703
3,173,888
3,131,666
3,84,437
3,130,657
3,62,304
3,112,556
3,157,802
3,6,27
3,24,117
3,2,10
3,94,468
3,121,605
3,30,148
3,78,409
3,158,808
3,29,145
3,72,369
3,163,840
3,51,255
3,36,164
3,71,359
3,49,228
3,38,185
3,69,355
3,110,547
3,5,26
3,74,389
3,128,654
3,111,554
3,145,714
3,68,349
3,27,127
3,116,584
3,15,63
3,79,415
3,189,951
3,175,890
3,4,18
3,83,436
3,159,818
3,63,312
3,141,705
3,25,119
3,48,222
3,162,830
3,47,216
3,101,499
3,138,696
3,126,635
3,125,624
3,180,917
3,75,395
3,23,115
3,168,865
3,118,595
3,165,850
3,177,902
3,186,942
3,41,193
3,64,321
3,156,801
3,8,38
3,20,98
3,28,137
3,56,283
3,102,516
3,108,537
3,170,872
3,37,184
3,166,853
3,67,336
3,115,572
3,16,70
3,151,754
3,139,698
3,90,459
3,99,490
3,142,707
3,81,427
3,7,32
3,50,229
3,44,200
3,86,449
3,127,637
3,58,290
3,18,92
3,122,608
3,188,950
3,176,895
3,149,742
3,19,94
3,123,610
3,85,440
3,181,919
3,61,297
3,66,331
3,143,708
3,34,158
3,9,39
3,45,201
3,91,462
3,104,523
3,11,45
3,10,44
3,17,84
3,103,522
3,185,938
4,14,58
4,79,414
4,188,936
4,189,939
4,124,617
4,161,779
4,21,93
4,167,820
4,32,171
4,141,690
4,162,784
4,48,240
4,4,15
4,132,656
4,43,220
4,65,353
4,50,245
4,45,227
4,2,8
4,15,60
4,166,816
4,60,335
4,72,377
4,46,231
4,190,952
4,80,418
4,44,223
4,163,790
4,157,756
4,176,863
4,146,725
4,149,732
4,59,333
4,112,571
4,73,379
4,165,798
4,126,628
4,29,153
4,168,824
4,62,339
4,175,859
4,5,17
4,152,739
4,18,71
4,52,256
4,119,596
4,99,504
4,42,211
4,143,700
4,136,674
4,100,506
4,170,835
4,172,843
4,38,199
4,33,178
4,137,676
4,134,667
4,169,828
4,16,61
4,160,774
4,138,677
4,68,363
4,113,574
4,140,689
4,131,648
4,6,28
4,56,287
4,94,491
4,186,922
4,158,767
4,117,582
4,154,751
4,114,575
4,11,42
4,82,428
4,97,500
4,69,364
4,184,913
4,164,797
4,106,543
4,120,600
4,95,493
4,37,197
4,76,399
4,13,57
4,26,132
4,93,477
4,105,541
4,177,873
4,144,702
4,28,149
4,125,619
4,110,568
4,85,439
4,109,558
4,57,318
4,187,934
4,98,503
4,128,636
4,150,733
4,81,424
4,91,474
4,63,347
4,30,154
4,92,476
4,22,97
4,19,82
4,153,743
4,180,883
4,111,569
4,49,242
4,86,442
4,139,684
4,130,644
4,171,838
4,67,362
4,122,612
4,77,400
4,173,844
4,58,322
4,41,206
4,27,134
4,36,191
4,159,771
4,12,47
4,118,587
4,183,905
4,87,444
4,71,375
4,61,337
4,179,880
4,148,729
4,90,473
4,174,855
4,147,726
4,25,118
4,10,40
4,121,602
4,9,33
4,115,576
4,3,9
4,54,279
4,88,456
4,127,629
4,129,643
4,135,672
4,74,392
4,23,104
4,156,755
4,96,494
4,104,533
4,133,660
4,40,204
4,84,435
4,107,548
4,155,752
4,64,351
4,35,181
4,181,892
4,78,401
4,75,396
4,53,266
4,34,180
4,7,29
4,1,6
4,145,719
4,8,30
4,24,113
4,182,894
4,151,735
4,83,431
4,185,918
4,123,614
4,101,509
4,20,85
4,178,875
4,47,236
4,142,699
4,103,518
4,55,286
4,66,361
4,39,202
4,31,159
4,89,467
4,116,579
4,70,368
4,108,551
4,51,250
4,191,955
4,17,62
4,192,957
4,102,517
5,98,466
5,113,540
5,93,422
5,156,748
5,133,651
5,166,804
5,75,330
5,25,123
5,104,498
5,153,734
5,48,221
5,64,305
5,21,107
5,79,356
5,128,639
5,140,668
5,1,7
5,106,502
5,39,170
5,102,487
5,34,155
5,56,270
5,76,332
5,172,814
5,49,234
5,71,319
5,92,420
5,139,665
5,121,588
5,122,598
5,176,829
5,150,721
5,154,736
5,179,837
5,58,281
5,72,320
5,82,370
5,129,641
5,55,267
5,94,429
5,43,187
5,114,557
5,167,806
5,50,238
5,184,858
5,115,559
5,161,776
5,88,387
5,52,244
5,78,350
5,131,647
5,73,323
5,13,75
5,116,561
5,182,854
5,175,827
5,101,479
5,124,621
5,125,622
5,111,529
5,118,577
5,69,313
5,90,410
5,4,23
5,159,772
5,185,882
5,164,781
5,169,810
5,68,311
5,41,179
5,165,783
5,30,143
5,120,583
5,95,438
5,45,214
5,54,258
5,18,99
5,10,59
5,141,675
5,99,469
5,22,114
5,63,301
5,109,525
5,123,615
5,107,513
5,44,196
5,110,527
5,157,762
5,9,52
5,33,151
5,162,778
5,177,832
5,149,713
5,20,101
5,81,367
5,57,272
5,183,856
5,189,931
5,65,306
5,6,48
5,117,565
5,168,807
5,173,817
5,132,649
5,144,693
5,31,146
5,84,374
5,186,884
5,148,712
5,83,372
5,53,253
5,36,160
5,37,165
5,146,704
5,143,691
5,46,215
5,190,932
5,19,100
5,134,653
5,2,11
5,17,90
5,137,661
5,188,906
5,138,662
5,170,812
5,108,520
5,127,633
5,163,780
5,27,138
5,86,381
5,61,292
5,87,386
5,119,581
5,59,284
5,191,956
5,42,183
5,35,157
5,66,307
5,136,659
5,174,826
5,103,496
5,38,166
5,105,501
5,12,74
5,80,358
5,3,22
5,16,87
5,70,317
5,181,848
5,14,79
5,62,296
5,77,342
5,5,25
5,32,147
5,151,730
5,29,142
5,26,131
5,11,65
5,155,745
5,112,531
5,152,731
5,28,141
5,158,764
5,100,472
5,60,285
5,97,460
5,74,326
5,24,121
5,67,308
5,8,50
5,85,376
5,40,176
5,160,773
5,7,49
5,23,116
5,96,445
5,51,239
5,47,217
5,142,686
5,178,834
5,130,642
5,147,706
5,89,404
5,187,886
5,15,86
5,126,630
5,171,813
5,135,658
5,145,697
5,180,839
5,91,416
