"ID","dataset_name","hclust_4","hclust_5","hclust_6","kmeans_4","kmeans_5","kmeans_6","coordinate_1","coordinate_2"
1,"analcatdata_authorship",1,1,1,3,4,5,0.424998839757998,0.173672229767659
2,"badges2",1,1,2,3,4,1,-0.442247163459639,0.491029786097975
3,"banknote",1,1,2,3,4,1,-0.385677689642457,-0.144465275808265
4,"blood-transfusion-service-center",1,1,2,3,4,1,-0.489650148186795,0.221464697917783
5,"breast-w",1,1,2,3,4,1,-0.449813547550041,0.267295349040018
6,"cardiotocography",2,2,3,4,3,4,1.75045415034657,0.779802049101418
7,"climate-model-simulation-crashes",1,1,2,3,4,1,-0.354950423430797,0.377623692559175
8,"cmc",1,1,2,3,4,1,-0.331595542500555,-0.17668410845029
9,"credit-g",3,3,4,2,5,6,-3.79838805546765,1.03197194025229
10,"diabetes",1,1,2,3,4,1,-0.457136680726436,0.225253841523405
11,"eucalyptus",3,3,4,2,5,1,-1.30616523088248,0.532990467505929
12,"iris",2,2,3,4,3,4,0.817987189092498,2.09731250063543
13,"kc1",1,1,1,3,4,5,-0.14449876884495,-0.543015262116665
14,"liver-disorders",1,1,2,3,4,1,-0.472159421663914,0.486488621131281
15,"mfeat-factors",2,4,5,4,1,2,5.22084981823081,0.301384603685907
16,"mfeat-karhunen",2,2,3,4,3,4,2.07152422407107,0.511506455766157
17,"mfeat-zernike",1,1,1,3,4,5,0.214889320223308,-0.447081343138172
18,"ozone-level-8hr",1,1,1,3,4,5,0.653890748864639,-0.879240936160895
19,"pc4",1,1,1,3,4,5,-0.0106659423715187,-0.205534460859
20,"phoneme",1,1,1,1,2,3,-0.0605948259489053,-1.25975355640469
21,"qsar-biodeg",1,1,1,3,4,5,0.0189508516968958,0.019131579532834
22,"tic-tac-toe",3,3,4,2,5,6,-2.44053534984516,0.609647366925097
23,"vowel",1,1,2,3,4,1,-0.39687585040114,0.102499559071577
24,"waveform-5000",4,5,6,1,2,3,0.557565511828258,-2.50690647071508
25,"wdbc",1,1,2,3,4,1,-0.217634636409135,0.371750649671848
26,"wilt",4,5,6,1,2,3,0.0274786232195251,-2.43814397653273
