"dataset_name","instances_n","attributes_num","attributes_nom","dataset_type"
"badges2",-1.0139911034056,-0.438007332122641,-0.361630824586923,-0.388223779989431
"banknote",-0.190492267422885,-0.567641789163423,-0.361630824586923,-0.388223779989431
"blood-transfusion-service-center",-0.667174339457404,-0.567641789163423,-0.361630824586923,-0.388223779989431
"climate-model-simulation-crashes",-0.82606836346891,-0.265161389401599,-0.361630824586923,-0.388223779989431
"cmc",-0.113336996148067,-0.459613074962771,-0.361630824586923,-0.388223779989431
"credit-g",-0.474668118058848,-0.502824560643032,3.46897716918567,-0.388223779989431
"diabetes",-0.651896067917836,-0.481218817802902,-0.361630824586923,-0.388223779989431
"eucalyptus",-0.748913092194092,-0.35158436076212,1.11167994224869,-0.388223779989431
"iris",-1.12399465849048,-0.567641789163423,-0.361630824586923,2.45875060659973
"kc1",0.372512038810192,-0.200344160881208,-0.361630824586923,-0.388223779989431
"mfeat-factors",0.289245458919547,4.0127756929442,-0.361630824586923,2.45875060659973
"mfeat-karhunen",0.289245458919547,0.728702781244394,-0.361630824586923,2.45875060659973
"mfeat-zernike",0.289245458919547,0.361405152962179,-0.361630824586923,-0.388223779989431
"ozone-level-8hr",0.69717530902601,0.901548723965436,-0.361630824586923,-0.388223779989431
"pc4",-0.124795699802743,0.145347724560876,-0.361630824586923,-0.388223779989431
"phoneme",1.18455217113823,-0.546036046323292,-0.361630824586923,-0.388223779989431
"qsar-biodeg",-0.432652871325037,0.231770695921397,-0.361630824586923,-0.388223779989431
"tic-tac-toe",-0.506752488291941,-0.654064760523944,2.29032855571718,-0.388223779989431
"vowel",-0.482307253828632,-0.438007332122641,-0.361630824586923,-0.388223779989431
"waveform-5000",2.58098618985473,0.210164953081267,-0.361630824586923,-0.388223779989431
"wdbc",-0.803914869736537,-0.00589247532003554,-0.361630824586923,-0.388223779989431
"wilt",2.45799610396121,-0.546036046323292,-0.361630824586923,-0.388223779989431
