"ID","dataset_name","hclust_4","hclust_5","hclust_6","kmeans_4","kmeans_5","kmeans_6","coordinate_1","coordinate_2"
1,"badges2",1,1,1,1,1,1,0.357911261210859,0.594397561917165
2,"banknote",1,1,1,1,1,1,0.375486263321654,-0.0732391020968106
3,"blood-transfusion-service-center",1,1,1,1,1,1,0.40269363423584,0.316148734339764
4,"climate-model-simulation-crashes",1,1,1,1,1,1,0.27189583755055,0.473375788988758
5,"cmc",1,1,1,1,1,1,0.321156669490996,-0.106128551033644
6,"credit-g",2,2,2,2,2,2,3.62724141550383,1.36315373772886
7,"diabetes",1,1,1,1,1,1,0.337683104056307,0.332425829178528
8,"eucalyptus",2,2,2,2,2,1,1.24141785902472,0.69802661674871
9,"iris",3,3,3,3,3,3,-1.19051490923212,2.34152834355491
10,"kc1",1,1,4,1,1,4,0.174360861639286,-0.518899673684645
11,"mfeat-factors",3,4,5,3,5,5,-5.4111506655529,0.202978670615249
12,"mfeat-karhunen",3,3,3,3,3,3,-2.3821142571002,0.621091942550068
13,"mfeat-zernike",1,1,4,1,1,4,-0.22795029331617,-0.426531377701274
14,"ozone-level-8hr",1,1,4,1,1,4,-0.608887727015243,-0.889661627402865
15,"pc4",1,1,4,1,1,1,-0.0266554561466964,-0.150075487892027
16,"phoneme",4,5,6,4,4,4,0.200770895611742,-1.22231039087769
17,"qsar-biodeg",1,1,4,1,1,1,-0.100908317143045,0.108532295235027
18,"tic-tac-toe",2,2,2,2,2,2,2.42631140501801,0.613039585360834
19,"vowel",1,1,1,1,1,1,0.326854656778214,0.183406058998016
20,"waveform-5000",4,5,6,4,4,6,-0.39006840785197,-2.49779367940477
21,"wdbc",1,1,1,1,1,1,0.159606385143703,0.458939714706953
22,"wilt",4,5,6,4,4,6,0.114859784772628,-2.42240498982911
