"dataset_name","technique","noise_level","threshold","critical_percentage","kappa_at_critical"
"analcatdata_authorship","C5.0",10,0.05,100,0
"badges2","C5.0",10,0.05,90,0.05
"banknote","C5.0",10,0.05,100,0
"blood-transfusion-service-center","C5.0",10,0.05,70,0.05
"breast-w","C5.0",10,0.05,100,0.01
"cardiotocography","C5.0",10,0.05,10,0.05
"climate-model-simulation-crashes","C5.0",10,0.05,100,0.05
"cmc","C5.0",10,0.05,40,0.05
"credit-g","C5.0",10,0.05,100,0.04
"diabetes","C5.0",10,0.05,100,0.03
"eucalyptus","C5.0",10,0.05,70,0.04
"iris","C5.0",10,0.05,100,0.02
"kc1","C5.0",10,0.05,70,0.05
"liver-disorders","C5.0",10,0.05,20,0.05
"mfeat-factors","C5.0",10,0.05,100,0
"mfeat-karhunen","C5.0",10,0.05,100,0.01
"mfeat-zernike","C5.0",10,0.05,100,0.02
"ozone-level-8hr","C5.0",10,0.05,100,0.01
"pc4","C5.0",10,0.05,30,0.04
"phoneme","C5.0",10,0.05,70,0.05
"qsar-biodeg","C5.0",10,0.05,80,0.05
"tic-tac-toe","C5.0",10,0.05,90,0.05
"vowel","C5.0",10,0.05,100,0.03
"waveform-5000","C5.0",10,0.05,100,0.02
"wdbc","C5.0",10,0.05,100,0.02
"wilt","C5.0",10,0.05,20,0.03
"analcatdata_authorship","ctree",10,0.05,100,0.02
"badges2","ctree",10,0.05,70,0.05
"banknote","ctree",10,0.05,100,0.05
"blood-transfusion-service-center","ctree",10,0.05,100,0.01
"breast-w","ctree",10,0.05,100,0.03
"cardiotocography","ctree",10,0.05,20,0.05
"climate-model-simulation-crashes","ctree",10,0.05,100,0.01
"cmc","ctree",10,0.05,40,0.05
"credit-g","ctree",10,0.05,100,0.05
"diabetes","ctree",10,0.05,100,0.05
"eucalyptus","ctree",10,0.05,60,0.05
"iris","ctree",10,0.05,100,0.01
"kc1","ctree",10,0.05,100,0.02
"liver-disorders","ctree",10,0.05,50,0.05
"mfeat-factors","ctree",10,0.05,100,0.01
"mfeat-karhunen","ctree",10,0.05,100,0.03
"mfeat-zernike","ctree",10,0.05,100,0.02
"ozone-level-8hr","ctree",10,0.05,70,0.05
"pc4","ctree",10,0.05,80,0.05
"phoneme","ctree",10,0.05,60,0.05
"qsar-biodeg","ctree",10,0.05,100,0.02
"tic-tac-toe","ctree",10,0.05,80,0.05
"vowel","ctree",10,0.05,100,0.04
"waveform-5000","ctree",10,0.05,100,0.02
"wdbc","ctree",10,0.05,100,0.02
"wilt","ctree",10,0.05,20,0.05
"analcatdata_authorship","fda",10,0.05,100,0
"badges2","fda",10,0.05,50,0.05
"banknote","fda",10,0.05,100,0.01
"blood-transfusion-service-center","fda",10,0.05,90,0.05
"breast-w","fda",10,0.05,100,0.01
"cardiotocography","fda",10,0.05,90,0.05
"climate-model-simulation-crashes","fda",10,0.05,100,0.03
"cmc","fda",10,0.05,70,0.05
"credit-g","fda",10,0.05,100,0.05
"diabetes","fda",10,0.05,100,0.03
"eucalyptus","fda",10,0.05,60,0.05
"iris","fda",10,0.05,100,0.02
"kc1","fda",10,0.05,80,0.05
"liver-disorders","fda",10,0.05,40,0.04
"mfeat-factors","fda",10,0.05,100,0.01
"mfeat-karhunen","fda",10,0.05,100,0.02
"mfeat-zernike","fda",10,0.05,100,0.02
"ozone-level-8hr","fda",10,0.05,70,0.05
"pc4","fda",10,0.05,30,0.04
"phoneme","fda",10,0.05,100,0.05
"qsar-biodeg","fda",10,0.05,100,0.03
"tic-tac-toe","fda",10,0.05,30,0.04
"vowel","fda",10,0.05,90,0.05
"waveform-5000","fda",10,0.05,100,0.03
"wdbc","fda",10,0.05,100,0.04
"wilt","fda",10,0.05,20,0.05
"analcatdata_authorship","gbm",10,0.05,100,0
"badges2","gbm",10,0.05,70,0.05
"banknote","gbm",10,0.05,100,0
"blood-transfusion-service-center","gbm",10,0.05,70,0.05
"breast-w","gbm",10,0.05,100,0
"cardiotocography","gbm",10,0.05,100,0
"climate-model-simulation-crashes","gbm",10,0.05,90,0.04
"cmc","gbm",10,0.05,100,0.01
"credit-g","gbm",10,0.05,100,0.05
"diabetes","gbm",10,0.05,100,0.03
"eucalyptus","gbm",10,0.05,70,0.04
"iris","gbm",10,0.05,100,0.05
"kc1","gbm",10,0.05,100,0.02
"liver-disorders","gbm",10,0.05,30,0.05
"mfeat-factors","gbm",10,0.05,100,0
"mfeat-karhunen","gbm",10,0.05,100,0.01
"mfeat-zernike","gbm",10,0.05,100,0.01
"ozone-level-8hr","gbm",10,0.05,100,0.02
"pc4","gbm",10,0.05,100,0.04
"phoneme","gbm",10,0.05,70,0.05
"qsar-biodeg","gbm",10,0.05,70,0.05
"tic-tac-toe","gbm",10,0.05,90,0.05
"vowel","gbm",10,0.05,100,0.04
"waveform-5000","gbm",10,0.05,100,0.02
"wdbc","gbm",10,0.05,100,0
"wilt","gbm",10,0.05,40,0.05
"analcatdata_authorship","gcvEarth",10,0.05,100,0
"badges2","gcvEarth",10,0.05,80,0.05
"banknote","gcvEarth",10,0.05,100,0
"blood-transfusion-service-center","gcvEarth",10,0.05,100,0.05
