"dataset_name","technique","most_important_attribute"
"wilt","C5.0","Mean_R"
"wilt","ctree","Mean_R"
"wilt","fda","Mean_G"
"wilt","gbm","Mean_R"
"wilt","gcvEarth","Mean_R"
"wilt","JRip","Mean_R"
"wilt","lvq","GLCM_Pan"
"wilt","mlpML","Mean_R"
"wilt","multinom","Mean_G"
"wilt","naive_bayes","Mean_R"
"wilt","PART","Mean_R"
"wilt","rbfDDA","GLCM_Pan"
"wilt","rda","Mean_R"
"wilt","rf","Mean_R"
"wilt","rpart","Mean_R"
"wilt","simpls","GLCM_Pan"
"wilt","svmLinear","Mean_G"
"wilt","svmRadial","Mean_R"
"wilt","rfRules","Mean_G"
"wilt","knn","Mean_R"
"wilt","bayesglm","Mean_G"
