"dataset_name","technique","most_important_attribute"
"waveform-5000","C5.0","x11"
"waveform-5000","ctree","x11"
"waveform-5000","fda","x11"
"waveform-5000","gbm","x11"
"waveform-5000","gcvEarth","x11"
"waveform-5000","JRip","x11"
"waveform-5000","lvq","x11"
"waveform-5000","mlpML","x11"
"waveform-5000","multinom","x11"
"waveform-5000","naive_bayes","x11"
"waveform-5000","PART","x11"
"waveform-5000","rbfDDA","x12"
"waveform-5000","rda","x11"
"waveform-5000","rf","x11"
"waveform-5000","rpart","x11"
"waveform-5000","simpls","x11"
"waveform-5000","svmLinear","x11"
"waveform-5000","svmRadial","x11"
"waveform-5000","rfRules","x11"
"waveform-5000","knn","x11"
"waveform-5000","bayesglm","x11"
