"fold","index","original_test_index"
1,152,788
1,15,72
1,18,77
1,19,83
1,9,35
1,13,64
1,151,777
1,92,461
1,181,920
1,46,225
1,71,373
1,25,124
1,20,88
1,83,433
1,56,274
1,11,54
1,127,646
1,101,515
1,176,897
1,27,129
1,153,793
1,81,425
1,189,945
1,94,478
1,67,348
1,23,111
1,122,606
1,95,481
1,97,485
1,159,833
1,177,900
1,79,411
1,158,805
1,74,385
1,146,759
1,10,53
1,43,213
1,191,947
1,193,953
1,52,262
1,128,650
1,28,130
1,16,73
1,186,940
1,135,701
1,96,484
1,7,31
1,141,724
1,2,5
1,3,12
1,119,597
1,6,21
1,145,749
1,77,391
1,68,352
1,48,246
1,188,943
1,37,177
1,47,230
1,166,860
1,21,102
1,57,282
1,142,728
1,4,13
1,130,673
1,91,455
1,126,625
1,187,941
1,24,122
1,30,135
1,179,911
1,76,390
1,70,371
1,120,601
1,149,766
1,162,847
1,123,613
1,172,874
1,147,760
1,72,380
1,100,508
1,17,76
1,129,664
1,132,680
1,183,928
1,90,454
1,180,915
1,60,316
1,144,747
1,110,552
1,102,519
1,93,463
1,45,224
1,75,388
1,125,620
1,58,288
1,31,136
1,134,695
1,12,55
1,171,871
1,59,299
1,115,578
1,148,765
1,49,247
1,8,34
1,98,497
1,105,532
1,192,949
1,121,604
1,69,366
1,160,841
1,136,709
1,5,19
1,118,594
1,54,268
1,73,384
1,41,205
1,84,441
1,137,715
1,182,926
1,150,768
1,168,867
1,29,133
1,51,257
1,40,203
1,104,530
1,87,450
1,64,343
1,174,887
1,190,946
1,55,273
1,140,722
1,32,139
1,156,800
1,114,567
1,22,108
1,39,195
1,117,589
1,63,340
1,14,69
1,107,538
1,157,803
1,36,174
1,108,545
1,185,935
1,163,849
1,86,448
1,143,744
1,178,901
1,66,346
1,154,794
1,88,451
1,1,2
1,89,452
1,113,566
1,42,207
1,133,692
1,103,524
1,109,550
1,82,432
1,111,555
1,34,163
1,38,189
1,65,344
1,62,338
1,33,144
1,138,717
1,139,718
1,99,505
1,175,896
1,44,219
1,164,852
1,85,446
1,80,413
1,53,264
1,78,406
1,112,560
1,167,862
1,26,126
1,155,795
1,35,173
1,165,857
1,170,870
1,161,842
1,124,616
1,169,869
1,184,930
1,131,678
1,116,580
1,50,249
1,173,885
1,106,535
1,61,327
2,52,260
2,158,796
2,183,910
2,51,259
2,142,727
2,35,190
2,71,329
2,76,360
2,73,341
2,21,109
2,72,334
2,54,263
2,122,609
2,161,811
2,162,815
2,18,95
2,80,393
2,145,741
2,186,921
2,70,328
2,5,24
2,102,510
2,152,770
2,41,232
2,14,80
2,114,563
2,121,607
2,79,383
2,86,408
2,26,140
2,68,315
2,147,753
2,103,511
2,61,298
2,88,417
2,7,37
2,141,723
2,106,521
2,120,593
2,139,688
2,98,483
2,43,235
2,27,161
2,148,757
2,115,573
2,125,626
2,11,67
2,154,785
2,150,763
2,48,251
2,65,309
2,58,278
2,184,914
2,36,208
2,129,634
2,24,120
2,23,112
2,85,407
2,44,237
2,146,746
2,30,169
2,87,412
2,144,740
2,97,482
2,1,3
2,104,512
2,38,212
2,46,243
2,29,168
2,45,241
2,17,91
2,64,303
2,34,186
2,4,20
2,168,846
2,117,586
2,118,590
2,138,685
2,3,16
2,10,66
2,107,528
2,181,907
2,136,679
2,112,553
2,16,89
2,59,293
2,128,632
2,50,254
2,33,182
2,176,893
2,89,419
2,13,78
2,84,405
2,160,809
2,180,904
2,110,546
2,37,209
2,171,868
2,47,248
2,149,758
2,169,851
2,77,365
2,119,592
2,143,738
2,66,310
2,116,585
2,67,314
2,12,68
2,135,669
2,55,275
2,93,443
2,62,300
2,96,475
2,140,710
2,189,933
2,57,277
2,155,786
2,164,823
2,15,81
2,153,782
2,166,831
2,191,948
2,156,791
2,82,397
2,130,638
2,28,167
2,188,927
2,111,549
2,157,792
2,60,294
2,22,110
2,19,96
2,163,819
2,56,276
2,39,218
2,108,539
2,99,486
2,133,652
2,109,544
2,159,799
2,167,836
2,2,4
2,81,394
2,179,903
2,131,640
2,137,683
2,42,233
2,6,36
2,187,924
2,170,861
2,134,663
2,132,645
2,78,378
2,124,618
2,101,507
2,100,495
2,123,611
2,69,324
2,165,825
2,174,881
2,95,470
2,32,175
2,90,421
2,75,354
2,53,261
2,63,302
2,9,43
2,178,899
2,172,877
2,8,41
2,74,345
2,40,226
2,127,631
2,185,916
2,173,879
2,190,937
2,49,252
2,94,447
2,175,891
2,126,627
2,113,562
2,92,434
2,91,426
2,151,769
2,20,103
2,31,172
2,177,898
2,25,128
2,83,403
2,182,908
2,105,514
3,170,872
3,51,255
3,88,457
3,13,51
3,83,436
3,123,610
3,183,925
3,57,289
3,112,556
3,20,98
3,67,336
3,101,499
3,177,902
3,64,321
3,54,271
3,68,349
3,8,38
3,39,188
3,159,818
3,23,115
3,187,944
3,63,312
3,146,716
3,92,464
3,161,822
3,76,398
3,79,415
3,125,624
3,17,84
3,47,216
3,119,599
3,49,228
3,77,402
3,59,291
3,102,516
3,132,670
3,179,912
3,111,554
3,117,591
3,96,480
3,135,682
3,103,522
3,163,840
3,25,119
3,115,572
3,48,222
3,21,105
3,98,489
3,65,325
3,131,666
3,81,427
3,110,547
3,99,490
3,104,523
3,12,46
3,9,39
3,46,210
3,75,395
3,141,705
3,178,909
3,55,280
3,149,742
3,7,32
3,28,137
3,172,878
3,133,671
3,144,711
3,56,283
3,147,720
3,97,488
3,154,787
3,50,229
3,151,754
3,182,923
3,4,18
3,169,866
3,30,148
3,36,164
3,186,942
3,22,106
3,180,917
3,152,761
3,42,194
3,174,889
3,105,526
3,176,895
3,156,801
3,153,775
3,70,357
3,106,534
3,85,440
3,120,603
3,173,888
3,121,605
3,61,297
3,80,423
3,155,789
3,62,304
3,24,117
3,31,150
3,26,125
3,73,382
3,128,654
3,15,63
3,94,468
3,165,850
3,14,56
3,87,453
3,158,808
3,3,14
3,137,694
3,95,471
3,90,459
3,116,584
3,66,331
3,34,158
3,16,70
3,142,707
3,109,542
3,18,92
3,113,564
3,19,94
3,167,864
3,188,950
3,37,184
3,157,802
3,82,430
3,1,1
3,38,185
3,184,929
3,100,492
3,52,265
3,191,958
3,189,951
3,124,623
3,118,595
3,58,290
3,150,750
3,86,449
3,89,458
3,126,635
3,93,465
3,72,369
3,44,200
3,41,193
3,129,655
3,168,865
3,164,845
3,6,27
3,108,537
3,145,714
3,185,938
3,136,687
3,139,698
3,29,145
3,11,45
3,2,10
3,160,821
3,69,355
3,138,696
3,130,657
3,60,295
3,134,681
3,78,409
3,148,737
3,43,198
3,171,876
3,33,156
3,166,853
3,53,269
3,143,708
3,32,152
3,140,703
3,175,890
3,40,192
3,91,462
3,71,359
3,181,919
3,5,26
3,114,570
3,27,127
3,127,637
3,162,830
3,45,201
3,122,608
3,190,954
3,74,389
3,107,536
3,10,44
3,35,162
3,84,437
4,17,62
4,178,875
4,13,57
4,153,743
4,139,684
4,84,435
4,42,211
4,115,576
4,151,735
4,10,40
4,120,600
4,100,506
4,125,619
4,119,596
4,136,674
4,147,726
4,164,797
4,122,612
4,82,428
4,44,223
4,41,206
4,158,767
4,106,543
4,137,676
4,8,30
4,113,574
4,1,6
4,30,154
4,107,548
4,99,504
4,90,473
4,88,456
4,93,477
4,54,279
4,18,71
4,180,883
4,149,732
4,101,509
