"fold","index","original_test_index"
1,247,1274
1,277,1418
1,50,245
1,279,1422
1,404,2035
1,564,2863
1,294,1495
1,582,2955
1,206,1067
1,47,235
1,413,2060
1,73,350
1,541,2716
1,609,3068
1,202,1058
1,474,2357
1,370,1854
1,170,890
1,569,2894
1,244,1264
1,192,999
1,600,3033
1,86,445
1,299,1514
1,628,3141
1,324,1625
1,114,584
1,85,444
1,60,295
1,422,2106
1,3,9
1,376,1889
1,301,1516
1,281,1435
1,417,2082
1,210,1086
1,94,472
1,290,1470
1,263,1366
1,455,2254
1,356,1785
1,264,1367
1,538,2689
1,543,2741
1,604,3047
1,601,3036
1,466,2304
1,128,663
1,255,1308
1,266,1374
1,421,2098
1,180,942
1,583,2958
1,133,683
1,561,2826
1,226,1164
1,378,1898
1,532,2660
1,45,227
1,529,2649
1,161,848
1,631,3157
1,610,3070
1,481,2389
1,548,2763
1,516,2596
1,16,84
1,209,1077
1,325,1627
1,123,652
1,574,2920
1,245,1272
1,100,507
1,464,2296
1,503,2549
1,58,291
1,102,516
1,428,2123
1,143,740
1,380,1901
1,15,81
1,545,2749
1,122,633
1,88,457
1,267,1390
1,65,316
1,115,588
1,580,2943
1,507,2557
1,148,758
1,68,328
1,425,2113
1,338,1698
1,19,98
1,257,1325
1,456,2262
1,379,1900
1,531,2658
1,479,2382
1,11,49
1,61,299
1,29,147
1,6,24
1,552,2772
1,515,2594
1,96,488
1,581,2949
1,327,1638
1,498,2525
1,173,901
1,530,2655
1,585,2963
1,162,849
1,312,1557
1,469,2326
1,146,755
1,323,1615
1,407,2047
1,476,2365
1,360,1811
1,340,1703
1,381,1913
1,32,171
1,470,2339
1,154,805
1,77,372
1,125,655
1,528,2645
1,591,3007
1,606,3060
1,513,2589
1,296,1498
1,130,673
1,397,2003
1,31,167
1,219,1137
1,38,197
1,384,1931
1,522,2624
1,451,2242
1,147,756
1,43,222
1,124,653
1,472,2354
1,250,1293
1,169,887
1,53,266
1,389,1963
1,52,265
1,30,155
1,149,765
1,181,947
1,432,2147
1,408,2048
1,320,1594
1,471,2349
1,269,1393
1,317,1581
1,423,2107
1,200,1054
1,343,1720
1,526,2643
1,593,3013
1,81,418
1,496,2514
1,76,365
1,71,341
1,184,961
1,437,2181
1,611,3074
1,342,1713
1,34,177
1,440,2196
1,409,2049
1,619,3110
1,306,1535
1,396,2002
1,249,1289
1,17,88
1,595,3019
1,559,2804
1,151,784
1,18,94
1,14,63
1,254,1305
1,217,1126
1,36,195
1,596,3022
1,579,2941
1,441,2202
1,533,2663
1,430,2144
1,614,3084
1,105,541
1,341,1712
1,23,119
1,504,2550
1,25,125
1,278,1421
1,238,1233
1,117,591
1,618,3109
1,304,1529
1,222,1153
1,155,809
1,350,1762
1,322,1609
1,126,658
1,484,2413
1,334,1676
1,234,1210
1,616,3107
1,216,1124
1,4,11
1,314,1572
1,463,2292
1,132,682
1,578,2939
1,280,1426
1,420,2095
1,368,1841
1,494,2496
1,565,2872
1,563,2847
1,599,3031
1,475,2362
1,106,545
1,598,3026
1,187,971
1,382,1922
1,251,1301
1,90,464
1,276,1417
1,553,2773
1,84,436
1,426,2121
1,228,1178
1,116,589
1,220,1138
1,431,2145
1,7,25
1,363,1816
1,178,928
1,401,2026
1,467,2313
1,622,3114
1,509,2567
1,110,569
1,89,458
1,271,1395
1,328,1640
1,453,2247
1,140,718
1,521,2616
1,626,3134
1,153,794
1,492,2481
1,82,420
1,364,1817
1,270,1394
1,514,2592
