"fold","index","original_test_index"
1,21,119
1,350,1706
1,264,1253
1,299,1415
1,147,726
1,313,1483
1,45,222
1,14,89
1,347,1676
1,247,1180
1,32,167
1,327,1549
1,388,1957
1,6,44
1,318,1502
1,133,647
1,213,1009
1,117,567
1,222,1070
1,200,953
1,235,1113
1,323,1518
1,36,188
1,348,1687
1,238,1124
1,119,572
1,228,1093
1,28,148
1,171,844
1,368,1825
1,337,1615
1,96,499
1,250,1189
1,375,1865
1,87,453
1,293,1386
1,3,13
1,4,14
1,74,390
1,307,1449
1,180,880
1,91,465
1,320,1505
1,387,1953
1,43,210
1,338,1624
1,184,897
1,339,1625
1,319,1503
1,128,605
1,396,1976
1,377,1873
1,160,782
1,268,1277
1,393,1965
1,357,1747
1,31,157
1,130,611
1,312,1477
1,156,764
1,190,919
1,30,152
1,369,1828
1,227,1088
1,256,1205
1,158,776
1,297,1405
1,241,1133
1,296,1403
1,212,989
1,168,833
1,283,1354
1,269,1280
1,123,589
1,336,1614
1,275,1312
1,195,926
1,303,1432
1,206,972
1,122,585
1,80,408
1,326,1527
1,139,694
1,262,1243
1,341,1634
1,26,141
1,109,541
1,19,111
1,116,560
1,65,336
1,395,1975
1,49,233
1,199,945
1,365,1788
1,335,1610
1,143,717
1,27,144
1,70,351
1,317,1500
1,112,546
1,376,1870
1,345,1673
1,57,293
1,170,843
1,286,1368
1,379,1898
1,292,1385
1,373,1849
1,394,1967
1,157,774
1,129,610
1,83,425
1,64,319
1,363,1778
1,107,539
1,110,543
1,314,1490
1,155,761
1,251,1190
1,95,496
1,39,199
1,344,1652
1,121,577
1,188,908
1,244,1155
1,44,212
1,374,1855
1,177,865
1,291,1384
1,270,1282
1,161,783
1,166,818
1,198,944
1,113,550
1,217,1026
1,355,1729
1,261,1233
1,35,180
1,17,96
1,287,1371
1,82,424
1,20,117
1,294,1398
1,12,83
1,92,467
1,196,927
1,48,230
1,229,1094
1,62,316
1,271,1290
1,380,1910
1,191,920
1,16,93
1,316,1498
1,164,795
1,370,1830
1,105,536
1,98,502
1,71,368
1,172,846
1,304,1435
1,13,85
1,2,3
1,389,1959
1,141,703
1,352,1722
1,381,1919
1,175,856
1,53,256
1,76,397
1,248,1182
1,111,545
1,324,1523
1,90,462
1,205,971
1,242,1138
1,118,569
1,189,916
1,202,955
1,146,724
1,207,978
1,224,1074
1,259,1218
1,272,1300
1,325,1526
1,127,603
1,78,402
1,332,1576
1,23,128
1,400,1989
1,315,1495
1,378,1895
1,68,344
1,243,1149
1,232,1107
1,306,1448
1,22,120
1,162,787
1,85,432
1,135,669
1,308,1457
1,142,710
1,8,59
1,38,194
1,236,1114
1,34,175
1,5,19
1,124,591
1,280,1325
1,266,1263
1,301,1425
1,159,781
1,233,1110
1,230,1098
1,59,303
1,144,720
1,359,1764
1,154,757
1,397,1978
1,97,500
1,40,200
1,63,317
1,221,1065
1,398,1980
1,137,675
1,151,742
1,209,983
1,15,91
1,136,671
1,163,789
1,50,234
1,346,1675
1,51,238
1,252,1191
1,99,504
1,267,1271
1,81,418
1,260,1219
1,101,522
1,263,1249
1,11,81
1,67,340
1,52,255
1,178,867
1,385,1947
1,331,1574
1,201,954
1,174,852
1,204,965
1,257,1211
1,203,958
1,10,72
1,282,1345
1,114,552
1,167,826
1,274,1305
1,358,1760
1,106,538
1,138,691
1,150,733
1,218,1030
1,84,426
1,58,298
1,61,313
1,66,337
1,351,1711
1,88,456
1,322,1515
1,215,1019
1,103,532
1,79,405
1,108,540
1,134,666
1,37,189
1,246,1164
1,255,1204
1,42,209
1,356,1735
1,281,1335
1,145,723
1,165,810
1,33,172
1,72,377
1,46,227
1,399,1982
1,152,744
1,153,751
1,185,900
1,309,1465
1,391,1963
1,353,1724
1,249,1183
1,245,1162
1,253,1195
1,41,206
1,93,473
1,362,1777
1,223,1072
1,239,1126
1,333,1592
1,279,1318
1,7,51
1,176,859
1,231,1106
1,192,921
1,219,1033
1,288,1372
1,258,1217
1,132,631
1,187,907
1,149,732
1,361,1770
1,240,1131
1,216,1023
1,73,379
1,329,1571
1,343,1650
1,77,401
1,225,1075
1,131,627
1,300,1424
1,220,1053
1,295,1401
1,311,1471
1,334,1593
1,24,129
1,289,1377
1,321,1511
1,273,1302
1,237,1122
1,234,1112
1,276,1313
1,214,1011
