Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Dataset: tic-tac-toe 
Technique: C5.0 
Probability table:

 negative  positive 
0.3465553 0.6534447 
BEGIN TRAINING
TRAINING SUCCESSFUL
The most important attribute: middle_middle_square (for technique: C5.0)
________________
Dataset: tic-tac-toe 
Technique: ctree 
Probability table:

 negative  positive 
0.3465553 0.6534447 
BEGIN TRAINING
TRAINING SUCCESSFUL
The most important attribute: middle_middle_square (for technique: ctree)
________________
Dataset: tic-tac-toe 
Technique: fda 
Probability table:

 negative  positive 
0.3465553 0.6534447 
BEGIN TRAINING
TRAINING SUCCESSFUL
The most important attribute: middle_middle_square (for technique: fda)
________________
Dataset: tic-tac-toe 
Technique: gbm 
Probability table:

 negative  positive 
0.3465553 0.6534447 
BEGIN TRAINING
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.2212            -nan     0.1000    0.0125
     2        1.2029            -nan     0.1000    0.0100
     3        1.1860            -nan     0.1000    0.0082
     4        1.1726            -nan     0.1000    0.0065
     5        1.1627            -nan     0.1000    0.0053
     6        1.1536            -nan     0.1000    0.0043
     7        1.1460            -nan     0.1000    0.0034
     8        1.1397            -nan     0.1000    0.0020
     9        1.1345            -nan     0.1000    0.0024
    10        1.1282            -nan     0.1000    0.0030
    20        1.0776            -nan     0.1000    0.0015
    40        1.0174            -nan     0.1000    0.0005
    60        0.9797            -nan     0.1000   -0.0001
    80        0.9531            -nan     0.1000    0.0001
   100        0.9314            -nan     0.1000   -0.0003
   120        0.9121            -nan     0.1000   -0.0000
   140        0.8934            -nan     0.1000   -0.0003
   150        0.8848            -nan     0.1000   -0.0003

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.2188            -nan     0.1000    0.0141
     2        1.1935            -nan     0.1000    0.0117
     3        1.1737            -nan     0.1000    0.0089
     4        1.1597            -nan     0.1000    0.0047
     5        1.1419            -nan     0.1000    0.0055
     6        1.1291            -nan     0.1000    0.0041
     7        1.1162            -nan     0.1000    0.0059
     8        1.1070            -nan     0.1000    0.0033
     9        1.0963            -nan     0.1000    0.0043
    10        1.0892            -nan     0.1000    0.0022
    20        1.0239            -nan     0.1000    0.0018
    40        0.9435            -nan     0.1000    0.0010
    60        0.8876            -nan     0.1000    0.0002
    80        0.8377            -nan     0.1000    0.0012
   100        0.7933            -nan     0.1000   -0.0003
   120        0.7542            -nan     0.1000   -0.0001
   140        0.7198            -nan     0.1000    0.0002
   150        0.7051            -nan     0.1000   -0.0006

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.2064            -nan     0.1000    0.0193
     2        1.1775            -nan     0.1000    0.0137
     3        1.1457            -nan     0.1000    0.0160
     4        1.1246            -nan     0.1000    0.0094
     5        1.1032            -nan     0.1000    0.0081
     6        1.0826            -nan     0.1000    0.0097
     7        1.0621            -nan     0.1000    0.0099
     8        1.0416            -nan     0.1000    0.0091
     9        1.0303            -nan     0.1000    0.0024
    10        1.0060            -nan     0.1000    0.0120
    20        0.8791            -nan     0.1000    0.0029
    40        0.7109            -nan     0.1000    0.0041
    60        0.5789            -nan     0.1000    0.0023
    80        0.4929            -nan     0.1000    0.0017
   100        0.4266            -nan     0.1000    0.0010
   120        0.3708            -nan     0.1000    0.0012
   140        0.3250            -nan     0.1000    0.0003
   150        0.3059            -nan     0.1000    0.0001

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.2562            -nan     0.1000    0.0143
     2        1.2329            -nan     0.1000    0.0118
