Current working directory: /home/chris/github/kappa-threshold 
parameters.csv exists: TRUE 
parameters.csv absolute path: /home/chris/github/kappa-threshold/data/files/parameters.csv 
Dataset: blood-transfusion-service-center 
Technique: C5.0 
Probability table:

        1         2 
0.7620321 0.2379679 
BEGIN TRAINING
TRAINING SUCCESSFUL
The most important attribute: V2 (for technique: C5.0)
________________
Dataset: blood-transfusion-service-center 
Technique: ctree 
Probability table:

        1         2 
0.7620321 0.2379679 
BEGIN TRAINING
TRAINING SUCCESSFUL
The most important attribute: V3 (for technique: ctree)
________________
Dataset: blood-transfusion-service-center 
Technique: fda 
Probability table:

        1         2 
0.7620321 0.2379679 
BEGIN TRAINING
TRAINING SUCCESSFUL
The most important attribute: V3 (for technique: fda)
________________
Dataset: blood-transfusion-service-center 
Technique: gbm 
Probability table:

        1         2 
0.7620321 0.2379679 
BEGIN TRAINING
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.1034            -nan     0.1000    0.0098
     2        1.0908            -nan     0.1000    0.0053
     3        1.0727            -nan     0.1000    0.0072
     4        1.0609            -nan     0.1000    0.0063
     5        1.0491            -nan     0.1000    0.0042
     6        1.0378            -nan     0.1000    0.0045
     7        1.0288            -nan     0.1000    0.0031
     8        1.0239            -nan     0.1000    0.0011
     9        1.0172            -nan     0.1000    0.0032
    10        1.0107            -nan     0.1000    0.0029
    20        0.9729            -nan     0.1000   -0.0001
    40        0.9239            -nan     0.1000    0.0003
    60        0.8933            -nan     0.1000   -0.0003
    80        0.8725            -nan     0.1000   -0.0000
   100        0.8583            -nan     0.1000   -0.0002
   120        0.8501            -nan     0.1000   -0.0009
   140        0.8425            -nan     0.1000   -0.0005
   150        0.8389            -nan     0.1000   -0.0011

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0910            -nan     0.1000    0.0169
     2        1.0679            -nan     0.1000    0.0135
     3        1.0419            -nan     0.1000    0.0106
     4        1.0269            -nan     0.1000    0.0075
     5        1.0112            -nan     0.1000    0.0067
     6        0.9976            -nan     0.1000    0.0060
     7        0.9865            -nan     0.1000    0.0043
     8        0.9736            -nan     0.1000    0.0035
     9        0.9665            -nan     0.1000    0.0013
    10        0.9577            -nan     0.1000    0.0038
    20        0.8986            -nan     0.1000    0.0009
    40        0.8440            -nan     0.1000   -0.0000
    60        0.8150            -nan     0.1000   -0.0005
    80        0.7914            -nan     0.1000   -0.0005
   100        0.7764            -nan     0.1000   -0.0014
   120        0.7614            -nan     0.1000   -0.0004
   140        0.7494            -nan     0.1000   -0.0021
   150        0.7445            -nan     0.1000   -0.0012

Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0874            -nan     0.1000    0.0175
     2        1.0584            -nan     0.1000    0.0138
     3        1.0297            -nan     0.1000    0.0113
     4        1.0065            -nan     0.1000    0.0115
     5        0.9876            -nan     0.1000    0.0076
     6        0.9734            -nan     0.1000    0.0063
     7        0.9575            -nan     0.1000    0.0051
     8        0.9455            -nan     0.1000    0.0051
