"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class","dataset_name","altered_attribute","noise_level"
"<0",-1.34,"critical/other existing credit","radio/tv",1169,"no known savings",">=7",4,"male single","none",4,"real estate",67,"none","own",2,"skilled",1,"yes","yes","good","credit-g","duration",0.5
"0<=X<200",42.29,"existing paid","radio/tv",5951,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",22,"none","own",1,"skilled",1,"none","yes","bad","credit-g","duration",0.5
"no checking",12.55,"critical/other existing credit","education",2096,"<100","4<=X<7",2,"male single","none",3,"real estate",49,"none","own",1,"unskilled resident",2,"none","yes","good","credit-g","duration",0.5
"<0",46.23,"existing paid","furniture/equipment",7882,"<100","4<=X<7",2,"male single","guarantor",4,"life insurance",45,"none","for free",1,"skilled",2,"none","yes","good","credit-g","duration",0.5
"<0",28.06,"delayed previously","new car",4870,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"none","for free",2,"skilled",2,"none","yes","bad","credit-g","duration",0.5
"no checking",43.63,"existing paid","education",9055,"no known savings","1<=X<4",2,"male single","none",4,"no known property",35,"none","for free",1,"unskilled resident",2,"yes","yes","good","credit-g","duration",0.5
"no checking",15.29,"existing paid","furniture/equipment",2835,"500<=X<1000",">=7",3,"male single","none",4,"life insurance",53,"none","own",1,"skilled",1,"none","yes","good","credit-g","duration",0.5
"0<=X<200",44.53,"existing paid","used car",6948,"<100","1<=X<4",2,"male single","none",2,"car",35,"none","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","duration",0.5
"no checking",2.44,"existing paid","radio/tv",3059,">=1000","4<=X<7",2,"male div/sep","none",4,"real estate",61,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","duration",0.5
"0<=X<200",31.48,"critical/other existing credit","new car",5234,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"none","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad","credit-g","duration",0.5
"0<=X<200",14.71,"existing paid","new car",1295,"<100","<1",3,"female div/dep/mar","none",1,"car",25,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","duration",0.5
"<0",53.71,"existing paid","business",4308,"<100","<1",3,"female div/dep/mar","none",4,"life insurance",24,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","duration",0.5
"0<=X<200",10.47,"existing paid","radio/tv",1567,"<100","1<=X<4",1,"female div/dep/mar","none",1,"car",22,"none","own",1,"skilled",1,"yes","yes","good","credit-g","duration",0.5
"<0",24.51,"critical/other existing credit","new car",1199,"<100",">=7",4,"male single","none",4,"car",60,"none","own",2,"unskilled resident",1,"none","yes","bad","credit-g","duration",0.5
"<0",22.27,"existing paid","new car",1403,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"none","rent",1,"skilled",1,"none","yes","good","credit-g","duration",0.5
"<0",25.03,"existing paid","radio/tv",1282,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"car",32,"none","own",1,"unskilled resident",1,"none","yes","bad","credit-g","duration",0.5
"no checking",37.72,"critical/other existing credit","radio/tv",2424,"no known savings",">=7",4,"male single","none",4,"life insurance",53,"none","own",2,"skilled",1,"none","yes","good","credit-g","duration",0.5
"<0",38.01,"no credits/all paid","business",8072,"no known savings","<1",2,"male single","none",3,"car",25,"bank","own",3,"skilled",1,"none","yes","good","credit-g","duration",0.5
"0<=X<200",25.87,"existing paid","used car",12579,"<100",">=7",4,"female div/dep/mar","none",2,"no known property",44,"none","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","duration",0.5
