"V1","V2","V3","V4","V5","class","dataset_name","altered_attribute","noise_level"
0.553823,-0.189665,-1.85,-1.249093,-0.685406,"1","phoneme","V3",0.2
-0.660158,-0.141079,2.59,-1.544766,-0.136583,"1","phoneme","V3",0.2
-0.757811,-0.176658,1.18,-1.107165,-0.486269,"1","phoneme","V3",0.2
-0.75511,-0.160173,0.76,-1.090817,-0.491231,"1","phoneme","V3",0.2
-0.565511,0.453241,0.89,0.300258,-0.136583,"1","phoneme","V3",0.2
0.000655,0.968564,-0.27,-0.145701,-0.467262,"1","phoneme","V3",0.2
0.134145,2.067209,-1.42,-0.208018,0.873025,"1","phoneme","V3",0.2
1.85755,-0.032825,-1.07,-0.336295,0.346117,"1","phoneme","V3",0.2
-0.440401,0.198863,1.11,-1.263376,0.579047,"1","phoneme","V3",0.2
-0.876485,-1.132677,-0.35,-1.279776,-0.136583,"1","phoneme","V3",0.2
2.146826,-0.746456,-0.5,0.820393,-0.648817,"1","phoneme","V3",0.2
-0.471986,0.381647,0.74,0.2168,-0.931391,"1","phoneme","V3",0.2
-0.44121,-0.330898,2.19,1.119478,-0.854611,"1","phoneme","V3",0.2
-0.782606,-0.661448,0.99,-0.500597,-0.136583,"1","phoneme","V3",0.2
-0.502402,-0.474365,1.83,-1.299249,-1.084729,"1","phoneme","V3",0.2
-0.358629,1.790906,-1.48,-0.067745,-0.407433,"1","phoneme","V3",0.2
-0.354559,1.195635,-1.45,-0.738447,0.092904,"1","phoneme","V3",0.2
-0.427813,1.370594,0.89,0.359712,-0.136583,"1","phoneme","V3",0.2
-0.72042,-0.81502,0.12,1.957674,-1.188037,"1","phoneme","V3",0.2
-0.687508,-0.306381,1.54,-1.317941,-0.651253,"1","phoneme","V3",0.2
-0.764065,-0.840439,0.02,-1.482918,3.532691,"1","phoneme","V3",0.2
-0.688566,-0.240896,-0.78,0.101285,0.811225,"1","phoneme","V3",0.2
0.500151,2.04754,-1.18,-0.715742,-0.359568,"1","phoneme","V3",0.2
-0.427611,1.177845,0.45,0.399896,-0.562622,"1","phoneme","V3",0.2
-0.199746,2.295114,-1.59,-0.780895,-0.390759,"1","phoneme","V3",0.2
1.268564,-0.809534,-1.01,-0.319041,-0.471204,"1","phoneme","V3",0.2
-0.175154,0.926288,-0.03,-0.812528,-0.351959,"1","phoneme","V3",0.2
-0.128641,1.131056,-1.22,-0.736861,-0.136583,"1","phoneme","V3",0.2
0.854278,0.263994,-0.28,-0.736229,-0.342654,"1","phoneme","V3",0.2
-0.443125,-0.959579,0.6,0.951976,1.276193,"1","phoneme","V3",0.2
1.51388,-0.229146,-1.12,-0.355572,-0.244412,"1","phoneme","V3",0.2
-0.288167,0.642969,0.34,-0.964956,-0.405699,"1","phoneme","V3",0.2
1.874354,-0.341721,0.06,0.781952,-0.676645,"1","phoneme","V3",0.2
0.379065,1.685332,-1.35,-0.718646,-0.318021,"1","phoneme","V3",0.2
-0.839546,-1.085919,-0.52,1.354647,-0.136583,"1","phoneme","V3",0.2
-0.553105,-0.161794,2.03,0.978692,-0.849602,"1","phoneme","V3",0.2
-0.63876,-0.087933,1.72,-1.264797,-0.136583,"1","phoneme","V3",0.2
0.132525,2.21264,-1.43,0.184049,0.478583,"1","phoneme","V3",0.2
0.135873,1.151666,-0.06,0.835057,0.577631,"1","phoneme","V3",0.2
-0.278129,-0.268697,1.63,-0.992002,0.802722,"1","phoneme","V3",0.2
-0.499338,0.825484,-0.05,0.066449,-0.136583,"1","phoneme","V3",0.2
-0.238549,0.515105,-1.26,-0.705511,-0.318775,"1","phoneme","V3",0.2
2.800069,-0.658572,-0.69,-0.577747,-0.216652,"1","phoneme","V3",0.2
1.410856,-0.732245,-1.12,-0.402061,-0.039794,"1","phoneme","V3",0.2
1.564827,-0.450744,-0.1,-0.619596,-0.240873,"1","phoneme","V3",0.2
-0.640853,0.308997,0.29,-1.089428,0.450351,"1","phoneme","V3",0.2
-0.814761,-0.530813,0.64,1.711407,-0.136583,"1","phoneme","V3",0.2
-0.859581,-1.03171,-0.15,0.666409,-0.136583,"1","phoneme","V3",0.2
-0.473368,0.571893,-1.24,-0.730626,-0.316249,"1","phoneme","V3",0.2
-0.810518,-0.928357,-1.8,2.11345,-1.869512,"1","phoneme","V3",0.2
0.283645,0.524564,-1.37,-0.848173,2.957034,"1","phoneme","V3",0.2
0.187063,-2.287426,-1.3,-2.132887,-1.588234,"1","phoneme","V3",0.2
1.168358,-0.577562,-0.65,-0.313358,0.035385,"1","phoneme","V3",0.2
1.269845,-1.186373,-1.2,-0.373039,-0.258447,"1","phoneme","V3",0.2
-0.729998,0.393609,1.53,-1.371444,-0.136583,"1","phoneme","V3",0.2
3.074218,-0.662559,-0.99,-0.602766,-0.040356,"1","phoneme","V3",0.2
1.416375,-0.031674,-0.91,-0.371426,-0.246768,"1","phoneme","V3",0.2
-0.855447,-0.997939,0.15,0.341951,0.69448,"1","phoneme","V3",0.2
-0.111144,1.385493,-1.26,-0.123499,-0.639118,"1","phoneme","V3",0.2
-0.736054,-0.60531,0.28,1.080659,-1.140589,"1","phoneme","V3",0.2
0.356986,-0.784294,-0.43,-0.204031,-0.441488,"1","phoneme","V3",0.2
-0.790184,-0.797708,1.16,1.772723,-1.028348,"1","phoneme","V3",0.2
0.816024,0.161545,-1.1,-0.334029,-0.276489,"1","phoneme","V3",0.2
-0.697243,-0.288742,1.46,0.882349,-0.759776,"1","phoneme","V3",0.2
3.156467,-1.798109,-0.59,-0.59897,-0.01305,"1","phoneme","V3",0.2
-0.324704,2.215472,-1.5,-0.828575,-0.136583,"1","phoneme","V3",0.2
-0.095822,2.254964,-1.75,0.048233,0.187144,"1","phoneme","V3",0.2
-0.369767,0.793911,-1.28,-0.765277,-0.309813,"1","phoneme","V3",0.2
0.441728,1.174461,0.12,-1.081045,1.229704,"1","phoneme","V3",0.2
0.093409,0.757932,-1.33,-0.03992,1.930247,"1","phoneme","V3",0.2
2.081345,-0.025011,-0.5,0.590883,-0.500828,"1","phoneme","V3",0.2
-0.629301,-0.387638,1.51,0.8997,-0.936368,"1","phoneme","V3",0.2
-0.830649,-1.105849,-0.37,-0.745461,-0.892059,"1","phoneme","V3",0.2
-1.137285,1.094232,0.35,-1.140521,-0.136583,"1","phoneme","V3",0.2
-0.681403,-0.336133,1.46,0.783847,-0.750311,"1","phoneme","V3",0.2
1.60541,-0.877556,-0.63,-0.3815,-0.220347,"1","phoneme","V3",0.2
-1.107941,-0.374295,1.69,0.984743,-0.854046,"1","phoneme","V3",0.2
-0.644448,-0.257475,2.46,-1.545763,0.994191,"1","phoneme","V3",0.2
