"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class","dataset_name","altered_attribute","noise_level"
"<0",6,"critical/other existing credit","radio/tv",5027.18,"no known savings",">=7",4,"male single","none",4,"real estate",67,"none","own",2,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.9
"0<=X<200",48,"existing paid","radio/tv",6267.57,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",22,"none","own",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.9
"no checking",12,"critical/other existing credit","education",1464.77,"<100","4<=X<7",2,"male single","none",3,"real estate",49,"none","own",1,"unskilled resident",2,"none","yes","good","credit-g","credit_amount",0.9
"<0",42,"existing paid","furniture/equipment",7267.38,"<100","4<=X<7",2,"male single","guarantor",4,"life insurance",45,"none","for free",1,"skilled",2,"none","yes","good","credit-g","credit_amount",0.9
"<0",24,"delayed previously","new car",1669.6,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"none","for free",2,"skilled",2,"none","yes","bad","credit-g","credit_amount",0.9
"no checking",36,"existing paid","education",11966.09,"no known savings","1<=X<4",2,"male single","none",4,"no known property",35,"none","for free",1,"unskilled resident",2,"yes","yes","good","credit-g","credit_amount",0.9
"no checking",24,"existing paid","furniture/equipment",-2161.14,"500<=X<1000",">=7",3,"male single","none",4,"life insurance",53,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.9
"0<=X<200",36,"existing paid","used car",13003.94,"<100","1<=X<4",2,"male single","none",2,"car",35,"none","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","credit_amount",0.9
"no checking",12,"existing paid","radio/tv",5894.94,">=1000","4<=X<7",2,"male div/sep","none",4,"real estate",61,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.9
"0<=X<200",30,"critical/other existing credit","new car",2831.81,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"none","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad","credit-g","credit_amount",0.9
"0<=X<200",12,"existing paid","new car",-67.95,"<100","<1",3,"female div/dep/mar","none",1,"car",25,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.9
"<0",48,"existing paid","business",2920.28,"<100","<1",3,"female div/dep/mar","none",4,"life insurance",24,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.9
"0<=X<200",12,"existing paid","radio/tv",3808.66,"<100","1<=X<4",1,"female div/dep/mar","none",1,"car",22,"none","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.9
"<0",24,"critical/other existing credit","new car",1180.08,"<100",">=7",4,"male single","none",4,"car",60,"none","own",2,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.9
"<0",15,"existing paid","new car",621.92,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"none","rent",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.9
"<0",24,"existing paid","radio/tv",1672.88,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"car",32,"none","own",1,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.9
"no checking",24,"critical/other existing credit","radio/tv",5009.89,"no known savings",">=7",4,"male single","none",4,"life insurance",53,"none","own",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.9
"<0",30,"no credits/all paid","business",9816.58,"no known savings","<1",2,"male single","none",3,"car",25,"bank","own",3,"skilled",1,"none","yes","good","credit-g","credit_amount",0.9
"0<=X<200",24,"existing paid","used car",13764.87,"<100",">=7",4,"female div/dep/mar","none",2,"no known property",44,"none","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","credit_amount",0.9
"no checking",24,"existing paid","radio/tv",5636.72,"500<=X<1000",">=7",3,"male single","none",2,"car",31,"none","own",1,"skilled",2,"yes","yes","good","credit-g","credit_amount",0.9
"no checking",9,"critical/other existing credit","new car",-516.91,"<100","1<=X<4",4,"male single","none",4,"car",48,"none","own",3,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.9
"<0",6,"existing paid","radio/tv",1103.18,"500<=X<1000","1<=X<4",2,"male single","none",3,"real estate",44,"none","rent",1,"skilled",2,"none","yes","good","credit-g","credit_amount",0.9
"<0",10,"critical/other existing credit","new car",3009.91,"<100","<1",1,"male single","none",3,"real estate",48,"none","rent",2,"unskilled resident",2,"none","no","good","credit-g","credit_amount",0.9
"0<=X<200",12,"critical/other existing credit","used car",4532.16,"100<=X<500","<1",3,"male single","none",4,"life insurance",44,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.9
"no checking",10,"critical/other existing credit","furniture/equipment",5440.47,"no known savings","1<=X<4",2,"male mar/wid","none",1,"car",26,"none","own",2,"skilled",1,"none","no","good","credit-g","credit_amount",0.9
