"class","attr1","attr2","attr3","attr4","attr5","attr6","dataset_name","altered_attribute","noise_level"
0,1,1.6,1,1,2,2,"monks-problems-2","attr2",0.8
0,1,-0.42,1,1,4,1,"monks-problems-2","attr2",0.8
0,1,0.32,1,2,1,1,"monks-problems-2","attr2",0.8
0,1,1.2,1,2,1,2,"monks-problems-2","attr2",0.8
0,1,0.92,1,2,2,1,"monks-problems-2","attr2",0.8
0,1,2.32,1,2,3,1,"monks-problems-2","attr2",0.8
0,1,0.93,1,2,4,1,"monks-problems-2","attr2",0.8
0,1,1.48,1,3,2,1,"monks-problems-2","attr2",0.8
0,1,1.29,1,3,4,1,"monks-problems-2","attr2",0.8
0,1,0.48,2,1,1,1,"monks-problems-2","attr2",0.8
0,1,0.3,2,1,1,2,"monks-problems-2","attr2",0.8
0,1,2.23,2,2,3,1,"monks-problems-2","attr2",0.8
0,1,1.2,2,2,4,1,"monks-problems-2","attr2",0.8
1,1,0.25,2,2,4,2,"monks-problems-2","attr2",0.8
0,1,1.6,2,3,1,2,"monks-problems-2","attr2",0.8
1,1,0.02,2,3,2,2,"monks-problems-2","attr2",0.8
0,1,3.5,1,1,1,2,"monks-problems-2","attr2",0.8
0,1,1.65,1,2,1,2,"monks-problems-2","attr2",0.8
1,1,1.51,1,2,2,2,"monks-problems-2","attr2",0.8
0,1,1.14,1,2,3,1,"monks-problems-2","attr2",0.8
1,1,2.34,1,2,3,2,"monks-problems-2","attr2",0.8
0,1,2.45,1,2,4,1,"monks-problems-2","attr2",0.8
0,1,2.04,1,3,1,1,"monks-problems-2","attr2",0.8
0,1,1.54,1,3,1,2,"monks-problems-2","attr2",0.8
1,1,2.65,1,3,2,2,"monks-problems-2","attr2",0.8
0,1,1.76,1,3,3,1,"monks-problems-2","attr2",0.8
1,1,2.52,1,3,3,2,"monks-problems-2","attr2",0.8
0,1,1.66,1,3,4,1,"monks-problems-2","attr2",0.8
1,1,1.86,1,3,4,2,"monks-problems-2","attr2",0.8
0,1,1.3,2,1,2,1,"monks-problems-2","attr2",0.8
0,1,2.41,2,1,4,1,"monks-problems-2","attr2",0.8
1,1,1.99,2,2,3,1,"monks-problems-2","attr2",0.8
1,1,2.1,2,2,4,1,"monks-problems-2","attr2",0.8
0,1,1.21,2,3,1,1,"monks-problems-2","attr2",0.8
1,1,2.58,2,3,1,2,"monks-problems-2","attr2",0.8
1,1,2.75,2,3,3,1,"monks-problems-2","attr2",0.8
0,1,2.31,2,3,3,2,"monks-problems-2","attr2",0.8
1,1,2.17,2,3,4,1,"monks-problems-2","attr2",0.8
0,1,1.33,2,3,4,2,"monks-problems-2","attr2",0.8
0,1,3.04,1,1,1,2,"monks-problems-2","attr2",0.8
0,1,1.46,1,1,2,2,"monks-problems-2","attr2",0.8
0,1,3.89,1,1,3,1,"monks-problems-2","attr2",0.8
0,1,3.27,1,1,3,2,"monks-problems-2","attr2",0.8
0,1,1.96,1,2,2,1,"monks-problems-2","attr2",0.8
1,1,2.61,1,2,2,2,"monks-problems-2","attr2",0.8
1,1,2.86,1,2,3,2,"monks-problems-2","attr2",0.8
0,1,4.64,1,2,4,1,"monks-problems-2","attr2",0.8
1,1,2.03,1,3,2,2,"monks-problems-2","attr2",0.8
0,1,2.94,1,3,3,1,"monks-problems-2","attr2",0.8
1,1,2.1,1,3,4,2,"monks-problems-2","attr2",0.8
0,1,2.87,2,1,3,1,"monks-problems-2","attr2",0.8
1,1,2.36,2,1,3,2,"monks-problems-2","attr2",0.8
0,1,3.66,2,1,4,1,"monks-problems-2","attr2",0.8
1,1,2.89,2,2,1,2,"monks-problems-2","attr2",0.8
0,1,3.43,2,2,3,2,"monks-problems-2","attr2",0.8
0,1,3.43,2,2,4,2,"monks-problems-2","attr2",0.8
1,1,2.31,2,3,2,1,"monks-problems-2","attr2",0.8
0,2,0.68,1,1,1,1,"monks-problems-2","attr2",0.8
0,2,0.66,1,1,2,2,"monks-problems-2","attr2",0.8
0,2,1.12,1,1,3,1,"monks-problems-2","attr2",0.8
1,2,0.66,1,2,2,2,"monks-problems-2","attr2",0.8
0,2,0.26,1,3,1,2,"monks-problems-2","attr2",0.8
