"variance","skewness","curtosis","entropy","class","dataset_name","altered_attribute","noise_level"
3.6216,7.27,-2.8073,-0.44699,"0","banknote","skewness",1
4.5459,21.97,-2.4586,-1.4621,"0","banknote","skewness",1
3.866,-4.96,1.9242,0.10645,"0","banknote","skewness",1
3.4566,14.63,-4.0112,-3.5944,"0","banknote","skewness",1
0.32924,0.81,4.5718,-0.9888,"0","banknote","skewness",1
4.3684,4.46,-3.9606,-3.1625,"0","banknote","skewness",1
3.5912,10.58,0.72888,0.56421,"0","banknote","skewness",1
2.0922,-13.58,8.4636,-0.60216,"0","banknote","skewness",1
3.2032,6.54,-0.75345,-0.61251,"0","banknote","skewness",1
1.5356,5.41,-2.2718,-0.73535,"0","banknote","skewness",1
1.2247,13.53,-2.2135,-0.80647,"0","banknote","skewness",1
3.9899,-12.25,2.3946,0.86291,"0","banknote","skewness",1
1.8993,-7.85,0.15394,-3.1108,"0","banknote","skewness",1
-1.5768,18.73,2.5462,-2.9362,"0","banknote","skewness",1
3.404,9.5,-2.9915,-0.57242,"0","banknote","skewness",1
4.6765,-0.87,3.4896,1.4771,"0","banknote","skewness",1
2.6719,0.74,0.37158,0.58619,"0","banknote","skewness",1
0.80355,5.83,4.3439,0.6017,"0","banknote","skewness",1
1.4479,-14.09,8.3428,-2.1086,"0","banknote","skewness",1
5.2423,6.08,-4.353,-4.1013,"0","banknote","skewness",1
5.7867,3.73,-2.6196,-0.48708,"0","banknote","skewness",1
0.3292,3.37,4.5718,-0.9888,"0","banknote","skewness",1
3.9362,5.5,-3.8235,-4.0172,"0","banknote","skewness",1
0.93584,-2.39,-1.6831,-1.6599,"0","banknote","skewness",1
4.4338,5.28,-4.6795,-3.7483,"0","banknote","skewness",1
0.7057,-1.33,8.3368,-2.8715,"0","banknote","skewness",1
1.1432,-5.91,5.5777,-0.63578,"0","banknote","skewness",1
-0.38214,2.29,2.1624,-3.7405,"0","banknote","skewness",1
6.5633,5.01,-4.4113,-3.2258,"0","banknote","skewness",1
4.8906,6.35,3.4202,1.0905,"0","banknote","skewness",1
-0.24811,-3.86,4.9068,0.15429,"0","banknote","skewness",1
