COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class,dataset_name,altered_attribute,noise_level
95,48,83,169.62,72,10,162,42,20,159,176,379,184,70,6,16,187,197,van,vehicle,RADIUS_RATIO,0.3
91,41,84,156.17,57,9,149,45,19,143,170,330,158,72,9,14,189,199,van,vehicle,RADIUS_RATIO,0.3
104,50,106,194.81,66,10,207,32,23,158,223,635,220,73,14,9,188,196,saab,vehicle,RADIUS_RATIO,0.3
93,41,82,168.14,63,9,144,46,19,143,160,309,127,63,6,10,199,207,van,vehicle,RADIUS_RATIO,0.3
85,44,70,202.77,103,52,149,45,19,144,241,325,188,127,9,11,180,183,bus,vehicle,RADIUS_RATIO,0.3
107,57,106,172.85,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus,vehicle,RADIUS_RATIO,0.3
97,43,73,169.7,65,6,153,42,19,143,176,361,172,66,13,1,200,204,bus,vehicle,RADIUS_RATIO,0.3
90,43,66,159.73,65,9,137,48,18,146,162,281,164,67,3,3,193,202,van,vehicle,RADIUS_RATIO,0.3
86,34,62,140.77,61,7,122,54,17,127,141,223,112,64,2,14,200,208,van,vehicle,RADIUS_RATIO,0.3
93,44,98,202.04,62,11,183,36,22,146,202,505,152,64,4,14,195,204,saab,vehicle,RADIUS_RATIO,0.3
86,36,70,122.24,61,9,133,50,18,130,153,266,127,66,2,10,194,202,van,vehicle,RADIUS_RATIO,0.3
90,34,66,148.05,55,6,123,54,17,118,148,224,118,65,5,26,196,202,saab,vehicle,RADIUS_RATIO,0.3
88,46,74,164.34,68,6,152,43,19,148,180,349,192,71,5,11,189,195,bus,vehicle,RADIUS_RATIO,0.3
89,42,85,149.44,58,10,152,44,19,144,173,345,161,72,8,13,187,197,van,vehicle,RADIUS_RATIO,0.3
94,49,79,209.51,71,5,174,37,21,154,196,465,206,71,6,2,197,199,bus,vehicle,RADIUS_RATIO,0.3
96,55,103,217.72,65,9,204,32,23,166,227,624,246,74,6,2,186,194,opel,vehicle,RADIUS_RATIO,0.3
89,36,51,110.49,52,6,118,57,17,129,137,206,125,80,2,14,181,185,van,vehicle,RADIUS_RATIO,0.3
99,41,77,215.27,69,6,177,36,21,139,202,485,151,72,4,10,198,199,bus,vehicle,RADIUS_RATIO,0.3
104,54,100,184.43,61,10,216,31,24,173,225,686,220,74,5,11,185,195,saab,vehicle,RADIUS_RATIO,0.3
101,56,100,217.51,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel,vehicle,RADIUS_RATIO,0.3
84,47,75,149.87,64,6,154,43,19,145,175,354,184,75,0,3,185,192,bus,vehicle,RADIUS_RATIO,0.3
84,37,53,121.21,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van,vehicle,RADIUS_RATIO,0.3
94,43,64,167.07,69,7,150,43,19,142,169,344,177,68,9,1,199,206,bus,vehicle,RADIUS_RATIO,0.3
87,39,70,128.72,61,7,143,46,18,136,164,307,141,69,1,2,192,199,bus,vehicle,RADIUS_RATIO,0.3
99,53,105,210.71,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab,vehicle,RADIUS_RATIO,0.3
85,45,80,162.82,64,9,147,45,19,148,169,324,174,71,1,4,188,199,van,vehicle,RADIUS_RATIO,0.3
83,36,54,130.73,57,6,128,53,18,125,143,238,139,82,6,3,179,183,saab,vehicle,RADIUS_RATIO,0.3
107,54,98,199.94,65,11,218,31,25,167,229,696,216,72,1,28,187,199,saab,vehicle,RADIUS_RATIO,0.3
102,45,85,185.5,64,6,192,33,22,146,217,570,163,76,6,7,195,193,bus,vehicle,RADIUS_RATIO,0.3
80,38,63,138.37,55,7,146,46,19,130,168,314,158,83,9,20,180,185,saab,vehicle,RADIUS_RATIO,0.3
89,43,85,160.67,64,11,155,43,19,151,173,356,174,72,5,9,185,196,van,vehicle,RADIUS_RATIO,0.3
88,42,77,151.56,58,8,140,47,18,142,165,293,158,64,10,11,198,205,saab,vehicle,RADIUS_RATIO,0.3
93,35,66,156.77,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel,vehicle,RADIUS_RATIO,0.3
101,48,107,223.25,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel,vehicle,RADIUS_RATIO,0.3
87,38,85,183.79,61,8,164,40,20,129,186,402,130,63,1,25,198,205,opel,vehicle,RADIUS_RATIO,0.3
100,46,90,171.49,67,9,157,43,20,150,170,363,184,67,17,7,192,200,van,vehicle,RADIUS_RATIO,0.3
82,44,72,119.73,52,7,152,44,19,147,174,340,177,82,2,2,180,185,bus,vehicle,RADIUS_RATIO,0.3
90,48,86,303.7,126,49,153,44,19,156,272,346,200,118,0,15,185,194,van,vehicle,RADIUS_RATIO,0.3
106,53,98,189.98,54,10,216,31,24,171,235,691,218,74,1,9,187,197,saab,vehicle,RADIUS_RATIO,0.3
81,45,68,167.53,73,6,151,44,19,146,173,336,186,75,7,0,183,189,bus,vehicle,RADIUS_RATIO,0.3
95,48,104,228.92,67,9,205,32,23,151,227,628,202,74,5,9,186,193,opel,vehicle,RADIUS_RATIO,0.3
88,37,51,101.86,52,5,119,57,17,128,135,207,125,86,8,16,179,183,van,vehicle,RADIUS_RATIO,0.3
94,49,87,145.37,54,11,158,43,20,162,178,366,186,75,5,5,183,194,van,vehicle,RADIUS_RATIO,0.3
93,37,76,193.94,63,8,164,40,20,134,191,405,139,67,4,7,192,197,saab,vehicle,RADIUS_RATIO,0.3
119,54,106,213.23,65,12,213,31,24,167,223,675,232,66,20,1,192,202,saab,vehicle,RADIUS_RATIO,0.3
93,46,82,160.42,58,11,159,43,20,160,180,371,189,77,2,4,183,194,van,vehicle,RADIUS_RATIO,0.3
91,43,70,138.08,55,8,130,51,18,146,159,253,156,70,1,8,190,194,van,vehicle,RADIUS_RATIO,0.3
85,42,66,124.74,54,6,148,46,19,141,172,317,174,88,6,14,180,182,bus,vehicle,RADIUS_RATIO,0.3
89,47,81,131.9,64,11,156,44,20,163,170,352,188,76,6,13,184,193,van,vehicle,RADIUS_RATIO,0.3
91,45,79,186.98,59,9,163,40,20,148,184,404,179,62,0,10,199,208,saab,vehicle,RADIUS_RATIO,0.3
78,38,63,117.96,51,6,142,47,19,130,162,299,146,77,2,4,181,185,saab,vehicle,RADIUS_RATIO,0.3
92,38,71,179.28,66,7,154,43,19,133,181,355,130,70,4,24,189,195,saab,vehicle,RADIUS_RATIO,0.3
98,55,101,235.67,70,9,210,31,24,168,236,661,245,72,1,6,188,197,opel,vehicle,RADIUS_RATIO,0.3
101,42,62,177.63,67,6,149,43,19,139,169,341,165,65,7,11,202,209,bus,vehicle,RADIUS_RATIO,0.3
101,56,104,190.01,53,6,257,26,28,168,275,956,230,83,5,26,180,184,bus,vehicle,RADIUS_RATIO,0.3
94,36,66,154.42,61,8,133,50,18,135,154,265,119,62,9,3,201,208,van,vehicle,RADIUS_RATIO,0.3
97,44,96,197.18,63,9,185,36,22,144,202,512,165,66,4,8,191,199,saab,vehicle,RADIUS_RATIO,0.3
89,47,84,135.92,55,11,157,44,20,160,169,354,176,74,5,9,182,192,van,vehicle,RADIUS_RATIO,0.3
107,53,103,209.61,66,11,209,32,24,163,222,653,212,66,0,1,191,201,opel,vehicle,RADIUS_RATIO,0.3
85,39,68,110.95,52,5,128,53,18,135,148,241,142,75,8,8,182,187,van,vehicle,RADIUS_RATIO,0.3
103,50,98,214.64,63,9,193,34,22,161,214,567,185,64,5,5,198,204,opel,vehicle,RADIUS_RATIO,0.3
77,38,63,132.6,59,5,130,52,18,130,145,247,139,79,13,21,183,187,opel,vehicle,RADIUS_RATIO,0.3
96,40,70,118.66,50,8,137,50,18,141,162,269,139,80,10,13,183,183,van,vehicle,RADIUS_RATIO,0.3
83,42,66,159.08,67,7,150,45,19,144,174,333,159,78,4,2,182,188,bus,vehicle,RADIUS_RATIO,0.3
93,45,86,200.55,69,7,184,35,22,145,203,523,183,72,0,4,194,197,bus,vehicle,RADIUS_RATIO,0.3
89,41,75,129.89,56,7,146,46,19,137,170,317,156,76,18,5,184,188,opel,vehicle,RADIUS_RATIO,0.3
81,43,68,135.29,57,8,149,46,19,146,169,323,172,83,6,18,179,184,bus,vehicle,RADIUS_RATIO,0.3
98,55,101,207.75,69,11,225,30,25,178,231,748,216,74,6,14,187,195,opel,vehicle,RADIUS_RATIO,0.3
86,44,78,159.71,68,9,142,46,18,147,168,305,171,70,1,11,190,201,van,vehicle,RADIUS_RATIO,0.3
98,49,84,208.1,74,7,190,34,22,154,208,558,209,74,4,7,195,195,bus,vehicle,RADIUS_RATIO,0.3
