"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,-1.43,0.2,"Iris_setosa","iris","petallength",1
4.9,3,2.8,0.2,"Iris_setosa","iris","petallength",1
4.7,3.2,1.42,0.2,"Iris_setosa","iris","petallength",1
4.6,3.1,2.58,0.2,"Iris_setosa","iris","petallength",1
5,3.6,-0.72,0.2,"Iris_setosa","iris","petallength",1
5.4,3.9,1.1,0.4,"Iris_setosa","iris","petallength",1
4.6,3.4,-0.67,0.3,"Iris_setosa","iris","petallength",1
5,3.4,0.04,0.2,"Iris_setosa","iris","petallength",1
4.4,2.9,1.8,0.2,"Iris_setosa","iris","petallength",1
4.9,3.1,0.06,0.1,"Iris_setosa","iris","petallength",1
5.4,3.7,-0.25,0.2,"Iris_setosa","iris","petallength",1
4.8,3.4,-0.7,0.2,"Iris_setosa","iris","petallength",1
4.8,3,-1.13,0.1,"Iris_setosa","iris","petallength",1
4.3,3,-0.42,0.1,"Iris_setosa","iris","petallength",1
5.8,4,4.21,0.2,"Iris_setosa","iris","petallength",1
5.7,4.4,0.34,0.4,"Iris_setosa","iris","petallength",1
5.4,3.9,-0.66,0.4,"Iris_setosa","iris","petallength",1
5.1,3.5,-1.08,0.3,"Iris_setosa","iris","petallength",1
5.7,3.8,1.43,0.3,"Iris_setosa","iris","petallength",1
5.1,3.8,0.8,0.3,"Iris_setosa","iris","petallength",1
5.4,3.4,2.14,0.2,"Iris_setosa","iris","petallength",1
5.1,3.7,1,0.4,"Iris_setosa","iris","petallength",1
4.6,3.6,2.53,0.2,"Iris_setosa","iris","petallength",1
5.1,3.3,2.97,0.5,"Iris_setosa","iris","petallength",1
4.8,3.4,3.76,0.2,"Iris_setosa","iris","petallength",1
5,3,2.03,0.2,"Iris_setosa","iris","petallength",1
5,3.4,3.57,0.4,"Iris_setosa","iris","petallength",1
5.2,3.5,1.36,0.2,"Iris_setosa","iris","petallength",1
5.2,3.4,3.05,0.2,"Iris_setosa","iris","petallength",1
4.7,3.2,1.32,0.2,"Iris_setosa","iris","petallength",1
4.8,3.1,0.4,0.2,"Iris_setosa","iris","petallength",1
5.4,3.4,-0.65,0.4,"Iris_setosa","iris","petallength",1
5.2,4.1,0.25,0.1,"Iris_setosa","iris","petallength",1
5.5,4.2,0.08,0.2,"Iris_setosa","iris","petallength",1
4.9,3.1,2.52,0.1,"Iris_setosa","iris","petallength",1
5,3.2,1.11,0.2,"Iris_setosa","iris","petallength",1
5.5,3.5,0.19,0.2,"Iris_setosa","iris","petallength",1
4.9,3.1,-0.09,0.1,"Iris_setosa","iris","petallength",1
4.4,3,3.97,0.2,"Iris_setosa","iris","petallength",1
5.1,3.4,1.08,0.2,"Iris_setosa","iris","petallength",1
5,3.5,-0.9,0.3,"Iris_setosa","iris","petallength",1
