"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,7.27,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"false","kc1","t",0.1
1,1,1,1,1,1,1,1,1,1,1,-49.13,1,1,1,1,1,1,1,1,1,"true","kc1","t",0.1
83,11,1,11,171,927.89,0.04,23.04,40.27,21378.61,0.31,1237.95,65,10,6,0,18,25,107,64,21,"true","kc1","t",0.1
46,8,6,8,141,769.78,0.07,14.86,51.81,11436.73,0.26,768.89,37,2,5,0,16,28,89,52,15,"true","kc1","t",0.1
25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,66.32,21,0,2,0,11,10,41,17,5,"true","kc1","t",0.1
43,3,1,3,115,569.73,0.09,11.27,50.53,6423.73,0.19,439.7,35,2,4,0,11,20,74,41,5,"true","kc1","t",0.1
48,6,1,6,149,751.61,0.06,15.43,48.72,11596.34,0.25,772.77,41,2,2,0,12,21,95,54,11,"true","kc1","t",0.1
69,12,1,12,231,1212.27,0.04,27.27,44.45,33061.94,0.4,1817.57,62,3,2,0,16,22,156,75,23,"true","kc1","t",0.1
47,6,1,6,149,745,0.06,16.2,45.99,12069,0.25,590.03,41,2,1,0,12,20,95,54,11,"true","kc1","t",0.1
48,7,1,7,155,801.34,0.06,17.82,44.97,14278.39,0.27,765.4,42,2,1,0,14,22,99,56,13,"true","kc1","t",0.1
58,9,1,9,193,1027.13,0.05,20.7,49.62,21261.63,0.34,1147.56,50,2,2,0,15,25,124,69,17,"true","kc1","t",0.1
65,6,1,5,155,801.34,0.05,19.73,40.62,15808.22,0.27,681.07,54,4,5,0,14,22,93,62,11,"true","kc1","t",0.1
116,11,4,8,289,1700.08,0.04,26.6,63.91,45222.23,0.57,2442.39,88,14,12,0,19,40,177,112,21,"true","kc1","t",0.1
24,4,1,4,74,347.83,0.09,11.37,30.6,3953.7,0.12,245.3,20,0,0,0,11,15,43,31,7,"true","kc1","t",0.1
77,19,12,19,231,1245.63,0.03,29.25,42.59,36434.54,0.42,1988.1,61,7,7,0,18,24,153,78,37,"true","kc1","t",0.1
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,-67.01,5,0,0,0,7,5,8,5,1,"true","kc1","t",0.1
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,-69.04,13,0,1,0,8,14,24,19,3,"true","kc1","t",0.1
93,7,3,6,257,1499.05,0.03,29.86,50.21,44757.43,0.5,2425.35,71,4,15,0,22,35,162,95,12,"true","kc1","t",0.1
23,1,1,1,67,307.19,0.21,4.74,64.87,1454.65,0.1,148.57,18,0,1,0,7,17,44,23,1,"true","kc1","t",0.1
30,1,1,1,21,85.84,0.3,3.33,25.75,286.12,0.03,2.24,18,0,1,0,5,12,5,16,1,"true","kc1","t",0.1
30,1,1,1,54,108,0.03,39,2.77,4212,0.04,199.22,28,0,0,0,3,1,28,26,1,"true","kc1","t",0.1
35,3,1,3,108,529.94,0.08,13,40.76,6889.27,0.18,259.48,30,0,3,0,12,18,69,39,5,"true","kc1","t",0.1
25,4,1,4,57,232.99,0.07,13.5,17.26,3145.3,0.08,80.16,20,0,3,0,9,8,33,24,7,"true","kc1","t",0.1
20,7,7,3,54,240.81,0.1,9.58,25.13,2307.76,0.08,164.38,14,0,1,0,10,12,31,23,13,"true","kc1","t",0.1
119,14,1,14,289,1605.28,0.03,30.72,52.25,49320.73,0.54,2591.47,85,26,6,0,18,29,190,99,27,"true","kc1","t",0.1
35,4,1,4,78,362.22,0.07,14.31,25.32,5182.54,0.12,271.58,31,0,2,0,12,13,47,31,7,"true","kc1","t",0.1
33,4,1,4,73,334.7,0.07,14.5,23.08,4853.18,0.11,354.69,30,0,1,0,12,12,44,29,7,"true","kc1","t",0.1
17,2,1,2,25,92.51,0.16,6.4,14.45,592.07,0.03,13.88,12,0,3,0,8,5,17,8,3,"true","kc1","t",0.1
44,3,1,3,127,603.87,0.06,16,37.74,9661.93,0.2,394.64,38,2,2,0,12,15,87,40,5,"true","kc1","t",0.1
84,15,9,15,230,1347.34,0.04,25.26,53.35,34029.33,0.45,1807.26,72,0,10,0,21,37,141,89,29,"true","kc1","t",0.1
56,3,1,3,150,769.39,0.07,14.09,54.62,10838.4,0.26,618.4,43,3,4,0,12,23,96,54,5,"true","kc1","t",0.1
58,3,1,3,191,1016.49,0.05,21,48.4,21346.25,0.34,1218.32,46,2,3,0,15,25,121,70,5,"true","kc1","t",0.1
78,7,1,6,213,1189.6,0.06,17.71,67.19,21062.86,0.4,1201.68,66,4,6,0,14,34,127,86,13,"true","kc1","t",0.1
75,8,3,8,250,1356.57,0.03,29.1,46.62,39470.86,0.45,2121.96,63,5,5,0,17,26,161,89,15,"true","kc1","t",0.1
12,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,52.26,6,1,3,0,5,6,14,8,1,"true","kc1","t",0.1
11,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,-59.59,6,1,2,0,5,6,14,8,1,"true","kc1","t",0.1
69,10,1,10,199,1059.06,0.04,25,42.36,26476.59,0.35,1544.54,54,7,6,0,16,24,124,75,19,"true","kc1","t",0.1
39,5,3,5,86,430,0.09,11.67,36.86,5016.67,0.14,232.36,33,1,1,0,14,18,56,30,8,"true","kc1","t",0.1
53,5,1,5,113,579.61,0.1,9.65,60.05,5594.49,0.19,402.86,47,0,0,0,12,23,76,37,8,"true","kc1","t",0.1
52,5,1,5,107,544.36,0.1,9.82,55.44,5344.61,0.18,334,46,0,1,0,12,22,71,36,8,"true","kc1","t",0.1
30,2,1,2,74,330,0.08,12.5,26.4,4124.97,0.11,484.98,24,2,2,0,10,12,44,30,3,"true","kc1","t",0.1
27,3,1,3,77,394.95,0.14,7.1,55.59,2805.82,0.13,222.02,22,0,3,0,11,24,46,31,5,"true","kc1","t",0.1
47,7,1,6,105,525,0.08,12.05,43.58,6323.86,0.18,186.85,43,0,2,0,10,22,52,53,13,"true","kc1","t",0.1
49,7,1,6,110,554.88,0.08,12.17,45.58,6755.1,0.18,457.23,44,0,3,0,10,23,54,56,13,"true","kc1","t",0.1
7,1,1,1,14,50.19,0.33,3,16.73,150.57,0.02,232.53,4,0,0,0,6,6,8,6,1,"true","kc1","t",0.1
66,12,5,12,177,922.07,0.05,20.45,45.08,18860.59,0.31,962.88,55,4,5,0,15,22,117,60,23,"true","kc1","t",0.1
14,1,1,1,29,118.54,0.18,5.63,21.07,666.77,0.04,56.97,7,2,2,0,9,8,19,10,1,"true","kc1","t",0.1
29,3,1,3,64,300.83,0.11,9.17,32.82,2757.59,0.1,172.2,25,0,1,0,11,15,39,25,5,"true","kc1","t",0.1
6,1,1,1,14,48.43,0.4,2.5,19.37,121.08,0.02,-60.88,4,0,0,0,5,6,8,6,1,"true","kc1","t",0.1
12,1,1,1,36,140.65,0.19,5.25,26.79,738.4,0.05,-16.08,9,0,0,0,7,8,24,12,1,"true","kc1","t",0.1
38,7,1,7,119,583.92,0.06,16,36.49,9342.72,0.19,403.65,30,0,6,0,12,18,71,48,13,"true","kc1","t",0.1
132,16,11,13,322,2052.76,0.03,29.65,69.24,60862.61,0.68,3357.27,101,7,22,0,26,57,192,130,31,"true","kc1","t",0.1
26,4,1,4,81,418.76,0.08,11.79,35.53,4935.43,0.14,188.53,24,0,0,0,15,21,48,33,7,"true","kc1","t",0.1
56,5,1,4,178,988.72,0.08,13.19,74.95,13042.34,0.33,732.35,48,1,5,0,13,34,109,69,9,"true","kc1","t",0.1
21,1,1,1,76,365.36,0.16,6.2,58.93,2265.23,0.12,38.92,14,0,0,0,8,20,45,31,1,"true","kc1","t",0.1
43,6,5,5,95,508.97,0.05,18.9,26.93,9619.48,0.17,661.82,30,0,10,0,21,20,59,36,11,"true","kc1","t",0.1
12,4,1,2,44,199.04,0.1,9.82,20.27,1954.18,0.07,329.96,10,0,0,0,12,11,26,18,7,"true","kc1","t",0.1
11,1,1,1,26,98.99,0.17,6,16.5,593.95,0.03,9.37,8,0,1,0,8,6,17,9,1,"true","kc1","t",0.1
26,2,1,2,68,319.63,0.14,7.15,44.72,2284.41,0.11,87.21,21,0,3,0,9,17,41,27,3,"true","kc1","t",0.1
80,11,1,11,274,1637.77,0.03,28.71,57.05,47016.12,0.55,2767.17,66,2,10,0,22,41,167,107,21,"true","kc1","t",0.1
63,8,1,8,185,1069.55,0.04,24.33,43.95,26025.75,0.36,1458.19,52,2,7,0,22,33,112,73,15,"true","kc1","t",0.1
10,2,1,2,23,87.57,0.08,12.83,6.82,1123.8,0.03,-164.57,8,0,0,0,11,3,16,7,3,"true","kc1","t",0.1
9,2,1,1,31,129.27,0.18,5.6,23.08,723.9,0.04,-91.89,6,0,0,0,8,10,17,14,3,"true","kc1","t",0.1
35,5,1,4,89,448.95,0.05,20.4,22.01,9158.6,0.15,497.1,29,1,3,0,18,15,55,34,9,"true","kc1","t",0.1
9,1,1,1,25,92.51,0.4,2.5,37,231.28,0.03,81.6,7,0,0,0,5,8,17,8,1,"true","kc1","t",0.1
16,2,1,2,35,136.74,0.07,13.75,9.94,1880.19,0.05,190.83,11,0,1,2,11,4,25,10,3,"true","kc1","t",0.1
5,1,1,1,10,28.07,0.27,3.75,7.49,105.28,0.01,53.42,3,0,0,0,5,2,7,3,1,"true","kc1","t",0.1
16,1,1,1,28,109.39,0.22,4.57,23.93,500.08,0.04,188.25,11,1,1,0,8,7,20,8,3,"true","kc1","t",0.1
4,1,1,1,7,19.65,0.33,3,6.55,58.95,0.01,-117.89,2,0,0,0,6,1,6,1,1,"true","kc1","t",0.1
12,2,1,2,24,88.81,0.29,3.43,25.9,304.49,0.03,-67.43,8,2,0,0,6,7,16,8,3,"true","kc1","t",0.1
8,2,1,1,20,74.01,0.19,5.25,14.1,388.55,0.02,2.32,5,0,0,0,7,6,11,9,3,"true","kc1","t",0.1
4,1,1,1,5,11.61,0.5,2,5.8,23.22,0,158.22,2,0,0,0,4,1,4,1,1,"true","kc1","t",0.1
14,2,1,2,29,120.93,0.15,6.87,17.59,831.38,0.04,129.65,11,1,0,0,10,8,18,11,3,"true","kc1","t",0.1
56,3,1,2,101,537.51,0.13,7.5,71.67,4031.36,0.18,109.31,33,5,14,0,10,30,56,45,5,"true","kc1","t",0.1
30,2,1,2,55,248.8,0.11,9.17,27.14,2280.63,0.08,-2.62,21,0,4,0,11,12,35,20,3,"true","kc1","t",0.1
52,8,1,8,247,1440.72,0.04,23.08,62.43,33247.47,0.48,1797.15,45,0,2,3,18,39,147,100,15,"true","kc1","t",0.1
41,6,3,6,109,572.02,0.05,18.45,31,10553.84,0.19,604.77,35,0,2,0,18,20,68,41,11,"true","kc1","t",0.1
4,1,1,1,1,0,0,0,0,0,0,182.82,1,1,0,0,1,0,1,0,1,"true","kc1","t",0.1
15,1,1,1,26,101.58,0.29,3.5,29.02,355.53,0.03,-63.84,8,2,3,0,7,8,18,8,1,"true","kc1","t",0.1
9,1,1,1,31,107.24,0.29,3.43,31.28,367.69,0.04,-9.3,7,0,0,0,4,7,19,12,1,"true","kc1","t",0.1
5,1,1,1,8,24,0.33,3,8,72,0.01,-145.55,3,0,0,0,6,2,6,2,1,"true","kc1","t",0.1
25,1,1,1,65,309.07,0.15,6.5,47.55,2008.94,0.1,75.28,13,1,2,0,9,18,39,26,1,"true","kc1","t",0.1
45,1,1,1,0,0,0,0,0,0,0,-93.38,0,0,0,0,0,0,0,0,1,"true","kc1","t",0.1
4,1,1,1,4,8,0.67,1.5,5.33,12,0,-122.19,2,0,0,0,3,1,3,1,1,"true","kc1","t",0.1
23,3,1,2,70,316.65,0.07,14.18,22.33,4490.66,0.11,294.46,18,1,1,0,12,11,44,26,5,"true","kc1","t",0.1
14,1,1,1,33,134.89,0.24,4.2,32.11,566.52,0.04,-84.09,10,0,0,0,7,10,21,12,1,"true","kc1","t",0.1
18,2,1,1,39,156,0.1,9.64,16.18,1504.29,0.05,-15.02,14,0,2,0,9,7,24,15,3,"true","kc1","t",0.1
40,4,1,3,110,544.96,0.07,15.17,35.93,8265.25,0.18,293.56,31,1,2,0,13,18,68,42,7,"true","kc1","t",0.1
24,3,1,2,80,371.51,0.07,13.85,26.83,5143.96,0.12,207.1,18,1,1,0,12,13,50,30,5,"true","kc1","t",0.1
52,6,1,5,133,670.9,0.06,16.25,41.29,10902.2,0.22,493.84,43,3,2,0,13,20,83,50,11,"true","kc1","t",0.1
11,1,1,1,14,51.81,0.25,4,12.95,207.22,0.02,-100.24,6,0,1,0,8,5,9,5,1,"true","kc1","t",0.1
23,6,6,2,70,346.79,0.05,19.79,17.52,6863.63,0.12,463.02,17,0,4,0,19,12,45,25,11,"true","kc1","t",0.1
4,1,1,1,4,8,0.67,1.5,5.33,12,0,-41.44,2,0,0,0,3,1,3,1,1,"true","kc1","t",0.1
38,8,8,5,191,1123.58,0.04,28.27,39.75,31758.83,0.37,1603.52,26,1,8,0,27,32,124,67,15,"true","kc1","t",0.1
113,15,11,14,527,3493.67,0.03,33.28,104.99,116258.98,1.16,6396.89,88,5,18,0,25,74,330,197,29,"true","kc1","t",0.1
8,1,1,1,26,106.27,0.26,3.85,27.6,409.16,0.04,-149.77,4,0,2,0,7,10,15,11,1,"true","kc1","t",0.1
38,6,3,6,167,894.71,0.05,20.8,43.01,18609.99,0.3,1145.45,26,0,10,0,16,25,102,65,11,"true","kc1","t",0.1
47,13,10,10,231,1303.73,0.03,36.93,35.3,48144.92,0.43,2831.69,40,0,5,0,22,28,137,94,25,"true","kc1","t",0.1
8,1,1,1,17,60.94,0.2,5,12.19,304.72,0.02,-47.62,4,0,2,0,8,4,12,5,1,"true","kc1","t",0.1
4,1,1,1,5,11.61,0.67,1.5,7.74,17.41,0,130.12,2,0,0,0,3,2,3,2,1,"true","kc1","t",0.1
15,3,1,1,43,204.46,0.1,9.69,21.1,1981.69,0.07,302.85,10,0,3,0,14,13,25,18,5,"true","kc1","t",0.1
38,5,1,5,61,307.71,0.07,15,20.51,4615.62,0.1,319.51,19,0,17,0,18,15,36,25,7,"true","kc1","t",0.1
48,12,1,11,177,977.67,0.04,26.92,36.31,26321.9,0.33,1387.2,38,2,6,0,20,26,107,70,21,"true","kc1","t",0.1
70,15,14,3,293,1662.02,0.02,41.3,40.24,68641.45,0.55,3829.3,52,0,11,0,21,30,175,118,29,"true","kc1","t",0.1
23,5,3,3,116,633.29,0.04,22.8,27.78,14439.1,0.21,1009.35,16,0,5,0,24,20,78,38,9,"true","kc1","t",0.1
27,8,6,5,128,694.56,0.05,20.16,34.45,14002.37,0.23,735.24,22,0,3,0,18,25,72,56,15,"true","kc1","t",0.1
10,1,1,1,26,104,0.23,4.28,24.31,444.89,0.03,-111.19,5,0,3,0,7,9,15,11,1,"true","kc1","t",0.1
13,1,1,1,46,213.62,0.13,7.46,28.62,1594.5,0.07,91.24,9,2,0,0,11,14,27,19,1,"true","kc1","t",0.1
23,8,8,8,109,545,0.07,14.71,37.05,8017.24,0.18,521.09,19,0,1,0,13,19,66,43,15,"true","kc1","t",0.1
11,4,4,4,38,164.23,0.1,9.78,16.8,1605.84,0.05,212.58,8,0,1,0,11,9,22,16,7,"true","kc1","t",0.1
9,2,1,2,42,184.48,0.13,7.73,23.87,1425.51,0.06,74.56,6,0,1,0,10,11,25,17,3,"true","kc1","t",0.1
11,3,3,2,43,202.12,0.14,6.97,29.01,1408.1,0.07,114.84,7,0,2,0,11,15,24,19,5,"true","kc1","t",0.1
49,8,1,7,185,1088.29,0.06,17.81,61.1,19385.15,0.36,1114.62,35,3,9,0,19,40,110,75,15,"true","kc1","t",0.1
53,11,6,9,354,2139.72,0.02,44.31,48.29,94805.86,0.71,5093.86,43,0,8,0,27,39,226,128,21,"true","kc1","t",0.1
21,5,4,2,81,418.76,0.05,21,19.94,8794.04,0.14,301.24,13,0,6,0,21,15,51,30,9,"true","kc1","t",0.1
