COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class,dataset_name,altered_attribute,noise_level
95,48,83,183.64,72,10,162,42,20,159,176,379,184,70,6,16,187,197,van,vehicle,RADIUS_RATIO,0.4
91,41,84,137.83,57,9,149,45,19,143,170,330,158,72,9,14,189,199,van,vehicle,RADIUS_RATIO,0.4
104,50,106,209.75,66,10,207,32,23,158,223,635,220,73,14,9,188,196,saab,vehicle,RADIUS_RATIO,0.4
93,41,82,133.92,63,9,144,46,19,143,160,309,127,63,6,10,199,207,van,vehicle,RADIUS_RATIO,0.4
85,44,70,224.46,103,52,149,45,19,144,241,325,188,127,9,11,180,183,bus,vehicle,RADIUS_RATIO,0.4
107,57,106,182.53,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus,vehicle,RADIUS_RATIO,0.4
97,43,73,201.05,65,6,153,42,19,143,176,361,172,66,13,1,200,204,bus,vehicle,RADIUS_RATIO,0.4
90,43,66,153.94,65,9,137,48,18,146,162,281,164,67,3,3,193,202,van,vehicle,RADIUS_RATIO,0.4
86,34,62,147.0,61,7,122,54,17,127,141,223,112,64,2,14,200,208,van,vehicle,RADIUS_RATIO,0.4
93,44,98,221.06,62,11,183,36,22,146,202,505,152,64,4,14,195,204,saab,vehicle,RADIUS_RATIO,0.4
86,36,70,150.92,61,9,133,50,18,130,153,266,127,66,2,10,194,202,van,vehicle,RADIUS_RATIO,0.4
90,34,66,133.73,55,6,123,54,17,118,148,224,118,65,5,26,196,202,saab,vehicle,RADIUS_RATIO,0.4
88,46,74,192.75,68,6,152,43,19,148,180,349,192,71,5,11,189,195,bus,vehicle,RADIUS_RATIO,0.4
89,42,85,139.58,58,10,152,44,19,144,173,345,161,72,8,13,187,197,van,vehicle,RADIUS_RATIO,0.4
94,49,79,208.4,71,5,174,37,21,154,196,465,206,71,6,2,197,199,bus,vehicle,RADIUS_RATIO,0.4
96,55,103,201.11,65,9,204,32,23,166,227,624,246,74,6,2,186,194,opel,vehicle,RADIUS_RATIO,0.4
89,36,51,112.56,52,6,118,57,17,129,137,206,125,80,2,14,181,185,van,vehicle,RADIUS_RATIO,0.4
99,41,77,176.18,69,6,177,36,21,139,202,485,151,72,4,10,198,199,bus,vehicle,RADIUS_RATIO,0.4
104,54,100,186.14,61,10,216,31,24,173,225,686,220,74,5,11,185,195,saab,vehicle,RADIUS_RATIO,0.4
101,56,100,181.94,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel,vehicle,RADIUS_RATIO,0.4
84,47,75,166.76,64,6,154,43,19,145,175,354,184,75,0,3,185,192,bus,vehicle,RADIUS_RATIO,0.4
84,37,53,97.55,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van,vehicle,RADIUS_RATIO,0.4
94,43,64,172.25,69,7,150,43,19,142,169,344,177,68,9,1,199,206,bus,vehicle,RADIUS_RATIO,0.4
87,39,70,152.36,61,7,143,46,18,136,164,307,141,69,1,2,192,199,bus,vehicle,RADIUS_RATIO,0.4
99,53,105,233.35,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab,vehicle,RADIUS_RATIO,0.4
85,45,80,129.12,64,9,147,45,19,148,169,324,174,71,1,4,188,199,van,vehicle,RADIUS_RATIO,0.4
83,36,54,140.7,57,6,128,53,18,125,143,238,139,82,6,3,179,183,saab,vehicle,RADIUS_RATIO,0.4
107,54,98,185.83,65,11,218,31,25,167,229,696,216,72,1,28,187,199,saab,vehicle,RADIUS_RATIO,0.4
102,45,85,202.79,64,6,192,33,22,146,217,570,163,76,6,7,195,193,bus,vehicle,RADIUS_RATIO,0.4
80,38,63,134.59,55,7,146,46,19,130,168,314,158,83,9,20,180,185,saab,vehicle,RADIUS_RATIO,0.4
89,43,85,163.44,64,11,155,43,19,151,173,356,174,72,5,9,185,196,van,vehicle,RADIUS_RATIO,0.4
88,42,77,157.01,58,8,140,47,18,142,165,293,158,64,10,11,198,205,saab,vehicle,RADIUS_RATIO,0.4
93,35,66,158.75,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel,vehicle,RADIUS_RATIO,0.4
101,48,107,221.6,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel,vehicle,RADIUS_RATIO,0.4
87,38,85,172.15,61,8,164,40,20,129,186,402,130,63,1,25,198,205,opel,vehicle,RADIUS_RATIO,0.4
100,46,90,177.25,67,9,157,43,20,150,170,363,184,67,17,7,192,200,van,vehicle,RADIUS_RATIO,0.4
82,44,72,127.82,52,7,152,44,19,147,174,340,177,82,2,2,180,185,bus,vehicle,RADIUS_RATIO,0.4
90,48,86,312.26,126,49,153,44,19,156,272,346,200,118,0,15,185,194,van,vehicle,RADIUS_RATIO,0.4
106,53,98,183.05,54,10,216,31,24,171,235,691,218,74,1,9,187,197,saab,vehicle,RADIUS_RATIO,0.4
81,45,68,180.88,73,6,151,44,19,146,173,336,186,75,7,0,183,189,bus,vehicle,RADIUS_RATIO,0.4
95,48,104,199.51,67,9,205,32,23,151,227,628,202,74,5,9,186,193,opel,vehicle,RADIUS_RATIO,0.4
88,37,51,114.07,52,5,119,57,17,128,135,207,125,86,8,16,179,183,van,vehicle,RADIUS_RATIO,0.4
94,49,87,149.74,54,11,158,43,20,162,178,366,186,75,5,5,183,194,van,vehicle,RADIUS_RATIO,0.4
93,37,76,155.82,63,8,164,40,20,134,191,405,139,67,4,7,192,197,saab,vehicle,RADIUS_RATIO,0.4
119,54,106,217.17,65,12,213,31,24,167,223,675,232,66,20,1,192,202,saab,vehicle,RADIUS_RATIO,0.4
93,46,82,153.79,58,11,159,43,20,160,180,371,189,77,2,4,183,194,van,vehicle,RADIUS_RATIO,0.4
91,43,70,110.68,55,8,130,51,18,146,159,253,156,70,1,8,190,194,van,vehicle,RADIUS_RATIO,0.4
85,42,66,115.98,54,6,148,46,19,141,172,317,174,88,6,14,180,182,bus,vehicle,RADIUS_RATIO,0.4
89,47,81,149.68,64,11,156,44,20,163,170,352,188,76,6,13,184,193,van,vehicle,RADIUS_RATIO,0.4
91,45,79,184.42,59,9,163,40,20,148,184,404,179,62,0,10,199,208,saab,vehicle,RADIUS_RATIO,0.4
78,38,63,147.86,51,6,142,47,19,130,162,299,146,77,2,4,181,185,saab,vehicle,RADIUS_RATIO,0.4
92,38,71,165.66,66,7,154,43,19,133,181,355,130,70,4,24,189,195,saab,vehicle,RADIUS_RATIO,0.4
98,55,101,232.02,70,9,210,31,24,168,236,661,245,72,1,6,188,197,opel,vehicle,RADIUS_RATIO,0.4
101,42,62,166.11,67,6,149,43,19,139,169,341,165,65,7,11,202,209,bus,vehicle,RADIUS_RATIO,0.4
101,56,104,173.0,53,6,257,26,28,168,275,956,230,83,5,26,180,184,bus,vehicle,RADIUS_RATIO,0.4
94,36,66,161.72,61,8,133,50,18,135,154,265,119,62,9,3,201,208,van,vehicle,RADIUS_RATIO,0.4
97,44,96,203.74,63,9,185,36,22,144,202,512,165,66,4,8,191,199,saab,vehicle,RADIUS_RATIO,0.4
89,47,84,119.24,55,11,157,44,20,160,169,354,176,74,5,9,182,192,van,vehicle,RADIUS_RATIO,0.4
107,53,103,244.79,66,11,209,32,24,163,222,653,212,66,0,1,191,201,opel,vehicle,RADIUS_RATIO,0.4
85,39,68,134.55,52,5,128,53,18,135,148,241,142,75,8,8,182,187,van,vehicle,RADIUS_RATIO,0.4
103,50,98,196.7,63,9,193,34,22,161,214,567,185,64,5,5,198,204,opel,vehicle,RADIUS_RATIO,0.4
77,38,63,128.63,59,5,130,52,18,130,145,247,139,79,13,21,183,187,opel,vehicle,RADIUS_RATIO,0.4
96,40,70,111.57,50,8,137,50,18,141,162,269,139,80,10,13,183,183,van,vehicle,RADIUS_RATIO,0.4
83,42,66,158.27,67,7,150,45,19,144,174,333,159,78,4,2,182,188,bus,vehicle,RADIUS_RATIO,0.4
93,45,86,200.71,69,7,184,35,22,145,203,523,183,72,0,4,194,197,bus,vehicle,RADIUS_RATIO,0.4
89,41,75,139.55,56,7,146,46,19,137,170,317,156,76,18,5,184,188,opel,vehicle,RADIUS_RATIO,0.4
81,43,68,133.0,57,8,149,46,19,146,169,323,172,83,6,18,179,184,bus,vehicle,RADIUS_RATIO,0.4
98,55,101,214.16,69,11,225,30,25,178,231,748,216,74,6,14,187,195,opel,vehicle,RADIUS_RATIO,0.4
86,44,78,145.7,68,9,142,46,18,147,168,305,171,70,1,11,190,201,van,vehicle,RADIUS_RATIO,0.4
98,49,84,230.26,74,7,190,34,22,154,208,558,209,74,4,7,195,195,bus,vehicle,RADIUS_RATIO,0.4
96,55,98,178.43,54,10,215,31,24,175,226,683,221,76,3,6,185,193,opel,vehicle,RADIUS_RATIO,0.4
97,59,108,217.87,70,11,224,30,25,186,225,732,218,70,10,25,186,198,opel,vehicle,RADIUS_RATIO,0.4
92,39,91,182.13,62,8,176,37,21,137,196,466,151,67,3,23,192,200,opel,vehicle,RADIUS_RATIO,0.4
73,37,53,108.95,54,6,126,55,18,128,135,227,147,82,1,15,176,184,opel,vehicle,RADIUS_RATIO,0.4
89,42,89,158.79,61,11,151,44,19,145,170,338,163,72,11,23,187,199,van,vehicle,RADIUS_RATIO,0.4
101,53,103,230.78,63,9,195,34,22,162,210,571,210,68,5,5,191,198,opel,vehicle,RADIUS_RATIO,0.4
91,39,83,183.29,60,8,172,38,21,134,197,445,152,72,0,10,188,194,saab,vehicle,RADIUS_RATIO,0.4
86,40,62,156.66,62,7,150,45,19,133,165,330,173,82,2,3,180,185,saab,vehicle,RADIUS_RATIO,0.4
104,52,94,215.2,66,5,208,31,24,161,227,666,218,76,11,4,193,191,bus,vehicle,RADIUS_RATIO,0.4
89,44,68,105.88,50,7,150,45,19,147,171,328,189,88,6,5,179,182,bus,vehicle,RADIUS_RATIO,0.4
87,46,71,161.06,66,6,151,44,19,146,175,343,189,73,2,0,186,190,bus,vehicle,RADIUS_RATIO,0.4
99,51,92,202.81,65,5,209,31,24,159,232,671,214,78,5,11,191,189,bus,vehicle,RADIUS_RATIO,0.4
94,36,68,121.61,54,7,127,52,18,132,155,242,116,66,1,2,195,196,van,vehicle,RADIUS_RATIO,0.4
79,40,80,100.91,55,7,147,47,19,135,172,311,144,76,8,30,181,193,opel,vehicle,RADIUS_RATIO,0.4
89,40,76,200.69,76,7,150,44,19,136,174,342,148,72,3,8,193,197,bus,vehicle,RADIUS_RATIO,0.4
110,58,106,210.33,51,6,261,26,28,171,278,998,257,83,9,13,181,182,bus,vehicle,RADIUS_RATIO,0.4
89,41,84,145.85,58,9,149,45,19,145,172,330,162,72,4,18,188,200,van,vehicle,RADIUS_RATIO,0.4
86,37,60,111.13,54,5,119,56,17,132,141,209,129,72,2,8,186,190,van,vehicle,RADIUS_RATIO,0.4
91,42,84,217.36,75,6,171,38,20,138,189,446,161,69,3,12,196,201,bus,vehicle,RADIUS_RATIO,0.4
80,37,57,109.18,55,6,125,54,18,125,142,229,132,81,8,5,178,184,opel,vehicle,RADIUS_RATIO,0.4
104,55,107,225.25,68,11,218,31,24,173,232,703,229,71,3,10,188,199,saab,vehicle,RADIUS_RATIO,0.4
94,38,84,148.3,55,9,169,39,20,130,196,430,155,69,9,15,190,195,opel,vehicle,RADIUS_RATIO,0.4
104,52,100,190.9,59,9,197,33,23,158,218,583,234,70,10,10,191,198,saab,vehicle,RADIUS_RATIO,0.4
94,48,87,164.71,64,10,157,43,20,161,179,363,186,75,4,15,184,195,van,vehicle,RADIUS_RATIO,0.4
84,45,66,160.66,65,6,145,46,19,144,168,312,177,73,2,3,184,188,bus,vehicle,RADIUS_RATIO,0.4
97,50,108,219.57,65,10,214,31,24,156,232,683,218,72,7,29,188,197,opel,vehicle,RADIUS_RATIO,0.4
89,42,80,126.24,62,6,144,46,19,139,166,308,170,74,17,13,185,189,saab,vehicle,RADIUS_RATIO,0.4
86,43,68,154.46,62,7,150,44,19,142,179,337,164,75,4,9,188,192,bus,vehicle,RADIUS_RATIO,0.4
95,46,105,215.72,68,9,201,33,23,148,223,602,201,69,5,38,191,202,opel,vehicle,RADIUS_RATIO,0.4
87,44,65,131.46,56,6,149,46,19,144,170,321,171,87,4,12,179,182,bus,vehicle,RADIUS_RATIO,0.4
82,45,66,257.38,126,52,148,45,19,144,237,326,185,119,1,1,181,185,bus,vehicle,RADIUS_RATIO,0.4
95,42,85,155.22,66,9,153,44,19,144,168,347,150,65,11,5,196,204,van,vehicle,RADIUS_RATIO,0.4
94,42,68,148.0,64,7,128,52,18,143,154,246,159,69,14,5,192,196,van,vehicle,RADIUS_RATIO,0.4
92,38,60,73.7,62,5,114,58,17,132,135,194,137,72,14,5,190,194,van,vehicle,RADIUS_RATIO,0.4
102,45,83,204.2,65,5,194,33,22,146,225,576,167,79,0,27,193,191,bus,vehicle,RADIUS_RATIO,0.4
108,53,103,197.42,64,10,220,30,25,168,224,711,214,73,11,10,188,199,saab,vehicle,RADIUS_RATIO,0.4
99,46,105,216.02,64,11,197,34,23,152,212,575,159,65,0,33,194,205,opel,vehicle,RADIUS_RATIO,0.4
