"Feature_0","Feature_1","Feature_2","Feature_3","Feature_4","Feature_5","Feature_6","Feature_7","Feature_8","Feature_9","class","dataset_name","altered_attribute","noise_level"
-3.639,0.418,-0.67,1.779,-0.168,2.14,-0.388,0.529,-0.874,-0.814,"P","vowel","Feature_5",0.7
-3.327,0.496,-0.694,1.365,-0.265,2.45,-0.363,0.51,-0.621,-0.488,"N","vowel","Feature_5",0.7
-2.12,0.894,-1.576,0.147,-0.707,1.54,-0.579,0.676,-0.809,-0.049,"N","vowel","Feature_5",0.7
-2.287,1.809,-1.498,1.012,-1.053,0.46,-0.567,0.235,-0.091,-0.795,"N","vowel","Feature_5",0.7
-2.598,1.938,-0.846,1.062,-1.633,0.6,0.394,-0.15,0.277,-0.396,"N","vowel","Feature_5",0.7
-2.852,1.914,-0.755,0.825,-1.588,1.44,0.217,-0.246,0.238,-0.365,"N","vowel","Feature_5",0.7
-3.482,2.524,-0.433,1.048,-1.995,0.9,0.322,0.45,0.377,-0.366,"N","vowel","Feature_5",0.7
-3.941,2.305,0.124,1.771,-1.815,0.18,-0.435,0.992,0.575,-0.301,"N","vowel","Feature_5",0.7
-3.86,2.116,-0.939,0.688,-0.675,2.27,-0.512,0.928,-0.167,-0.434,"N","vowel","Feature_5",0.7
-3.648,1.812,-1.378,1.578,0.065,2.62,-0.466,0.702,0.06,-0.836,"N","vowel","Feature_5",0.7
-3.032,1.739,-1.141,0.737,-0.834,1.08,-0.575,0.679,-0.018,-0.823,"N","vowel","Feature_5",0.7
-3.653,0.373,-0.6,1.705,-0.222,2.06,-0.353,0.537,-0.797,-0.813,"P","vowel","Feature_5",0.7
-3.237,0.436,-0.86,1.363,-0.251,2.21,-0.395,0.751,-0.774,-0.327,"N","vowel","Feature_5",0.7
-2.135,0.954,-1.632,0.121,-0.704,1.97,-0.628,0.713,-0.903,-0.027,"N","vowel","Feature_5",0.7
-2.304,1.784,-1.506,0.981,-0.961,0.99,-0.294,-0.002,0.119,-0.76,"N","vowel","Feature_5",0.7
-2.54,2.144,-1.024,0.933,-1.567,1.33,0.188,-0.047,0.309,-0.633,"N","vowel","Feature_5",0.7
-2.826,2.003,-0.738,0.801,-1.669,1.6,0.245,-0.257,0.256,-0.458,"N","vowel","Feature_5",0.7
-3.582,2.374,-0.358,1.162,-1.953,-0.18,0.339,0.355,0.415,-0.259,"N","vowel","Feature_5",0.7
