"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,-35.93,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"false","kc1","t",0.3
1,1,1,1,1,1,1,1,1,1,1,57.25,1,1,1,1,1,1,1,1,1,"true","kc1","t",0.3
83,11,1,11,171,927.89,0.04,23.04,40.27,21378.61,0.31,1820.14,65,10,6,0,18,25,107,64,21,"true","kc1","t",0.3
46,8,6,8,141,769.78,0.07,14.86,51.81,11436.73,0.26,496.67,37,2,5,0,16,28,89,52,15,"true","kc1","t",0.3
25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,258.84,21,0,2,0,11,10,41,17,5,"true","kc1","t",0.3
43,3,1,3,115,569.73,0.09,11.27,50.53,6423.73,0.19,932.29,35,2,4,0,11,20,74,41,5,"true","kc1","t",0.3
48,6,1,6,149,751.61,0.06,15.43,48.72,11596.34,0.25,910.15,41,2,2,0,12,21,95,54,11,"true","kc1","t",0.3
69,12,1,12,231,1212.27,0.04,27.27,44.45,33061.94,0.4,1800.52,62,3,2,0,16,22,156,75,23,"true","kc1","t",0.3
47,6,1,6,149,745,0.06,16.2,45.99,12069,0.25,759.86,41,2,1,0,12,20,95,54,11,"true","kc1","t",0.3
48,7,1,7,155,801.34,0.06,17.82,44.97,14278.39,0.27,662.98,42,2,1,0,14,22,99,56,13,"true","kc1","t",0.3
58,9,1,9,193,1027.13,0.05,20.7,49.62,21261.63,0.34,1332.51,50,2,2,0,15,25,124,69,17,"true","kc1","t",0.3
65,6,1,5,155,801.34,0.05,19.73,40.62,15808.22,0.27,804.4,54,4,5,0,14,22,93,62,11,"true","kc1","t",0.3
116,11,4,8,289,1700.08,0.04,26.6,63.91,45222.23,0.57,2404.68,88,14,12,0,19,40,177,112,21,"true","kc1","t",0.3
24,4,1,4,74,347.83,0.09,11.37,30.6,3953.7,0.12,317.9,20,0,0,0,11,15,43,31,7,"true","kc1","t",0.3
77,19,12,19,231,1245.63,0.03,29.25,42.59,36434.54,0.42,2164.68,61,7,7,0,18,24,153,78,37,"true","kc1","t",0.3
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,76.99,5,0,0,0,7,5,8,5,1,"true","kc1","t",0.3
