"class","attr1","attr2","attr3","attr4","attr5","attr6","dataset_name","altered_attribute","noise_level"
0,1,1,0.86,1,2,2,"monks-problems-2","attr3",1
0,1,1,1.56,1,4,1,"monks-problems-2","attr3",1
0,1,1,1.35,2,1,1,"monks-problems-2","attr3",1
0,1,1,1.35,2,1,2,"monks-problems-2","attr3",1
0,1,1,-0.32,2,2,1,"monks-problems-2","attr3",1
0,1,1,0.88,2,3,1,"monks-problems-2","attr3",1
0,1,1,0.92,2,4,1,"monks-problems-2","attr3",1
0,1,1,1.03,3,2,1,"monks-problems-2","attr3",1
0,1,1,0.82,3,4,1,"monks-problems-2","attr3",1
0,1,1,1.2,1,1,1,"monks-problems-2","attr3",1
0,1,1,1.57,1,1,2,"monks-problems-2","attr3",1
0,1,1,1.07,2,3,1,"monks-problems-2","attr3",1
0,1,1,2.32,2,4,1,"monks-problems-2","attr3",1
1,1,1,1.96,2,4,2,"monks-problems-2","attr3",1
0,1,1,2.6,3,1,2,"monks-problems-2","attr3",1
1,1,1,1.94,3,2,2,"monks-problems-2","attr3",1
0,1,2,1.45,1,1,2,"monks-problems-2","attr3",1
0,1,2,1.09,2,1,2,"monks-problems-2","attr3",1
1,1,2,1.97,2,2,2,"monks-problems-2","attr3",1
0,1,2,0.91,2,3,1,"monks-problems-2","attr3",1
1,1,2,0.45,2,3,2,"monks-problems-2","attr3",1
0,1,2,1.14,2,4,1,"monks-problems-2","attr3",1
0,1,2,0.91,3,1,1,"monks-problems-2","attr3",1
0,1,2,0.9,3,1,2,"monks-problems-2","attr3",1
1,1,2,0.55,3,2,2,"monks-problems-2","attr3",1
0,1,2,1.77,3,3,1,"monks-problems-2","attr3",1
1,1,2,1.68,3,3,2,"monks-problems-2","attr3",1
0,1,2,0.35,3,4,1,"monks-problems-2","attr3",1
1,1,2,0.48,3,4,2,"monks-problems-2","attr3",1
0,1,2,2.82,1,2,1,"monks-problems-2","attr3",1
0,1,2,2.88,1,4,1,"monks-problems-2","attr3",1
1,1,2,2.22,2,3,1,"monks-problems-2","attr3",1
1,1,2,2.22,2,4,1,"monks-problems-2","attr3",1
0,1,2,1.16,3,1,1,"monks-problems-2","attr3",1
1,1,2,1.83,3,1,2,"monks-problems-2","attr3",1
1,1,2,2.33,3,3,1,"monks-problems-2","attr3",1
0,1,2,1.3,3,3,2,"monks-problems-2","attr3",1
1,1,2,1.23,3,4,1,"monks-problems-2","attr3",1
0,1,2,2.66,3,4,2,"monks-problems-2","attr3",1
0,1,3,0.99,1,1,2,"monks-problems-2","attr3",1
0,1,3,1.49,1,2,2,"monks-problems-2","attr3",1
0,1,3,1.73,1,3,1,"monks-problems-2","attr3",1
0,1,3,0.99,1,3,2,"monks-problems-2","attr3",1
0,1,3,1.13,2,2,1,"monks-problems-2","attr3",1
1,1,3,-0.12,2,2,2,"monks-problems-2","attr3",1
1,1,3,0.76,2,3,2,"monks-problems-2","attr3",1
0,1,3,1.4,2,4,1,"monks-problems-2","attr3",1
1,1,3,1.01,3,2,2,"monks-problems-2","attr3",1
0,1,3,1.09,3,3,1,"monks-problems-2","attr3",1
1,1,3,-0.09,3,4,2,"monks-problems-2","attr3",1
0,1,3,1.48,1,3,1,"monks-problems-2","attr3",1
1,1,3,2.75,1,3,2,"monks-problems-2","attr3",1
0,1,3,2.52,1,4,1,"monks-problems-2","attr3",1
1,1,3,2.19,2,1,2,"monks-problems-2","attr3",1
0,1,3,2.13,2,3,2,"monks-problems-2","attr3",1
0,1,3,1.83,2,4,2,"monks-problems-2","attr3",1
1,1,3,1.6,3,2,1,"monks-problems-2","attr3",1
0,2,1,0.71,1,1,1,"monks-problems-2","attr3",1
0,2,1,0.96,1,2,2,"monks-problems-2","attr3",1
0,2,1,1.48,1,3,1,"monks-problems-2","attr3",1
1,2,1,0.05,2,2,2,"monks-problems-2","attr3",1
0,2,1,0.97,3,1,2,"monks-problems-2","attr3",1
1,2,1,0.94,3,2,2,"monks-problems-2","attr3",1
1,2,1,1.49,3,3,2,"monks-problems-2","attr3",1
0,2,1,1.63,3,4,1,"monks-problems-2","attr3",1
0,2,1,2.3,1,1,1,"monks-problems-2","attr3",1
1,2,1,2.56,1,2,2,"monks-problems-2","attr3",1
0,2,1,2.04,1,4,1,"monks-problems-2","attr3",1
1,2,1,2.76,2,2,1,"monks-problems-2","attr3",1
0,2,1,1.7,2,4,2,"monks-problems-2","attr3",1
0,2,1,2.26,3,1,1,"monks-problems-2","attr3",1
1,2,1,1.81,3,1,2,"monks-problems-2","attr3",1
0,2,1,2.24,3,2,2,"monks-problems-2","attr3",1
0,2,1,2.75,3,3,2,"monks-problems-2","attr3",1
0,2,1,1.83,3,4,2,"monks-problems-2","attr3",1
0,2,2,0.51,1,3,1,"monks-problems-2","attr3",1
1,2,2,1.76,1,4,2,"monks-problems-2","attr3",1
0,2,2,1.22,2,1,1,"monks-problems-2","attr3",1
1,2,2,1.17,2,3,1,"monks-problems-2","attr3",1
1,2,2,1.19,3,3,1,"monks-problems-2","attr3",1
0,2,2,1.35,3,3,2,"monks-problems-2","attr3",1
1,2,2,0.8,3,4,1,"monks-problems-2","attr3",1
0,2,2,1.49,1,1,1,"monks-problems-2","attr3",1
0,2,2,1.97,1,2,2,"monks-problems-2","attr3",1
0,2,2,2.14,1,3,2,"monks-problems-2","attr3",1
1,2,2,2.03,1,4,1,"monks-problems-2","attr3",1
0,2,2,2.18,1,4,2,"monks-problems-2","attr3",1
1,2,2,1.82,2,1,1,"monks-problems-2","attr3",1
0,2,2,1.9,2,2,2,"monks-problems-2","attr3",1
0,2,2,1.37,2,3,1,"monks-problems-2","attr3",1
1,2,2,1.29,3,1,1,"monks-problems-2","attr3",1
0,2,2,1.9,3,2,1,"monks-problems-2","attr3",1
0,2,2,1.23,3,2,2,"monks-problems-2","attr3",1
0,2,2,1.49,3,4,2,"monks-problems-2","attr3",1
0,2,3,1.14,1,1,1,"monks-problems-2","attr3",1
0,2,3,0.78,1,1,2,"monks-problems-2","attr3",1
1,2,3,0.89,1,3,2,"monks-problems-2","attr3",1
0,2,3,0.79,2,1,1,"monks-problems-2","attr3",1
1,2,3,0.8,2,3,1,"monks-problems-2","attr3",1
0,2,3,0.33,2,3,2,"monks-problems-2","attr3",1
0,2,3,1.04,2,4,2,"monks-problems-2","attr3",1
1,2,3,1.06,3,1,2,"monks-problems-2","attr3",1
1,2,3,1.54,3,2,1,"monks-problems-2","attr3",1
1,2,3,1.83,3,4,1,"monks-problems-2","attr3",1
1,2,3,1.51,1,1,2,"monks-problems-2","attr3",1
1,2,3,1.73,1,2,1,"monks-problems-2","attr3",1
1,2,3,1.72,1,3,1,"monks-problems-2","attr3",1
0,2,3,1.55,1,4,2,"monks-problems-2","attr3",1
1,2,3,1.81,2,1,1,"monks-problems-2","attr3",1
0,2,3,1.5,2,2,1,"monks-problems-2","attr3",1
0,2,3,1.84,2,3,2,"monks-problems-2","attr3",1
0,2,3,1.74,3,3,1,"monks-problems-2","attr3",1
0,2,3,1.92,3,3,2,"monks-problems-2","attr3",1
0,2,3,2.37,3,4,2,"monks-problems-2","attr3",1
0,3,1,1.34,1,4,1,"monks-problems-2","attr3",1
0,3,1,1.59,2,1,2,"monks-problems-2","attr3",1
1,3,1,1.25,2,2,2,"monks-problems-2","attr3",1
1,3,1,0.58,2,3,2,"monks-problems-2","attr3",1
