"class","attr1","attr2","attr3","attr4","attr5","attr6","dataset_name","altered_attribute","noise_level"
0,1,0.24,1,1,2,2,"monks-problems-2","attr2",1
0,1,0.8,1,1,4,1,"monks-problems-2","attr2",1
0,1,0.76,1,2,1,1,"monks-problems-2","attr2",1
0,1,-0.01,1,2,1,2,"monks-problems-2","attr2",1
0,1,2.55,1,2,2,1,"monks-problems-2","attr2",1
0,1,0.98,1,2,3,1,"monks-problems-2","attr2",1
0,1,0.52,1,2,4,1,"monks-problems-2","attr2",1
0,1,1.22,1,3,2,1,"monks-problems-2","attr2",1
0,1,1.85,1,3,4,1,"monks-problems-2","attr2",1
0,1,1,2,1,1,1,"monks-problems-2","attr2",1
0,1,0.84,2,1,1,2,"monks-problems-2","attr2",1
0,1,1.43,2,2,3,1,"monks-problems-2","attr2",1
0,1,0.56,2,2,4,1,"monks-problems-2","attr2",1
1,1,0.11,2,2,4,2,"monks-problems-2","attr2",1
0,1,1.01,2,3,1,2,"monks-problems-2","attr2",1
1,1,-0.02,2,3,2,2,"monks-problems-2","attr2",1
0,1,1.09,1,1,1,2,"monks-problems-2","attr2",1
0,1,3.15,1,2,1,2,"monks-problems-2","attr2",1
1,1,1.63,1,2,2,2,"monks-problems-2","attr2",1
0,1,1.62,1,2,3,1,"monks-problems-2","attr2",1
1,1,2.87,1,2,3,2,"monks-problems-2","attr2",1
0,1,3.07,1,2,4,1,"monks-problems-2","attr2",1
0,1,0.87,1,3,1,1,"monks-problems-2","attr2",1
0,1,1.65,1,3,1,2,"monks-problems-2","attr2",1
1,1,2.63,1,3,2,2,"monks-problems-2","attr2",1
0,1,0.98,1,3,3,1,"monks-problems-2","attr2",1
1,1,-0.45,1,3,3,2,"monks-problems-2","attr2",1
0,1,1.95,1,3,4,1,"monks-problems-2","attr2",1
1,1,1.17,1,3,4,2,"monks-problems-2","attr2",1
0,1,2.46,2,1,2,1,"monks-problems-2","attr2",1
0,1,1.27,2,1,4,1,"monks-problems-2","attr2",1
1,1,2.44,2,2,3,1,"monks-problems-2","attr2",1
1,1,2.62,2,2,4,1,"monks-problems-2","attr2",1
0,1,2.45,2,3,1,1,"monks-problems-2","attr2",1
1,1,2.89,2,3,1,2,"monks-problems-2","attr2",1
1,1,1.69,2,3,3,1,"monks-problems-2","attr2",1
0,1,1.82,2,3,3,2,"monks-problems-2","attr2",1
1,1,1.54,2,3,4,1,"monks-problems-2","attr2",1
0,1,1.95,2,3,4,2,"monks-problems-2","attr2",1
0,1,3.17,1,1,1,2,"monks-problems-2","attr2",1
0,1,3.77,1,1,2,2,"monks-problems-2","attr2",1
0,1,2.57,1,1,3,1,"monks-problems-2","attr2",1
0,1,1.94,1,1,3,2,"monks-problems-2","attr2",1
0,1,3.86,1,2,2,1,"monks-problems-2","attr2",1
1,1,2.34,1,2,2,2,"monks-problems-2","attr2",1
1,1,2.82,1,2,3,2,"monks-problems-2","attr2",1
0,1,3.1,1,2,4,1,"monks-problems-2","attr2",1
1,1,3.61,1,3,2,2,"monks-problems-2","attr2",1
0,1,3.98,1,3,3,1,"monks-problems-2","attr2",1
1,1,3.33,1,3,4,2,"monks-problems-2","attr2",1
0,1,2.81,2,1,3,1,"monks-problems-2","attr2",1
1,1,1.89,2,1,3,2,"monks-problems-2","attr2",1
0,1,2.67,2,1,4,1,"monks-problems-2","attr2",1
1,1,2.37,2,2,1,2,"monks-problems-2","attr2",1
0,1,3.08,2,2,3,2,"monks-problems-2","attr2",1
0,1,2.44,2,2,4,2,"monks-problems-2","attr2",1
1,1,2.94,2,3,2,1,"monks-problems-2","attr2",1
0,2,0.25,1,1,1,1,"monks-problems-2","attr2",1
0,2,1.6,1,1,2,2,"monks-problems-2","attr2",1
0,2,0.75,1,1,3,1,"monks-problems-2","attr2",1
1,2,1.37,1,2,2,2,"monks-problems-2","attr2",1
0,2,1.85,1,3,1,2,"monks-problems-2","attr2",1
1,2,0.91,1,3,2,2,"monks-problems-2","attr2",1
1,2,1.3,1,3,3,2,"monks-problems-2","attr2",1
0,2,1.59,1,3,4,1,"monks-problems-2","attr2",1
0,2,0.5,2,1,1,1,"monks-problems-2","attr2",1
1,2,0.19,2,1,2,2,"monks-problems-2","attr2",1
0,2,-0.05,2,1,4,1,"monks-problems-2","attr2",1
1,2,0.51,2,2,2,1,"monks-problems-2","attr2",1
0,2,-0.13,2,2,4,2,"monks-problems-2","attr2",1
0,2,0.26,2,3,1,1,"monks-problems-2","attr2",1
1,2,0.64,2,3,1,2,"monks-problems-2","attr2",1
0,2,1.16,2,3,2,2,"monks-problems-2","attr2",1
0,2,1.35,2,3,3,2,"monks-problems-2","attr2",1
0,2,1.85,2,3,4,2,"monks-problems-2","attr2",1
0,2,3.99,1,1,3,1,"monks-problems-2","attr2",1
1,2,0.67,1,1,4,2,"monks-problems-2","attr2",1
0,2,2.21,1,2,1,1,"monks-problems-2","attr2",1
1,2,3.07,1,2,3,1,"monks-problems-2","attr2",1
1,2,1.05,1,3,3,1,"monks-problems-2","attr2",1
0,2,2.7,1,3,3,2,"monks-problems-2","attr2",1
1,2,3.81,1,3,4,1,"monks-problems-2","attr2",1
0,2,2.38,2,1,1,1,"monks-problems-2","attr2",1
0,2,2.26,2,1,2,2,"monks-problems-2","attr2",1
0,2,1.28,2,1,3,2,"monks-problems-2","attr2",1
1,2,2.02,2,1,4,1,"monks-problems-2","attr2",1
0,2,1.19,2,1,4,2,"monks-problems-2","attr2",1
1,2,3.92,2,2,1,1,"monks-problems-2","attr2",1
0,2,2.44,2,2,2,2,"monks-problems-2","attr2",1
0,2,2.03,2,2,3,1,"monks-problems-2","attr2",1
1,2,2.42,2,3,1,1,"monks-problems-2","attr2",1
0,2,3.55,2,3,2,1,"monks-problems-2","attr2",1
0,2,2.45,2,3,2,2,"monks-problems-2","attr2",1
0,2,1.48,2,3,4,2,"monks-problems-2","attr2",1
0,2,2.97,1,1,1,1,"monks-problems-2","attr2",1
0,2,2.72,1,1,1,2,"monks-problems-2","attr2",1
1,2,3.32,1,1,3,2,"monks-problems-2","attr2",1
0,2,2.42,1,2,1,1,"monks-problems-2","attr2",1
1,2,3.02,1,2,3,1,"monks-problems-2","attr2",1
0,2,3.44,1,2,3,2,"monks-problems-2","attr2",1
0,2,2.21,1,2,4,2,"monks-problems-2","attr2",1
1,2,3.89,1,3,1,2,"monks-problems-2","attr2",1
1,2,2.3,1,3,2,1,"monks-problems-2","attr2",1
1,2,3.24,1,3,4,1,"monks-problems-2","attr2",1
1,2,1.8,2,1,1,2,"monks-problems-2","attr2",1
1,2,3.59,2,1,2,1,"monks-problems-2","attr2",1
1,2,3.98,2,1,3,1,"monks-problems-2","attr2",1
0,2,3.54,2,1,4,2,"monks-problems-2","attr2",1
1,2,1.21,2,2,1,1,"monks-problems-2","attr2",1
0,2,3.2,2,2,2,1,"monks-problems-2","attr2",1
0,2,2.39,2,2,3,2,"monks-problems-2","attr2",1
0,2,3.39,2,3,3,1,"monks-problems-2","attr2",1
0,2,2.23,2,3,3,2,"monks-problems-2","attr2",1
0,2,3.04,2,3,4,2,"monks-problems-2","attr2",1
0,3,0.55,1,1,4,1,"monks-problems-2","attr2",1
0,3,0.63,1,2,1,2,"monks-problems-2","attr2",1
1,3,1.62,1,2,2,2,"monks-problems-2","attr2",1
1,3,0.92,1,2,3,2,"monks-problems-2","attr2",1
0,3,0.42,1,2,4,1,"monks-problems-2","attr2",1
1,3,0.1,1,2,4,2,"monks-problems-2","attr2",1
0,3,0.11,1,3,1,1,"monks-problems-2","attr2",1
0,3,-1.36,1,3,1,2,"monks-problems-2","attr2",1
1,3,1.6,1,3,2,2,"monks-problems-2","attr2",1
1,3,0.87,1,3,3,2,"monks-problems-2","attr2",1
