"class","attr1","attr2","attr3","attr4","attr5","attr6","dataset_name","altered_attribute","noise_level"
0,1,1,1,1,1.24,2,"monks-problems-2","attr5",1
0,1,1,1,1,7.03,1,"monks-problems-2","attr5",1
0,1,1,1,2,2.5,1,"monks-problems-2","attr5",1
0,1,1,1,2,0.67,2,"monks-problems-2","attr5",1
0,1,1,1,2,1.14,1,"monks-problems-2","attr5",1
0,1,1,1,2,2.11,1,"monks-problems-2","attr5",1
0,1,1,1,2,4.27,1,"monks-problems-2","attr5",1
0,1,1,1,3,5.29,1,"monks-problems-2","attr5",1
0,1,1,1,3,4.51,1,"monks-problems-2","attr5",1
0,1,1,2,1,1.18,1,"monks-problems-2","attr5",1
0,1,1,2,1,1.87,2,"monks-problems-2","attr5",1
0,1,1,2,2,2.3,1,"monks-problems-2","attr5",1
0,1,1,2,2,4.15,1,"monks-problems-2","attr5",1
1,1,1,2,2,4.99,2,"monks-problems-2","attr5",1
0,1,1,2,3,1.15,2,"monks-problems-2","attr5",1
1,1,1,2,3,0.83,2,"monks-problems-2","attr5",1
0,1,2,1,1,1.57,2,"monks-problems-2","attr5",1
0,1,2,1,2,0.02,2,"monks-problems-2","attr5",1
1,1,2,1,2,3.25,2,"monks-problems-2","attr5",1
0,1,2,1,2,4.44,1,"monks-problems-2","attr5",1
1,1,2,1,2,3.79,2,"monks-problems-2","attr5",1
0,1,2,1,2,4.72,1,"monks-problems-2","attr5",1
0,1,2,1,3,0.14,1,"monks-problems-2","attr5",1
0,1,2,1,3,-0.11,2,"monks-problems-2","attr5",1
1,1,2,1,3,1.04,2,"monks-problems-2","attr5",1
0,1,2,1,3,4.17,1,"monks-problems-2","attr5",1
1,1,2,1,3,2.96,2,"monks-problems-2","attr5",1
0,1,2,1,3,1.35,1,"monks-problems-2","attr5",1
1,1,2,1,3,3.1,2,"monks-problems-2","attr5",1
0,1,2,2,1,2.4,1,"monks-problems-2","attr5",1
0,1,2,2,1,1.94,1,"monks-problems-2","attr5",1
1,1,2,2,2,4,1,"monks-problems-2","attr5",1
1,1,2,2,2,4.56,1,"monks-problems-2","attr5",1
0,1,2,2,3,2.55,1,"monks-problems-2","attr5",1
1,1,2,2,3,1.72,2,"monks-problems-2","attr5",1
1,1,2,2,3,4.32,1,"monks-problems-2","attr5",1
0,1,2,2,3,2.85,2,"monks-problems-2","attr5",1
1,1,2,2,3,5.12,1,"monks-problems-2","attr5",1
0,1,2,2,3,3.79,2,"monks-problems-2","attr5",1
0,1,3,1,1,1.32,2,"monks-problems-2","attr5",1
0,1,3,1,1,0.03,2,"monks-problems-2","attr5",1
0,1,3,1,1,2.98,1,"monks-problems-2","attr5",1
0,1,3,1,1,2.85,2,"monks-problems-2","attr5",1
0,1,3,1,2,2.56,1,"monks-problems-2","attr5",1
1,1,3,1,2,2.21,2,"monks-problems-2","attr5",1
1,1,3,1,2,4.42,2,"monks-problems-2","attr5",1
0,1,3,1,2,6.18,1,"monks-problems-2","attr5",1
1,1,3,1,3,2.52,2,"monks-problems-2","attr5",1
0,1,3,1,3,1.72,1,"monks-problems-2","attr5",1
1,1,3,1,3,3.38,2,"monks-problems-2","attr5",1
0,1,3,2,1,1.45,1,"monks-problems-2","attr5",1
