"Feature_0","Feature_1","Feature_2","Feature_3","Feature_4","Feature_5","Feature_6","Feature_7","Feature_8","Feature_9","class","dataset_name","altered_attribute","noise_level"
-3.639,1.44,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,"P","vowel","Feature_1",0.4
-3.327,0.8,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,"N","vowel","Feature_1",0.4
-2.12,0.8,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,"N","vowel","Feature_1",0.4
-2.287,2.41,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795,"N","vowel","Feature_1",0.4
-2.598,1.79,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,"N","vowel","Feature_1",0.4
-2.852,2.16,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,"N","vowel","Feature_1",0.4
-3.482,3.07,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,"N","vowel","Feature_1",0.4
-3.941,2.26,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,"N","vowel","Feature_1",0.4
-3.86,1.22,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,"N","vowel","Feature_1",0.4
-3.648,1.58,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,"N","vowel","Feature_1",0.4
-3.032,2.62,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018,-0.823,"N","vowel","Feature_1",0.4
-3.653,0.27,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,"P","vowel","Feature_1",0.4
-3.237,0.97,-0.86,1.363,-0.251,1.915,-0.395,0.751,-0.774,-0.327,"N","vowel","Feature_1",0.4
-2.135,1.16,-1.632,0.121,-0.704,1.6,-0.628,0.713,-0.903,-0.027,"N","vowel","Feature_1",0.4
-2.304,1.82,-1.506,0.981,-0.961,0.806,-0.294,-0.002,0.119,-0.76,"N","vowel","Feature_1",0.4
-2.54,0.91,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633,"N","vowel","Feature_1",0.4
