"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,71.62,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"false","kc1","v",0.2
1,1,1,1,1,-181.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"true","kc1","v",0.2
83,11,1,11,171,951.83,0.04,23.04,40.27,21378.61,0.31,1187.7,65,10,6,0,18,25,107,64,21,"true","kc1","v",0.2
46,8,6,8,141,925.5,0.07,14.86,51.81,11436.73,0.26,635.37,37,2,5,0,16,28,89,52,15,"true","kc1","v",0.2
25,3,1,3,58,313.74,0.11,9.35,27.25,2381.95,0.08,132.33,21,0,2,0,11,10,41,17,5,"true","kc1","v",0.2
43,3,1,3,115,599.17,0.09,11.27,50.53,6423.73,0.19,356.87,35,2,4,0,11,20,74,41,5,"true","kc1","v",0.2
48,6,1,6,149,797.68,0.06,15.43,48.72,11596.34,0.25,644.24,41,2,2,0,12,21,95,54,11,"true","kc1","v",0.2
69,12,1,12,231,1026.46,0.04,27.27,44.45,33061.94,0.4,1836.77,62,3,2,0,16,22,156,75,23,"true","kc1","v",0.2
47,6,1,6,149,489.18,0.06,16.2,45.99,12069,0.25,670.5,41,2,1,0,12,20,95,54,11,"true","kc1","v",0.2
48,7,1,7,155,700.11,0.06,17.82,44.97,14278.39,0.27,793.24,42,2,1,0,14,22,99,56,13,"true","kc1","v",0.2
58,9,1,9,193,985.76,0.05,20.7,49.62,21261.63,0.34,1181.2,50,2,2,0,15,25,124,69,17,"true","kc1","v",0.2
65,6,1,5,155,935.12,0.05,19.73,40.62,15808.22,0.27,878.23,54,4,5,0,14,22,93,62,11,"true","kc1","v",0.2
116,11,4,8,289,1746.37,0.04,26.6,63.91,45222.23,0.57,2512.35,88,14,12,0,19,40,177,112,21,"true","kc1","v",0.2
24,4,1,4,74,111.18,0.09,11.37,30.6,3953.7,0.12,219.65,20,0,0,0,11,15,43,31,7,"true","kc1","v",0.2
77,19,12,19,231,1196.77,0.03,29.25,42.59,36434.54,0.42,2024.14,61,7,7,0,18,24,153,78,37,"true","kc1","v",0.2
9,1,1,1,13,150.83,0.29,3.5,13.32,163.12,0.02,9.06,5,0,0,0,7,5,8,5,1,"true","kc1","v",0.2
16,2,1,2,43,74.62,0.18,5.43,35.32,1040.96,0.06,57.83,13,0,1,0,8,14,24,19,3,"true","kc1","v",0.2
93,7,3,6,257,1386.23,0.03,29.86,50.21,44757.43,0.5,2486.52,71,4,15,0,22,35,162,95,12,"true","kc1","v",0.2
23,1,1,1,67,301.53,0.21,4.74,64.87,1454.65,0.1,80.81,18,0,1,0,7,17,44,23,1,"true","kc1","v",0.2
30,1,1,1,21,-27.23,0.3,3.33,25.75,286.12,0.03,15.9,18,0,1,0,5,12,5,16,1,"true","kc1","v",0.2
30,1,1,1,54,35.45,0.03,39,2.77,4212,0.04,234,28,0,0,0,3,1,28,26,1,"true","kc1","v",0.2
35,3,1,3,108,393.49,0.08,13,40.76,6889.27,0.18,382.74,30,0,3,0,12,18,69,39,5,"true","kc1","v",0.2
25,4,1,4,57,340.24,0.07,13.5,17.26,3145.3,0.08,174.74,20,0,3,0,9,8,33,24,7,"true","kc1","v",0.2
20,7,7,3,54,339.95,0.1,9.58,25.13,2307.76,0.08,128.21,14,0,1,0,10,12,31,23,13,"true","kc1","v",0.2
119,14,1,14,289,1442.7,0.03,30.72,52.25,49320.73,0.54,2740.04,85,26,6,0,18,29,190,99,27,"true","kc1","v",0.2
35,4,1,4,78,249.97,0.07,14.31,25.32,5182.54,0.12,287.92,31,0,2,0,12,13,47,31,7,"true","kc1","v",0.2
33,4,1,4,73,166.06,0.07,14.5,23.08,4853.18,0.11,269.62,30,0,1,0,12,12,44,29,7,"true","kc1","v",0.2
17,2,1,2,25,110.93,0.16,6.4,14.45,592.07,0.03,32.89,12,0,3,0,8,5,17,8,3,"true","kc1","v",0.2
44,3,1,3,127,598.89,0.06,16,37.74,9661.93,0.2,536.77,38,2,2,0,12,15,87,40,5,"true","kc1","v",0.2
84,15,9,15,230,1557.96,0.04,25.26,53.35,34029.33,0.45,1890.52,72,0,10,0,21,37,141,89,29,"true","kc1","v",0.2
56,3,1,3,150,729.63,0.07,14.09,54.62,10838.4,0.26,602.13,43,3,4,0,12,23,96,54,5,"true","kc1","v",0.2
58,3,1,3,191,990.02,0.05,21,48.4,21346.25,0.34,1185.9,46,2,3,0,15,25,121,70,5,"true","kc1","v",0.2
78,7,1,6,213,1317.63,0.06,17.71,67.19,21062.86,0.4,1170.16,66,4,6,0,14,34,127,86,13,"true","kc1","v",0.2
75,8,3,8,250,1163.49,0.03,29.1,46.62,39470.86,0.45,2192.83,63,5,5,0,17,26,161,89,15,"true","kc1","v",0.2
12,1,1,1,22,250.85,0.3,3.33,22.83,253.69,0.03,14.09,6,1,3,0,5,6,14,8,1,"true","kc1","v",0.2
11,1,1,1,22,-87.71,0.3,3.33,22.83,253.69,0.03,14.09,6,1,2,0,5,6,14,8,1,"true","kc1","v",0.2
69,10,1,10,199,1155.7,0.04,25,42.36,26476.59,0.35,1470.92,54,7,6,0,16,24,124,75,19,"true","kc1","v",0.2
39,5,3,5,86,476.13,0.09,11.67,36.86,5016.67,0.14,278.7,33,1,1,0,14,18,56,30,8,"true","kc1","v",0.2
53,5,1,5,113,589.67,0.1,9.65,60.05,5594.49,0.19,310.8,47,0,0,0,12,23,76,37,8,"true","kc1","v",0.2
52,5,1,5,107,617.88,0.1,9.82,55.44,5344.61,0.18,296.92,46,0,1,0,12,22,71,36,8,"true","kc1","v",0.2
30,2,1,2,74,191.63,0.08,12.5,26.4,4124.97,0.11,229.17,24,2,2,0,10,12,44,30,3,"true","kc1","v",0.2
27,3,1,3,77,187.98,0.14,7.1,55.59,2805.82,0.13,155.88,22,0,3,0,11,24,46,31,5,"true","kc1","v",0.2
47,7,1,6,105,479.63,0.08,12.05,43.58,6323.86,0.18,351.33,43,0,2,0,10,22,52,53,13,"true","kc1","v",0.2
49,7,1,6,110,559.03,0.08,12.17,45.58,6755.1,0.18,375.28,44,0,3,0,10,23,54,56,13,"true","kc1","v",0.2
7,1,1,1,14,61.15,0.33,3,16.73,150.57,0.02,8.36,4,0,0,0,6,6,8,6,1,"true","kc1","v",0.2
66,12,5,12,177,1106.49,0.05,20.45,45.08,18860.59,0.31,1047.81,55,4,5,0,15,22,117,60,23,"true","kc1","v",0.2
14,1,1,1,29,31.65,0.18,5.63,21.07,666.77,0.04,37.04,7,2,2,0,9,8,19,10,1,"true","kc1","v",0.2
29,3,1,3,64,319.03,0.11,9.17,32.82,2757.59,0.1,153.2,25,0,1,0,11,15,39,25,5,"true","kc1","v",0.2
6,1,1,1,14,115.75,0.4,2.5,19.37,121.08,0.02,6.73,4,0,0,0,5,6,8,6,1,"true","kc1","v",0.2
12,1,1,1,36,136.83,0.19,5.25,26.79,738.4,0.05,41.02,9,0,0,0,7,8,24,12,1,"true","kc1","v",0.2
38,7,1,7,119,515.54,0.06,16,36.49,9342.72,0.19,519.03,30,0,6,0,12,18,71,48,13,"true","kc1","v",0.2
132,16,11,13,322,2055.21,0.03,29.65,69.24,60862.61,0.68,3381.26,101,7,22,0,26,57,192,130,31,"true","kc1","v",0.2
26,4,1,4,81,442.31,0.08,11.79,35.53,4935.43,0.14,274.19,24,0,0,0,15,21,48,33,7,"true","kc1","v",0.2
56,5,1,4,178,1162.43,0.08,13.19,74.95,13042.34,0.33,724.57,48,1,5,0,13,34,109,69,9,"true","kc1","v",0.2
21,1,1,1,76,350.13,0.16,6.2,58.93,2265.23,0.12,125.85,14,0,0,0,8,20,45,31,1,"true","kc1","v",0.2
