"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.69,1.2,1.2,1.2,1.4,"false","kc1","uniq_Op",0.7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.19,1,1,1,1,"true","kc1","uniq_Op",0.7
83,11,1,11,171,927.89,0.04,23.04,40.27,21378.61,0.31,1187.7,65,10,6,0,14.64,25,107,64,21,"true","kc1","uniq_Op",0.7
46,8,6,8,141,769.78,0.07,14.86,51.81,11436.73,0.26,635.37,37,2,5,0,14.47,28,89,52,15,"true","kc1","uniq_Op",0.7
25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,132.33,21,0,2,0,17.16,10,41,17,5,"true","kc1","uniq_Op",0.7
43,3,1,3,115,569.73,0.09,11.27,50.53,6423.73,0.19,356.87,35,2,4,0,13.35,20,74,41,5,"true","kc1","uniq_Op",0.7
48,6,1,6,149,751.61,0.06,15.43,48.72,11596.34,0.25,644.24,41,2,2,0,9.68,21,95,54,11,"true","kc1","uniq_Op",0.7
69,12,1,12,231,1212.27,0.04,27.27,44.45,33061.94,0.4,1836.77,62,3,2,0,12.62,22,156,75,23,"true","kc1","uniq_Op",0.7
47,6,1,6,149,745,0.06,16.2,45.99,12069,0.25,670.5,41,2,1,0,12.68,20,95,54,11,"true","kc1","uniq_Op",0.7
48,7,1,7,155,801.34,0.06,17.82,44.97,14278.39,0.27,793.24,42,2,1,0,9.32,22,99,56,13,"true","kc1","uniq_Op",0.7
58,9,1,9,193,1027.13,0.05,20.7,49.62,21261.63,0.34,1181.2,50,2,2,0,11.03,25,124,69,17,"true","kc1","uniq_Op",0.7
65,6,1,5,155,801.34,0.05,19.73,40.62,15808.22,0.27,878.23,54,4,5,0,12.5,22,93,62,11,"true","kc1","uniq_Op",0.7
116,11,4,8,289,1700.08,0.04,26.6,63.91,45222.23,0.57,2512.35,88,14,12,0,21.77,40,177,112,21,"true","kc1","uniq_Op",0.7
24,4,1,4,74,347.83,0.09,11.37,30.6,3953.7,0.12,219.65,20,0,0,0,9.38,15,43,31,7,"true","kc1","uniq_Op",0.7
77,19,12,19,231,1245.63,0.03,29.25,42.59,36434.54,0.42,2024.14,61,7,7,0,15.77,24,153,78,37,"true","kc1","uniq_Op",0.7
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,9.06,5,0,0,0,5.52,5,8,5,1,"true","kc1","uniq_Op",0.7
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,57.83,13,0,1,0,9.12,14,24,19,3,"true","kc1","uniq_Op",0.7
93,7,3,6,257,1499.05,0.03,29.86,50.21,44757.43,0.5,2486.52,71,4,15,0,18.27,35,162,95,12,"true","kc1","uniq_Op",0.7
23,1,1,1,67,307.19,0.21,4.74,64.87,1454.65,0.1,80.81,18,0,1,0,-0.38,17,44,23,1,"true","kc1","uniq_Op",0.7
30,1,1,1,21,85.84,0.3,3.33,25.75,286.12,0.03,15.9,18,0,1,0,4.23,12,5,16,1,"true","kc1","uniq_Op",0.7
30,1,1,1,54,108,0.03,39,2.77,4212,0.04,234,28,0,0,0,9.16,1,28,26,1,"true","kc1","uniq_Op",0.7
35,3,1,3,108,529.94,0.08,13,40.76,6889.27,0.18,382.74,30,0,3,0,4.37,18,69,39,5,"true","kc1","uniq_Op",0.7
25,4,1,4,57,232.99,0.07,13.5,17.26,3145.3,0.08,174.74,20,0,3,0,6.28,8,33,24,7,"true","kc1","uniq_Op",0.7
20,7,7,3,54,240.81,0.1,9.58,25.13,2307.76,0.08,128.21,14,0,1,0,10.16,12,31,23,13,"true","kc1","uniq_Op",0.7
119,14,1,14,289,1605.28,0.03,30.72,52.25,49320.73,0.54,2740.04,85,26,6,0,10.1,29,190,99,27,"true","kc1","uniq_Op",0.7
35,4,1,4,78,362.22,0.07,14.31,25.32,5182.54,0.12,287.92,31,0,2,0,10.28,13,47,31,7,"true","kc1","uniq_Op",0.7
33,4,1,4,73,334.7,0.07,14.5,23.08,4853.18,0.11,269.62,30,0,1,0,14.71,12,44,29,7,"true","kc1","uniq_Op",0.7
17,2,1,2,25,92.51,0.16,6.4,14.45,592.07,0.03,32.89,12,0,3,0,7.37,5,17,8,3,"true","kc1","uniq_Op",0.7
44,3,1,3,127,603.87,0.06,16,37.74,9661.93,0.2,536.77,38,2,2,0,18.23,15,87,40,5,"true","kc1","uniq_Op",0.7
84,15,9,15,230,1347.34,0.04,25.26,53.35,34029.33,0.45,1890.52,72,0,10,0,20.7,37,141,89,29,"true","kc1","uniq_Op",0.7
56,3,1,3,150,769.39,0.07,14.09,54.62,10838.4,0.26,602.13,43,3,4,0,15.67,23,96,54,5,"true","kc1","uniq_Op",0.7
58,3,1,3,191,1016.49,0.05,21,48.4,21346.25,0.34,1185.9,46,2,3,0,15.43,25,121,70,5,"true","kc1","uniq_Op",0.7
78,7,1,6,213,1189.6,0.06,17.71,67.19,21062.86,0.4,1170.16,66,4,6,0,9.96,34,127,86,13,"true","kc1","uniq_Op",0.7
75,8,3,8,250,1356.57,0.03,29.1,46.62,39470.86,0.45,2192.83,63,5,5,0,21.58,26,161,89,15,"true","kc1","uniq_Op",0.7
12,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,14.09,6,1,3,0,8.24,6,14,8,1,"true","kc1","uniq_Op",0.7
11,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,14.09,6,1,2,0,5.32,6,14,8,1,"true","kc1","uniq_Op",0.7
69,10,1,10,199,1059.06,0.04,25,42.36,26476.59,0.35,1470.92,54,7,6,0,19.38,24,124,75,19,"true","kc1","uniq_Op",0.7
39,5,3,5,86,430,0.09,11.67,36.86,5016.67,0.14,278.7,33,1,1,0,15.42,18,56,30,8,"true","kc1","uniq_Op",0.7
53,5,1,5,113,579.61,0.1,9.65,60.05,5594.49,0.19,310.8,47,0,0,0,10.31,23,76,37,8,"true","kc1","uniq_Op",0.7
52,5,1,5,107,544.36,0.1,9.82,55.44,5344.61,0.18,296.92,46,0,1,0,9.32,22,71,36,8,"true","kc1","uniq_Op",0.7
30,2,1,2,74,330,0.08,12.5,26.4,4124.97,0.11,229.17,24,2,2,0,-1,12,44,30,3,"true","kc1","uniq_Op",0.7
27,3,1,3,77,394.95,0.14,7.1,55.59,2805.82,0.13,155.88,22,0,3,0,7.89,24,46,31,5,"true","kc1","uniq_Op",0.7
47,7,1,6,105,525,0.08,12.05,43.58,6323.86,0.18,351.33,43,0,2,0,9.04,22,52,53,13,"true","kc1","uniq_Op",0.7
49,7,1,6,110,554.88,0.08,12.17,45.58,6755.1,0.18,375.28,44,0,3,0,3.11,23,54,56,13,"true","kc1","uniq_Op",0.7
7,1,1,1,14,50.19,0.33,3,16.73,150.57,0.02,8.36,4,0,0,0,4.66,6,8,6,1,"true","kc1","uniq_Op",0.7
66,12,5,12,177,922.07,0.05,20.45,45.08,18860.59,0.31,1047.81,55,4,5,0,7.63,22,117,60,23,"true","kc1","uniq_Op",0.7
