"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.4,0.61,"Iris_setosa","iris","petalwidth",1
4.9,3,1.4,0.79,"Iris_setosa","iris","petalwidth",1
4.7,3.2,1.3,0.96,"Iris_setosa","iris","petalwidth",1
4.6,3.1,1.5,1,"Iris_setosa","iris","petalwidth",1
5,3.6,1.4,0.24,"Iris_setosa","iris","petalwidth",1
5.4,3.9,1.7,-0.56,"Iris_setosa","iris","petalwidth",1
4.6,3.4,1.4,-1.73,"Iris_setosa","iris","petalwidth",1
5,3.4,1.5,-0.14,"Iris_setosa","iris","petalwidth",1
4.4,2.9,1.4,-0.96,"Iris_setosa","iris","petalwidth",1
4.9,3.1,1.5,-0.14,"Iris_setosa","iris","petalwidth",1
5.4,3.7,1.5,0.01,"Iris_setosa","iris","petalwidth",1
4.8,3.4,1.6,0.42,"Iris_setosa","iris","petalwidth",1
4.8,3,1.4,1.38,"Iris_setosa","iris","petalwidth",1
4.3,3,1.1,1.4,"Iris_setosa","iris","petalwidth",1
5.8,4,1.2,0.9,"Iris_setosa","iris","petalwidth",1
5.7,4.4,1.5,0.58,"Iris_setosa","iris","petalwidth",1
5.4,3.9,1.3,0.72,"Iris_setosa","iris","petalwidth",1
5.1,3.5,1.4,0.26,"Iris_setosa","iris","petalwidth",1
5.7,3.8,1.7,-0.92,"Iris_setosa","iris","petalwidth",1
5.1,3.8,1.5,1.79,"Iris_setosa","iris","petalwidth",1
5.4,3.4,1.7,1.11,"Iris_setosa","iris","petalwidth",1
5.1,3.7,1.5,1.3,"Iris_setosa","iris","petalwidth",1
4.6,3.6,1,-0.19,"Iris_setosa","iris","petalwidth",1
5.1,3.3,1.7,0.94,"Iris_setosa","iris","petalwidth",1
4.8,3.4,1.9,0.58,"Iris_setosa","iris","petalwidth",1
5,3,1.6,-1,"Iris_setosa","iris","petalwidth",1
5,3.4,1.6,0.27,"Iris_setosa","iris","petalwidth",1
5.2,3.5,1.5,0.49,"Iris_setosa","iris","petalwidth",1
5.2,3.4,1.4,0.51,"Iris_setosa","iris","petalwidth",1
4.7,3.2,1.6,-0.28,"Iris_setosa","iris","petalwidth",1
4.8,3.1,1.6,1.64,"Iris_setosa","iris","petalwidth",1
5.4,3.4,1.5,1.82,"Iris_setosa","iris","petalwidth",1
5.2,4.1,1.5,0.63,"Iris_setosa","iris","petalwidth",1
5.5,4.2,1.4,-0.29,"Iris_setosa","iris","petalwidth",1
4.9,3.1,1.5,-0.62,"Iris_setosa","iris","petalwidth",1
5,3.2,1.2,-0.79,"Iris_setosa","iris","petalwidth",1
5.5,3.5,1.3,-0.3,"Iris_setosa","iris","petalwidth",1
4.9,3.1,1.5,-1.3,"Iris_setosa","iris","petalwidth",1
4.4,3,1.3,0.58,"Iris_setosa","iris","petalwidth",1
5.1,3.4,1.5,-0.92,"Iris_setosa","iris","petalwidth",1
5,3.5,1.3,-0.61,"Iris_setosa","iris","petalwidth",1
4.5,2.3,1.3,0.82,"Iris_setosa","iris","petalwidth",1
4.4,3.2,1.3,0.51,"Iris_setosa","iris","petalwidth",1
5,3.5,1.6,1.47,"Iris_setosa","iris","petalwidth",1
5.1,3.8,1.9,0.78,"Iris_setosa","iris","petalwidth",1
4.8,3,1.4,0.25,"Iris_setosa","iris","petalwidth",1
5.1,3.8,1.6,0.54,"Iris_setosa","iris","petalwidth",1
4.6,3.2,1.4,-0.96,"Iris_setosa","iris","petalwidth",1
5.3,3.7,1.5,0.28,"Iris_setosa","iris","petalwidth",1
5,3.3,1.4,0.34,"Iris_setosa","iris","petalwidth",1
7,3.2,4.7,2,"Iris_versicolor","iris","petalwidth",1
6.4,3.2,4.5,1.46,"Iris_versicolor","iris","petalwidth",1
6.9,3.1,4.9,1.57,"Iris_versicolor","iris","petalwidth",1
5.5,2.3,4,0.28,"Iris_versicolor","iris","petalwidth",1
6.5,2.8,4.6,1.92,"Iris_versicolor","iris","petalwidth",1
5.7,2.8,4.5,-0.15,"Iris_versicolor","iris","petalwidth",1
6.3,3.3,4.7,1.76,"Iris_versicolor","iris","petalwidth",1
4.9,2.4,3.3,1.31,"Iris_versicolor","iris","petalwidth",1
6.6,2.9,4.6,2.39,"Iris_versicolor","iris","petalwidth",1
5.2,2.7,3.9,2.11,"Iris_versicolor","iris","petalwidth",1
5,2,3.5,1.78,"Iris_versicolor","iris","petalwidth",1
5.9,3,4.2,0.13,"Iris_versicolor","iris","petalwidth",1
6,2.2,4,2.22,"Iris_versicolor","iris","petalwidth",1
6.1,2.9,4.7,1.07,"Iris_versicolor","iris","petalwidth",1
5.6,2.9,3.6,3.32,"Iris_versicolor","iris","petalwidth",1
6.7,3.1,4.4,0.89,"Iris_versicolor","iris","petalwidth",1
5.6,3,4.5,0.6,"Iris_versicolor","iris","petalwidth",1
5.8,2.7,4.1,1.54,"Iris_versicolor","iris","petalwidth",1
6.2,2.2,4.5,1.49,"Iris_versicolor","iris","petalwidth",1
5.6,2.5,3.9,2.06,"Iris_versicolor","iris","petalwidth",1
5.9,3.2,4.8,1.44,"Iris_versicolor","iris","petalwidth",1
6.1,2.8,4,0.58,"Iris_versicolor","iris","petalwidth",1
6.3,2.5,4.9,2.08,"Iris_versicolor","iris","petalwidth",1
6.1,2.8,4.7,1.01,"Iris_versicolor","iris","petalwidth",1
6.4,2.9,4.3,2.12,"Iris_versicolor","iris","petalwidth",1
6.6,3,4.4,1.89,"Iris_versicolor","iris","petalwidth",1
6.8,2.8,4.8,1.23,"Iris_versicolor","iris","petalwidth",1
6.7,3,5,1.83,"Iris_versicolor","iris","petalwidth",1
6,2.9,4.5,1.78,"Iris_versicolor","iris","petalwidth",1
5.7,2.6,3.5,0.11,"Iris_versicolor","iris","petalwidth",1
5.5,2.4,3.8,0.66,"Iris_versicolor","iris","petalwidth",1
5.5,2.4,3.7,1.23,"Iris_versicolor","iris","petalwidth",1
5.8,2.7,3.9,2.61,"Iris_versicolor","iris","petalwidth",1
6,2.7,5.1,2.22,"Iris_versicolor","iris","petalwidth",1
5.4,3,4.5,1.87,"Iris_versicolor","iris","petalwidth",1
6,3.4,4.5,2.31,"Iris_versicolor","iris","petalwidth",1
6.7,3.1,4.7,1.85,"Iris_versicolor","iris","petalwidth",1
6.3,2.3,4.4,0.8,"Iris_versicolor","iris","petalwidth",1
5.6,3,4.1,2.23,"Iris_versicolor","iris","petalwidth",1
5.5,2.5,4,0.47,"Iris_versicolor","iris","petalwidth",1
5.5,2.6,4.4,0.46,"Iris_versicolor","iris","petalwidth",1
6.1,3,4.6,1.64,"Iris_versicolor","iris","petalwidth",1
5.8,2.6,4,2.49,"Iris_versicolor","iris","petalwidth",1
5,2.3,3.3,0.56,"Iris_versicolor","iris","petalwidth",1
5.6,2.7,4.2,2.1,"Iris_versicolor","iris","petalwidth",1
5.7,3,4.2,1.06,"Iris_versicolor","iris","petalwidth",1
5.7,2.9,4.2,1.67,"Iris_versicolor","iris","petalwidth",1
6.2,2.9,4.3,0.2,"Iris_versicolor","iris","petalwidth",1
5.1,2.5,3,0.29,"Iris_versicolor","iris","petalwidth",1
5.7,2.8,4.1,2.74,"Iris_versicolor","iris","petalwidth",1
6.3,3.3,6,2.52,"Iris_virginica","iris","petalwidth",1
5.8,2.7,5.1,1.95,"Iris_virginica","iris","petalwidth",1
7.1,3,5.9,0.14,"Iris_virginica","iris","petalwidth",1
6.3,2.9,5.6,2.73,"Iris_virginica","iris","petalwidth",1
6.5,3,5.8,2.1,"Iris_virginica","iris","petalwidth",1
7.6,3,6.6,2.45,"Iris_virginica","iris","petalwidth",1
4.9,2.5,4.5,1.98,"Iris_virginica","iris","petalwidth",1
7.3,2.9,6.3,2.1,"Iris_virginica","iris","petalwidth",1
6.7,2.5,5.8,1.49,"Iris_virginica","iris","petalwidth",1
7.2,3.6,6.1,3.94,"Iris_virginica","iris","petalwidth",1
6.5,3.2,5.1,2.1,"Iris_virginica","iris","petalwidth",1
6.4,2.7,5.3,1.77,"Iris_virginica","iris","petalwidth",1
6.8,3,5.5,3.34,"Iris_virginica","iris","petalwidth",1
5.7,2.5,5,1.72,"Iris_virginica","iris","petalwidth",1
5.8,2.8,5.1,1.37,"Iris_virginica","iris","petalwidth",1
6.4,3.2,5.3,0.71,"Iris_virginica","iris","petalwidth",1
6.5,3,5.5,1.72,"Iris_virginica","iris","petalwidth",1
7.7,3.8,6.7,1.75,"Iris_virginica","iris","petalwidth",1
7.7,2.6,6.9,2.14,"Iris_virginica","iris","petalwidth",1
