"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.4,0.19,"Iris_setosa","iris","petalwidth",0.2
4.9,3,1.4,0.13,"Iris_setosa","iris","petalwidth",0.2
4.7,3.2,1.3,0.17,"Iris_setosa","iris","petalwidth",0.2
4.6,3.1,1.5,0.03,"Iris_setosa","iris","petalwidth",0.2
5,3.6,1.4,0.21,"Iris_setosa","iris","petalwidth",0.2
5.4,3.9,1.7,0.49,"Iris_setosa","iris","petalwidth",0.2
4.6,3.4,1.4,0.22,"Iris_setosa","iris","petalwidth",0.2
5,3.4,1.5,0.08,"Iris_setosa","iris","petalwidth",0.2
4.4,2.9,1.4,-0.05,"Iris_setosa","iris","petalwidth",0.2
4.9,3.1,1.5,0.19,"Iris_setosa","iris","petalwidth",0.2
5.4,3.7,1.5,0.25,"Iris_setosa","iris","petalwidth",0.2
4.8,3.4,1.6,0.17,"Iris_setosa","iris","petalwidth",0.2
4.8,3,1.4,0.02,"Iris_setosa","iris","petalwidth",0.2
4.3,3,1.1,0.14,"Iris_setosa","iris","petalwidth",0.2
5.8,4,1.2,-0.01,"Iris_setosa","iris","petalwidth",0.2
5.7,4.4,1.5,0.18,"Iris_setosa","iris","petalwidth",0.2
5.4,3.9,1.3,0.18,"Iris_setosa","iris","petalwidth",0.2
5.1,3.5,1.4,0.24,"Iris_setosa","iris","petalwidth",0.2
5.7,3.8,1.7,0.42,"Iris_setosa","iris","petalwidth",0.2
5.1,3.8,1.5,0.41,"Iris_setosa","iris","petalwidth",0.2
5.4,3.4,1.7,0.11,"Iris_setosa","iris","petalwidth",0.2
5.1,3.7,1.5,0.62,"Iris_setosa","iris","petalwidth",0.2
4.6,3.6,1,0.03,"Iris_setosa","iris","petalwidth",0.2
5.1,3.3,1.7,0.42,"Iris_setosa","iris","petalwidth",0.2
4.8,3.4,1.9,0.09,"Iris_setosa","iris","petalwidth",0.2
5,3,1.6,0.22,"Iris_setosa","iris","petalwidth",0.2
5,3.4,1.6,0.13,"Iris_setosa","iris","petalwidth",0.2
5.2,3.5,1.5,0.38,"Iris_setosa","iris","petalwidth",0.2
5.2,3.4,1.4,0.38,"Iris_setosa","iris","petalwidth",0.2
4.7,3.2,1.6,0.35,"Iris_setosa","iris","petalwidth",0.2
4.8,3.1,1.6,0.19,"Iris_setosa","iris","petalwidth",0.2
5.4,3.4,1.5,0.58,"Iris_setosa","iris","petalwidth",0.2
5.2,4.1,1.5,0.17,"Iris_setosa","iris","petalwidth",0.2
5.5,4.2,1.4,0.35,"Iris_setosa","iris","petalwidth",0.2
4.9,3.1,1.5,0.13,"Iris_setosa","iris","petalwidth",0.2
5,3.2,1.2,0.24,"Iris_setosa","iris","petalwidth",0.2
5.5,3.5,1.3,-0.12,"Iris_setosa","iris","petalwidth",0.2
4.9,3.1,1.5,0.02,"Iris_setosa","iris","petalwidth",0.2
4.4,3,1.3,0.35,"Iris_setosa","iris","petalwidth",0.2
5.1,3.4,1.5,0.22,"Iris_setosa","iris","petalwidth",0.2
5,3.5,1.3,0.11,"Iris_setosa","iris","petalwidth",0.2
4.5,2.3,1.3,0.15,"Iris_setosa","iris","petalwidth",0.2
4.4,3.2,1.3,0.12,"Iris_setosa","iris","petalwidth",0.2
5,3.5,1.6,0.92,"Iris_setosa","iris","petalwidth",0.2
5.1,3.8,1.9,0.37,"Iris_setosa","iris","petalwidth",0.2
4.8,3,1.4,0.2,"Iris_setosa","iris","petalwidth",0.2
5.1,3.8,1.6,-0.12,"Iris_setosa","iris","petalwidth",0.2
4.6,3.2,1.4,-0.09,"Iris_setosa","iris","petalwidth",0.2
5.3,3.7,1.5,0.39,"Iris_setosa","iris","petalwidth",0.2
5,3.3,1.4,0.07,"Iris_setosa","iris","petalwidth",0.2
7,3.2,4.7,1.65,"Iris_versicolor","iris","petalwidth",0.2
6.4,3.2,4.5,1.45,"Iris_versicolor","iris","petalwidth",0.2
6.9,3.1,4.9,1.14,"Iris_versicolor","iris","petalwidth",0.2
5.5,2.3,4,1.63,"Iris_versicolor","iris","petalwidth",0.2
6.5,2.8,4.6,1.33,"Iris_versicolor","iris","petalwidth",0.2
