"variance","skewness","curtosis","entropy","class","dataset_name","altered_attribute","noise_level"
3.6216,8.31,-2.8073,-0.44699,"0","banknote","skewness",0.5
4.5459,4.95,-2.4586,-1.4621,"0","banknote","skewness",0.5
3.866,-1.49,1.9242,0.10645,"0","banknote","skewness",0.5
3.4566,10.74,-4.0112,-3.5944,"0","banknote","skewness",0.5
0.32924,-6.73,4.5718,-0.9888,"0","banknote","skewness",0.5
4.3684,8.01,-3.9606,-3.1625,"0","banknote","skewness",0.5
3.5912,4.09,0.72888,0.56421,"0","banknote","skewness",0.5
2.0922,-6.39,8.4636,-0.60216,"0","banknote","skewness",0.5
3.2032,6.03,-0.75345,-0.61251,"0","banknote","skewness",0.5
1.5356,9.97,-2.2718,-0.73535,"0","banknote","skewness",0.5
1.2247,13.88,-2.2135,-0.80647,"0","banknote","skewness",0.5
3.9899,-1.27,2.3946,0.86291,"0","banknote","skewness",0.5
1.8993,2.14,0.15394,-3.1108,"0","banknote","skewness",0.5
-1.5768,7.87,2.5462,-2.9362,"0","banknote","skewness",0.5
3.404,5.52,-2.9915,-0.57242,"0","banknote","skewness",0.5
4.6765,-3.73,3.4896,1.4771,"0","banknote","skewness",0.5
2.6719,-3.3,0.37158,0.58619,"0","banknote","skewness",0.5
0.80355,3.29,4.3439,0.6017,"0","banknote","skewness",0.5
1.4479,1.79,8.3428,-2.1086,"0","banknote","skewness",0.5
5.2423,11.83,-4.353,-4.1013,"0","banknote","skewness",0.5
5.7867,8.71,-2.6196,-0.48708,"0","banknote","skewness",0.5
0.3292,-10.86,4.5718,-0.9888,"0","banknote","skewness",0.5
3.9362,12.24,-3.8235,-4.0172,"0","banknote","skewness",0.5
0.93584,3.19,-1.6831,-1.6599,"0","banknote","skewness",0.5
4.4338,14.34,-4.6795,-3.7483,"0","banknote","skewness",0.5
0.7057,-4.35,8.3368,-2.8715,"0","banknote","skewness",0.5
1.1432,-2.38,5.5777,-0.63578,"0","banknote","skewness",0.5
-0.38214,10.85,2.1624,-3.7405,"0","banknote","skewness",0.5
6.5633,5.88,-4.4113,-3.2258,"0","banknote","skewness",0.5
4.8906,1.17,3.4202,1.0905,"0","banknote","skewness",0.5
-0.24811,2.82,4.9068,0.15429,"0","banknote","skewness",0.5
1.4884,1.57,3.308,0.48921,"0","banknote","skewness",0.5
4.2969,1.09,-2.3874,-0.96164,"0","banknote","skewness",0.5
-0.96511,3.64,1.7305,-4.8629,"0","banknote","skewness",0.5
-1.6162,0.43,8.1628,0.60817,"0","banknote","skewness",0.5
2.4391,5.22,-0.80743,-0.69139,"0","banknote","skewness",0.5
2.6881,7.04,-0.46641,-0.69268,"0","banknote","skewness",0.5
3.6289,0.11,1.6277,0.77627,"0","banknote","skewness",0.5
4.5679,-0.47,-2.1055,0.29653,"0","banknote","skewness",0.5
3.4805,10.52,-3.7541,-3.4379,"0","banknote","skewness",0.5
4.1711,1.77,-3.0224,-0.59699,"0","banknote","skewness",0.5
-0.2062,9.18,-3.7044,-6.8103,"0","banknote","skewness",0.5
-0.00689189999999999,13.14,-0.41243,-1.9638,"0","banknote","skewness",0.5
0.96441,2.28,2.3235,0.066365,"0","banknote","skewness",0.5
2.8561,6.58,-0.79372,0.48403,"0","banknote","skewness",0.5
-0.7869,13.04,-3.7867,-7.5034,"0","banknote","skewness",0.5
2.0843,12.88,0.48382,-2.2134,"0","banknote","skewness",0.5
-0.7869,9,-3.7867,-7.5034,"0","banknote","skewness",0.5
3.9102,-0.61,-2.4534,-0.68234,"0","banknote","skewness",0.5
1.6349,7.43,2.8753,0.087054,"0","banknote","skewness",0.5
4.3239,-3,3.4356,-0.5776,"0","banknote","skewness",0.5
5.262,1.02,-1.5572,1.0103,"0","banknote","skewness",0.5
3.1452,0.91,-0.51439,-1.4944,"0","banknote","skewness",0.5
2.549,9.34,-1.1605,-1.2371,"0","banknote","skewness",0.5
4.9264,5.1,-2.4774,-0.50648,"0","banknote","skewness",0.5
4.8265,-0.12,1.6371,1.1875,"0","banknote","skewness",0.5
2.5635,9.85,-0.61979,0.38576,"0","banknote","skewness",0.5
5.807,4.33,-2.2384,0.43878,"0","banknote","skewness",0.5
3.1377,-7.06,4.5701,0.98963,"0","banknote","skewness",0.5
-0.78289,10.36,-0.37644,-7.0495,"0","banknote","skewness",0.5
2.888,-1.47,4.5907,-0.24398,"0","banknote","skewness",0.5
0.49665,4.71,1.7785,-0.47156,"0","banknote","skewness",0.5
4.2586,10.86,-4.0943,-4.3457,"0","banknote","skewness",0.5
1.7939,-0.54,1.5454,-0.26079,"0","banknote","skewness",0.5
