"Feature_0","Feature_1","Feature_2","Feature_3","Feature_4","Feature_5","Feature_6","Feature_7","Feature_8","Feature_9","class","dataset_name","altered_attribute","noise_level"
-3.639,0.56,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,"P","vowel","Feature_1",0.8
-3.327,0.03,-0.694,1.365,-0.265,1.933,-0.363,0.51,-0.621,-0.488,"N","vowel","Feature_1",0.8
-2.12,1.29,-1.576,0.147,-0.707,1.559,-0.579,0.676,-0.809,-0.049,"N","vowel","Feature_1",0.8
-2.287,2.23,-1.498,1.012,-1.053,1.06,-0.567,0.235,-0.091,-0.795,"N","vowel","Feature_1",0.8
-2.598,2.13,-0.846,1.062,-1.633,0.764,0.394,-0.15,0.277,-0.396,"N","vowel","Feature_1",0.8
-2.852,2.19,-0.755,0.825,-1.588,0.855,0.217,-0.246,0.238,-0.365,"N","vowel","Feature_1",0.8
-3.482,0.5,-0.433,1.048,-1.995,0.902,0.322,0.45,0.377,-0.366,"N","vowel","Feature_1",0.8
-3.941,2.75,0.124,1.771,-1.815,0.593,-0.435,0.992,0.575,-0.301,"N","vowel","Feature_1",0.8
-3.86,2.55,-0.939,0.688,-0.675,1.679,-0.512,0.928,-0.167,-0.434,"N","vowel","Feature_1",0.8
-3.648,1.7,-1.378,1.578,0.065,1.577,-0.466,0.702,0.06,-0.836,"N","vowel","Feature_1",0.8
-3.032,2.46,-1.141,0.737,-0.834,1.386,-0.575,0.679,-0.018,-0.823,"N","vowel","Feature_1",0.8
-3.653,-0.08,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,"P","vowel","Feature_1",0.8
-3.237,0.59,-0.86,1.363,-0.251,1.915,-0.395,0.751,-0.774,-0.327,"N","vowel","Feature_1",0.8
-2.135,0.8,-1.632,0.121,-0.704,1.6,-0.628,0.713,-0.903,-0.027,"N","vowel","Feature_1",0.8
-2.304,2.55,-1.506,0.981,-0.961,0.806,-0.294,-0.002,0.119,-0.76,"N","vowel","Feature_1",0.8
-2.54,2.76,-1.024,0.933,-1.567,1.024,0.188,-0.047,0.309,-0.633,"N","vowel","Feature_1",0.8
-2.826,3.3,-0.738,0.801,-1.669,0.939,0.245,-0.257,0.256,-0.458,"N","vowel","Feature_1",0.8
-3.582,2.63,-0.358,1.162,-1.953,0.621,0.339,0.355,0.415,-0.259,"N","vowel","Feature_1",0.8
-3.951,1.32,0.127,1.772,-1.906,0.567,-0.432,1.045,0.598,-0.293,"N","vowel","Feature_1",0.8
-3.783,1.35,-1.2,0.606,-0.65,1.504,-0.134,0.528,0.392,-0.58,"N","vowel","Feature_1",0.8
-3.673,-0.61,-1.405,1.621,0.044,1.572,-0.453,0.745,-0.066,-0.733,"N","vowel","Feature_1",0.8
