"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.4,0.01,"Iris_setosa","iris","petalwidth",0.4
4.9,3,1.4,0.13,"Iris_setosa","iris","petalwidth",0.4
4.7,3.2,1.3,-0.3,"Iris_setosa","iris","petalwidth",0.4
4.6,3.1,1.5,0.13,"Iris_setosa","iris","petalwidth",0.4
5,3.6,1.4,-0.34,"Iris_setosa","iris","petalwidth",0.4
5.4,3.9,1.7,0.4,"Iris_setosa","iris","petalwidth",0.4
4.6,3.4,1.4,0.83,"Iris_setosa","iris","petalwidth",0.4
5,3.4,1.5,0.41,"Iris_setosa","iris","petalwidth",0.4
4.4,2.9,1.4,0.65,"Iris_setosa","iris","petalwidth",0.4
4.9,3.1,1.5,0.51,"Iris_setosa","iris","petalwidth",0.4
5.4,3.7,1.5,0.1,"Iris_setosa","iris","petalwidth",0.4
4.8,3.4,1.6,0.31,"Iris_setosa","iris","petalwidth",0.4
4.8,3,1.4,-0.46,"Iris_setosa","iris","petalwidth",0.4
4.3,3,1.1,0.37,"Iris_setosa","iris","petalwidth",0.4
5.8,4,1.2,-0.02,"Iris_setosa","iris","petalwidth",0.4
5.7,4.4,1.5,0.69,"Iris_setosa","iris","petalwidth",0.4
5.4,3.9,1.3,-0.17,"Iris_setosa","iris","petalwidth",0.4
5.1,3.5,1.4,0.65,"Iris_setosa","iris","petalwidth",0.4
5.7,3.8,1.7,0.15,"Iris_setosa","iris","petalwidth",0.4
5.1,3.8,1.5,0.74,"Iris_setosa","iris","petalwidth",0.4
5.4,3.4,1.7,0.19,"Iris_setosa","iris","petalwidth",0.4
5.1,3.7,1.5,0.21,"Iris_setosa","iris","petalwidth",0.4
4.6,3.6,1,0.35,"Iris_setosa","iris","petalwidth",0.4
5.1,3.3,1.7,0.48,"Iris_setosa","iris","petalwidth",0.4
4.8,3.4,1.9,0.01,"Iris_setosa","iris","petalwidth",0.4
5,3,1.6,-0.07,"Iris_setosa","iris","petalwidth",0.4
5,3.4,1.6,1.14,"Iris_setosa","iris","petalwidth",0.4
5.2,3.5,1.5,-0.09,"Iris_setosa","iris","petalwidth",0.4
5.2,3.4,1.4,0.37,"Iris_setosa","iris","petalwidth",0.4
4.7,3.2,1.6,0.14,"Iris_setosa","iris","petalwidth",0.4
4.8,3.1,1.6,-0.11,"Iris_setosa","iris","petalwidth",0.4
5.4,3.4,1.5,-0.02,"Iris_setosa","iris","petalwidth",0.4
5.2,4.1,1.5,-0.35,"Iris_setosa","iris","petalwidth",0.4
5.5,4.2,1.4,-0.23,"Iris_setosa","iris","petalwidth",0.4
4.9,3.1,1.5,-0.36,"Iris_setosa","iris","petalwidth",0.4
5,3.2,1.2,0.41,"Iris_setosa","iris","petalwidth",0.4
5.5,3.5,1.3,0.13,"Iris_setosa","iris","petalwidth",0.4
4.9,3.1,1.5,0.71,"Iris_setosa","iris","petalwidth",0.4
4.4,3,1.3,0.39,"Iris_setosa","iris","petalwidth",0.4
5.1,3.4,1.5,0.7,"Iris_setosa","iris","petalwidth",0.4
5,3.5,1.3,0.45,"Iris_setosa","iris","petalwidth",0.4
4.5,2.3,1.3,0.56,"Iris_setosa","iris","petalwidth",0.4
4.4,3.2,1.3,0.34,"Iris_setosa","iris","petalwidth",0.4
5,3.5,1.6,0.48,"Iris_setosa","iris","petalwidth",0.4
5.1,3.8,1.9,0.68,"Iris_setosa","iris","petalwidth",0.4
4.8,3,1.4,0.3,"Iris_setosa","iris","petalwidth",0.4
5.1,3.8,1.6,0.52,"Iris_setosa","iris","petalwidth",0.4
4.6,3.2,1.4,-0.04,"Iris_setosa","iris","petalwidth",0.4
5.3,3.7,1.5,0.51,"Iris_setosa","iris","petalwidth",0.4
5,3.3,1.4,0.1,"Iris_setosa","iris","petalwidth",0.4
7,3.2,4.7,1.13,"Iris_versicolor","iris","petalwidth",0.4
6.4,3.2,4.5,0.91,"Iris_versicolor","iris","petalwidth",0.4
6.9,3.1,4.9,1.99,"Iris_versicolor","iris","petalwidth",0.4
5.5,2.3,4,1.46,"Iris_versicolor","iris","petalwidth",0.4
6.5,2.8,4.6,1.48,"Iris_versicolor","iris","petalwidth",0.4
5.7,2.8,4.5,1.51,"Iris_versicolor","iris","petalwidth",0.4
6.3,3.3,4.7,1.62,"Iris_versicolor","iris","petalwidth",0.4
4.9,2.4,3.3,0.6,"Iris_versicolor","iris","petalwidth",0.4
6.6,2.9,4.6,0.65,"Iris_versicolor","iris","petalwidth",0.4
5.2,2.7,3.9,1.34,"Iris_versicolor","iris","petalwidth",0.4
5,2,3.5,0.9,"Iris_versicolor","iris","petalwidth",0.4
5.9,3,4.2,1.18,"Iris_versicolor","iris","petalwidth",0.4
6,2.2,4,1.13,"Iris_versicolor","iris","petalwidth",0.4
6.1,2.9,4.7,1.3,"Iris_versicolor","iris","petalwidth",0.4
5.6,2.9,3.6,1.55,"Iris_versicolor","iris","petalwidth",0.4
6.7,3.1,4.4,1.79,"Iris_versicolor","iris","petalwidth",0.4
5.6,3,4.5,1.31,"Iris_versicolor","iris","petalwidth",0.4
5.8,2.7,4.1,0.73,"Iris_versicolor","iris","petalwidth",0.4
6.2,2.2,4.5,1.54,"Iris_versicolor","iris","petalwidth",0.4
5.6,2.5,3.9,1.54,"Iris_versicolor","iris","petalwidth",0.4
5.9,3.2,4.8,1.27,"Iris_versicolor","iris","petalwidth",0.4
6.1,2.8,4,1.04,"Iris_versicolor","iris","petalwidth",0.4
6.3,2.5,4.9,1.28,"Iris_versicolor","iris","petalwidth",0.4
6.1,2.8,4.7,1.31,"Iris_versicolor","iris","petalwidth",0.4
6.4,2.9,4.3,2.03,"Iris_versicolor","iris","petalwidth",0.4
6.6,3,4.4,1.26,"Iris_versicolor","iris","petalwidth",0.4
