"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class","dataset_name","altered_attribute","noise_level"
"<0",6,"critical/other existing credit","radio/tv",2243.23,"no known savings",">=7",4,"male single","none",4,"real estate",67,"none","own",2,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.4
"0<=X<200",48,"existing paid","radio/tv",6467.11,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",22,"none","own",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.4
"no checking",12,"critical/other existing credit","education",1691,"<100","4<=X<7",2,"male single","none",3,"real estate",49,"none","own",1,"unskilled resident",2,"none","yes","good","credit-g","credit_amount",0.4
"<0",42,"existing paid","furniture/equipment",6701.12,"<100","4<=X<7",2,"male single","guarantor",4,"life insurance",45,"none","for free",1,"skilled",2,"none","yes","good","credit-g","credit_amount",0.4
"<0",24,"delayed previously","new car",5217.24,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"none","for free",2,"skilled",2,"none","yes","bad","credit-g","credit_amount",0.4
"no checking",36,"existing paid","education",11306.85,"no known savings","1<=X<4",2,"male single","none",4,"no known property",35,"none","for free",1,"unskilled resident",2,"yes","yes","good","credit-g","credit_amount",0.4
"no checking",24,"existing paid","furniture/equipment",768.43,"500<=X<1000",">=7",3,"male single","none",4,"life insurance",53,"none","own",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.4
"0<=X<200",36,"existing paid","used car",8465.85,"<100","1<=X<4",2,"male single","none",2,"car",35,"none","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good","credit-g","credit_amount",0.4
"no checking",12,"existing paid","radio/tv",1387.16,">=1000","4<=X<7",2,"male div/sep","none",4,"real estate",61,"none","own",1,"unskilled resident",1,"none","yes","good","credit-g","credit_amount",0.4
"0<=X<200",30,"critical/other existing credit","new car",4424.19,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"none","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad","credit-g","credit_amount",0.4
"0<=X<200",12,"existing paid","new car",391.17,"<100","<1",3,"female div/dep/mar","none",1,"car",25,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.4
"<0",48,"existing paid","business",4880.07,"<100","<1",3,"female div/dep/mar","none",4,"life insurance",24,"none","rent",1,"skilled",1,"none","yes","bad","credit-g","credit_amount",0.4
"0<=X<200",12,"existing paid","radio/tv",2428.25,"<100","1<=X<4",1,"female div/dep/mar","none",1,"car",22,"none","own",1,"skilled",1,"yes","yes","good","credit-g","credit_amount",0.4
"<0",24,"critical/other existing credit","new car",-1320.81,"<100",">=7",4,"male single","none",4,"car",60,"none","own",2,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.4
"<0",15,"existing paid","new car",1339.46,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"none","rent",1,"skilled",1,"none","yes","good","credit-g","credit_amount",0.4
"<0",24,"existing paid","radio/tv",2399.85,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"car",32,"none","own",1,"unskilled resident",1,"none","yes","bad","credit-g","credit_amount",0.4
"no checking",24,"critical/other existing credit","radio/tv",2659.57,"no known savings",">=7",4,"male single","none",4,"life insurance",53,"none","own",2,"skilled",1,"none","yes","good","credit-g","credit_amount",0.4
"<0",30,"no credits/all paid","business",8643.36,"no known savings","<1",2,"male single","none",3,"car",25,"bank","own",3,"skilled",1,"none","yes","good","credit-g","credit_amount",0.4
"0<=X<200",24,"existing paid","used car",12716.62,"<100",">=7",4,"female div/dep/mar","none",2,"no known property",44,"none","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad","credit-g","credit_amount",0.4
"no checking",24,"existing paid","radio/tv",2632.86,"500<=X<1000",">=7",3,"male single","none",2,"car",31,"none","own",1,"skilled",2,"yes","yes","good","credit-g","credit_amount",0.4
