COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class,dataset_name,altered_attribute,noise_level
95,48,83,145.93,72,10,162,42,20,159,176,379,184,70,6,16,187,197,van,vehicle,RADIUS_RATIO,0.8
91,41,84,134.11,57,9,149,45,19,143,170,330,158,72,9,14,189,199,van,vehicle,RADIUS_RATIO,0.8
104,50,106,222.64,66,10,207,32,23,158,223,635,220,73,14,9,188,196,saab,vehicle,RADIUS_RATIO,0.8
93,41,82,155.64,63,9,144,46,19,143,160,309,127,63,6,10,199,207,van,vehicle,RADIUS_RATIO,0.8
85,44,70,136.66,103,52,149,45,19,144,241,325,188,127,9,11,180,183,bus,vehicle,RADIUS_RATIO,0.8
107,57,106,191.82,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus,vehicle,RADIUS_RATIO,0.8
97,43,73,141.01,65,6,153,42,19,143,176,361,172,66,13,1,200,204,bus,vehicle,RADIUS_RATIO,0.8
90,43,66,117.21,65,9,137,48,18,146,162,281,164,67,3,3,193,202,van,vehicle,RADIUS_RATIO,0.8
86,34,62,98.65,61,7,122,54,17,127,141,223,112,64,2,14,200,208,van,vehicle,RADIUS_RATIO,0.8
93,44,98,212.68,62,11,183,36,22,146,202,505,152,64,4,14,195,204,saab,vehicle,RADIUS_RATIO,0.8
86,36,70,172.7,61,9,133,50,18,130,153,266,127,66,2,10,194,202,van,vehicle,RADIUS_RATIO,0.8
90,34,66,142.86,55,6,123,54,17,118,148,224,118,65,5,26,196,202,saab,vehicle,RADIUS_RATIO,0.8
88,46,74,157.32,68,6,152,43,19,148,180,349,192,71,5,11,189,195,bus,vehicle,RADIUS_RATIO,0.8
89,42,85,96.44,58,10,152,44,19,144,173,345,161,72,8,13,187,197,van,vehicle,RADIUS_RATIO,0.8
94,49,79,215.14,71,5,174,37,21,154,196,465,206,71,6,2,197,199,bus,vehicle,RADIUS_RATIO,0.8
96,55,103,249.92,65,9,204,32,23,166,227,624,246,74,6,2,186,194,opel,vehicle,RADIUS_RATIO,0.8
89,36,51,131.48,52,6,118,57,17,129,137,206,125,80,2,14,181,185,van,vehicle,RADIUS_RATIO,0.8
99,41,77,170.77,69,6,177,36,21,139,202,485,151,72,4,10,198,199,bus,vehicle,RADIUS_RATIO,0.8
104,54,100,189.81,61,10,216,31,24,173,225,686,220,74,5,11,185,195,saab,vehicle,RADIUS_RATIO,0.8
101,56,100,263.0,69,10,208,32,24,169,227,651,223,74,6,5,186,193,opel,vehicle,RADIUS_RATIO,0.8
84,47,75,116.23,64,6,154,43,19,145,175,354,184,75,0,3,185,192,bus,vehicle,RADIUS_RATIO,0.8
84,37,53,129.26,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van,vehicle,RADIUS_RATIO,0.8
94,43,64,177.4,69,7,150,43,19,142,169,344,177,68,9,1,199,206,bus,vehicle,RADIUS_RATIO,0.8
87,39,70,136.19,61,7,143,46,18,136,164,307,141,69,1,2,192,199,bus,vehicle,RADIUS_RATIO,0.8
99,53,105,162.94,66,11,204,32,23,165,221,623,224,68,0,6,191,201,saab,vehicle,RADIUS_RATIO,0.8
85,45,80,151.65,64,9,147,45,19,148,169,324,174,71,1,4,188,199,van,vehicle,RADIUS_RATIO,0.8
83,36,54,93.46,57,6,128,53,18,125,143,238,139,82,6,3,179,183,saab,vehicle,RADIUS_RATIO,0.8
107,54,98,211.31,65,11,218,31,25,167,229,696,216,72,1,28,187,199,saab,vehicle,RADIUS_RATIO,0.8
102,45,85,148.32,64,6,192,33,22,146,217,570,163,76,6,7,195,193,bus,vehicle,RADIUS_RATIO,0.8
80,38,63,101.98,55,7,146,46,19,130,168,314,158,83,9,20,180,185,saab,vehicle,RADIUS_RATIO,0.8
89,43,85,182.4,64,11,155,43,19,151,173,356,174,72,5,9,185,196,van,vehicle,RADIUS_RATIO,0.8
88,42,77,128.13,58,8,140,47,18,142,165,293,158,64,10,11,198,205,saab,vehicle,RADIUS_RATIO,0.8
93,35,66,165.18,59,6,142,46,18,128,162,304,120,64,5,13,197,202,opel,vehicle,RADIUS_RATIO,0.8
101,48,107,198.16,68,10,208,32,24,154,232,641,204,70,5,38,190,202,opel,vehicle,RADIUS_RATIO,0.8
87,38,85,197.95,61,8,164,40,20,129,186,402,130,63,1,25,198,205,opel,vehicle,RADIUS_RATIO,0.8
100,46,90,148.86,67,9,157,43,20,150,170,363,184,67,17,7,192,200,van,vehicle,RADIUS_RATIO,0.8
