"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,-0.52,1.2,1.4,"false","kc1","total_Op",0.3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-15.1,1,1,"true","kc1","total_Op",0.3
83,11,1,11,171,927.89,0.04,23.04,40.27,21378.61,0.31,1187.7,65,10,6,0,18,25,93.11,64,21,"true","kc1","total_Op",0.3
46,8,6,8,141,769.78,0.07,14.86,51.81,11436.73,0.26,635.37,37,2,5,0,16,28,84.78,52,15,"true","kc1","total_Op",0.3
25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,132.33,21,0,2,0,11,10,20.56,17,5,"true","kc1","total_Op",0.3
43,3,1,3,115,569.73,0.09,11.27,50.53,6423.73,0.19,356.87,35,2,4,0,11,20,90.84,41,5,"true","kc1","total_Op",0.3
48,6,1,6,149,751.61,0.06,15.43,48.72,11596.34,0.25,644.24,41,2,2,0,12,21,94.14,54,11,"true","kc1","total_Op",0.3
69,12,1,12,231,1212.27,0.04,27.27,44.45,33061.94,0.4,1836.77,62,3,2,0,16,22,172.06,75,23,"true","kc1","total_Op",0.3
47,6,1,6,149,745,0.06,16.2,45.99,12069,0.25,670.5,41,2,1,0,12,20,93.55,54,11,"true","kc1","total_Op",0.3
48,7,1,7,155,801.34,0.06,17.82,44.97,14278.39,0.27,793.24,42,2,1,0,14,22,94.82,56,13,"true","kc1","total_Op",0.3
58,9,1,9,193,1027.13,0.05,20.7,49.62,21261.63,0.34,1181.2,50,2,2,0,15,25,121.84,69,17,"true","kc1","total_Op",0.3
65,6,1,5,155,801.34,0.05,19.73,40.62,15808.22,0.27,878.23,54,4,5,0,14,22,62,62,11,"true","kc1","total_Op",0.3
116,11,4,8,289,1700.08,0.04,26.6,63.91,45222.23,0.57,2512.35,88,14,12,0,19,40,175.97,112,21,"true","kc1","total_Op",0.3
24,4,1,4,74,347.83,0.09,11.37,30.6,3953.7,0.12,219.65,20,0,0,0,11,15,58.42,31,7,"true","kc1","total_Op",0.3
77,19,12,19,231,1245.63,0.03,29.25,42.59,36434.54,0.42,2024.14,61,7,7,0,18,24,144.26,78,37,"true","kc1","total_Op",0.3
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,9.06,5,0,0,0,7,5,30.25,5,1,"true","kc1","total_Op",0.3
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,57.83,13,0,1,0,8,14,9.6,19,3,"true","kc1","total_Op",0.3
93,7,3,6,257,1499.05,0.03,29.86,50.21,44757.43,0.5,2486.52,71,4,15,0,22,35,185.31,95,12,"true","kc1","total_Op",0.3
23,1,1,1,67,307.19,0.21,4.74,64.87,1454.65,0.1,80.81,18,0,1,0,7,17,24.14,23,1,"true","kc1","total_Op",0.3
30,1,1,1,21,85.84,0.3,3.33,25.75,286.12,0.03,15.9,18,0,1,0,5,12,14.99,16,1,"true","kc1","total_Op",0.3
30,1,1,1,54,108,0.03,39,2.77,4212,0.04,234,28,0,0,0,3,1,34.08,26,1,"true","kc1","total_Op",0.3
35,3,1,3,108,529.94,0.08,13,40.76,6889.27,0.18,382.74,30,0,3,0,12,18,46.03,39,5,"true","kc1","total_Op",0.3
25,4,1,4,57,232.99,0.07,13.5,17.26,3145.3,0.08,174.74,20,0,3,0,9,8,33.52,24,7,"true","kc1","total_Op",0.3
20,7,7,3,54,240.81,0.1,9.58,25.13,2307.76,0.08,128.21,14,0,1,0,10,12,39.53,23,13,"true","kc1","total_Op",0.3
119,14,1,14,289,1605.28,0.03,30.72,52.25,49320.73,0.54,2740.04,85,26,6,0,18,29,192.48,99,27,"true","kc1","total_Op",0.3
35,4,1,4,78,362.22,0.07,14.31,25.32,5182.54,0.12,287.92,31,0,2,0,12,13,29.27,31,7,"true","kc1","total_Op",0.3
33,4,1,4,73,334.7,0.07,14.5,23.08,4853.18,0.11,269.62,30,0,1,0,12,12,51.13,29,7,"true","kc1","total_Op",0.3
17,2,1,2,25,92.51,0.16,6.4,14.45,592.07,0.03,32.89,12,0,3,0,8,5,16.12,8,3,"true","kc1","total_Op",0.3
