"Abbrev","Rep","Locality","Map_Ref","Latitude","Altitude","Rainfall","Frosts","Year","Sp","PMCno","DBH","Ht","Surv","Vig","Ins_res","Stem_Fm","Crown_Fm","Brnch_Fm","class","dataset_name","altered_attribute","noise_level"
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"co",1520,18.45,9.96,40,4.65,3,3.5,4,3.5,"P","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"fr",1487,13.15,9.65,90,5.14,4,3.5,3.5,3,"N","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ma",1362,10.32,6.5,50,2.35,2.5,3,3.5,3,"N","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"nd",1596,14.8,9.48,70,3.67,3,3.3,4,3.5,"P","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ni",2088,14.5,10.78,90,4.06,2.7,3.3,3,3,"P","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ob",1522,17.01,12.28,70,5.35,4,5,4,4.5,"N","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ov",1521,13.93,9.77,80,4.45,2,3,3,3,"P","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"pu",1523,19.05,11.26,100,5.12,4.5,3.5,4,2,"N","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"rd",1524,7.62,6.59,80,2.84,2.5,3.3,3.5,3.5,"N","eucalyptus","Vig",0.3
"Cra",1,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"si",1525,14.75,9.13,50,3.99,4,3.3,3,3,"P","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"co",1520,8.15,6.72,70,1.65,3,3,3,3,"N","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"fr",1487,15.07,7.17,10,4.36,4,3.3,3,2,"P","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ma",1362,8.99,6.05,60,3.61,3,3,4,4,"N","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"nd",1596,13.13,6.08,80,3.48,4,4,3.5,3.5,"N","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ni",2088,10.78,8.93,100,2.8,2,3,3,3,"P","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ob",1522,13.08,9.79,90,5.14,4.5,5,4,4,"N","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ov",1521,10.22,8.32,100,2.88,1.8,3,3,3,"N","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"pu",1523,18.71,10.9,100,4.19,4,3.3,4,3,"N","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"rd",1524,8.23,6.5,70,2.1,2,3.3,4,3.5,"N","eucalyptus","Vig",0.3
"Cra",2,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"si",1525,17.52,9.22,60,4.4,3,3,3,2,"P","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"co",1520,10.75,5.91,50,2.41,4,3.3,3.5,3,"N","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"fr",1487,21.52,8.77,20,3.63,3.5,3,3,1,"N","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ma",1362,15.22,6.5,30,3.48,4,3,3,3,"N","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"nd",1596,9.73,8.67,70,2.77,4,3.5,3.5,3.5,"P","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ni",2088,17.15,8.22,60,4.72,2.7,3.5,3,2,"P","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ob",1522,16.13,9.95,50,3.97,4.5,3.3,3.5,3,"P","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"ov",1521,8.78,5.79,50,2.33,2,3.2,3.3,3,"N","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"pu",1523,17.18,9.99,90,4.48,4.5,3.5,4,3.3,"P","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"rd",1524,12.39,5.55,80,2.84,2.5,2,2,2,"N","eucalyptus","Vig",0.3
"Cra",3,"Central_Hawkes_Bay","N135_382/137","39__38",100,850,-2,1980,"si",1525,14.75,7.79,30,4.41,4,4,2.5,2,"P","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"co",1520,10.1,8.2,60,3.07,4,3.5,3.5,3.2,"N","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"mn",1362,4.7,5.5,20,1.06,1.5,2,3,3,"N","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"nd",1596,17,12.6,50,4.3,4,3.2,4,3.5,"P","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ni",2088,10.3,9.4,80,2.91,2.5,3,3,3,"P","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ob",1522,21.6,12,40,3.95,3.7,3.5,3.5,3,"P","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ov",1521,11.3,10,40,3.05,2,3.2,4,3,"N","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"pu",1523,12.7,9.3,80,2.49,4,3.2,3.9,3.4,"P","eucalyptus","Vig",0.3
"Nga",1,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"rd",1524,5.4,4.5,20,1.33,2,3,3,3,"N","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"co",1520,6.8,5.5,60,2.39,3.5,3.5,3.5,3,"N","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"fr",1487,17.8,10,10,4.22,4,3.5,4,2,"P","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"nd",1596,20.4,10.2,60,3.98,4,3,3,2.5,"P","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ni",2088,19.1,9.7,60,3.29,3,2,2,1.5,"P","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ob",1522,15.5,9.8,40,4.11,3.5,3.5,3.5,3,"P","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ov",1521,13.5,7.7,30,2.81,2,3.3,4,3.5,"P","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"pu",1523,20.8,12,20,3.34,4,3,3.5,3,"N","eucalyptus","Vig",0.3
"Nga",2,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"rd",1524,11.5,5.8,40,1.25,2,2.5,3.5,2.5,"N","eucalyptus","Vig",0.3
"Nga",3,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"fr",1487,37.6,13,10,4.46,4,2,2,1,"P","eucalyptus","Vig",0.3
"Nga",3,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"nd",1596,24.5,12,20,3.74,4,4,4,2,"P","eucalyptus","Vig",0.3
"Nga",3,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ni",2088,17.6,9,90,4.33,2.5,3,2,1.5,"P","eucalyptus","Vig",0.3
"Nga",3,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"ov",1521,16.2,10.2,60,3.75,2.3,3,3.3,3,"N","eucalyptus","Vig",0.3
"Nga",3,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"pu",1523,11.5,9,20,2.63,3.7,4,4,3,"P","eucalyptus","Vig",0.3
"Nga",3,"Southern_Hawkes_Bay","N145_874/586","40__11",130,1000,-3,1980,"rd",1524,7.6,5.5,20,0.82,2,2,3,3,"N","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"ag",1094,3.4,5.5,50,0.88,1,3,3,3,"N","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"bxs",1111,17.6,12.6,71,3.6,3,3.3,2.5,2,"P","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"br",1112,14,10,100,2.15,1.5,3,4,4,"N","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"br",1113,8.8,11.4,100,2.23,2,4,4,4,"N","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"el",1338,15.8,10,38,3.5,3.5,3.3,3.5,3,"N","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"fa",1482,15.5,10.5,50,2.99,3.3,3.3,3,3,"N","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"fa",1978,14.6,11.1,100,3.38,3,3.5,3.5,3.3,"P","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"fr",1339,17.3,13.2,71,3.21,3,3,3,3,"N","eucalyptus","Vig",0.3
"Wai",1,"Central_Hawkes_Bay_(coastal)","N142_377/957","39__50",70,1000,-2,1981,"fr",1786,13.3,10.8,75,3.83,3.8,4,4,4,"N","eucalyptus","Vig",0.3
