"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.46,0.2,"Iris_setosa","iris","petallength",0.8
4.9,3,1.72,0.2,"Iris_setosa","iris","petallength",0.8
4.7,3.2,-0.13,0.2,"Iris_setosa","iris","petallength",0.8
4.6,3.1,4.89,0.2,"Iris_setosa","iris","petallength",0.8
5,3.6,2.53,0.2,"Iris_setosa","iris","petallength",0.8
5.4,3.9,1.35,0.4,"Iris_setosa","iris","petallength",0.8
4.6,3.4,3.11,0.3,"Iris_setosa","iris","petallength",0.8
5,3.4,0.61,0.2,"Iris_setosa","iris","petallength",0.8
4.4,2.9,3.82,0.2,"Iris_setosa","iris","petallength",0.8
4.9,3.1,0.94,0.1,"Iris_setosa","iris","petallength",0.8
5.4,3.7,-1.78,0.2,"Iris_setosa","iris","petallength",0.8
4.8,3.4,3.53,0.2,"Iris_setosa","iris","petallength",0.8
4.8,3,3,0.1,"Iris_setosa","iris","petallength",0.8
4.3,3,0.01,0.1,"Iris_setosa","iris","petallength",0.8
5.8,4,-0.79,0.2,"Iris_setosa","iris","petallength",0.8
5.7,4.4,-1.09,0.4,"Iris_setosa","iris","petallength",0.8
5.4,3.9,0.92,0.4,"Iris_setosa","iris","petallength",0.8
5.1,3.5,-1.19,0.3,"Iris_setosa","iris","petallength",0.8
5.7,3.8,0.55,0.3,"Iris_setosa","iris","petallength",0.8
5.1,3.8,1.73,0.3,"Iris_setosa","iris","petallength",0.8
5.4,3.4,2.91,0.2,"Iris_setosa","iris","petallength",0.8
5.1,3.7,0.34,0.4,"Iris_setosa","iris","petallength",0.8
4.6,3.6,0.83,0.2,"Iris_setosa","iris","petallength",0.8
5.1,3.3,2.06,0.5,"Iris_setosa","iris","petallength",0.8
4.8,3.4,4.33,0.2,"Iris_setosa","iris","petallength",0.8
5,3,0.25,0.2,"Iris_setosa","iris","petallength",0.8
5,3.4,-0.66,0.4,"Iris_setosa","iris","petallength",0.8
5.2,3.5,-1.11,0.2,"Iris_setosa","iris","petallength",0.8
5.2,3.4,2.18,0.2,"Iris_setosa","iris","petallength",0.8
4.7,3.2,1.52,0.2,"Iris_setosa","iris","petallength",0.8
4.8,3.1,2.69,0.2,"Iris_setosa","iris","petallength",0.8
5.4,3.4,1.3,0.4,"Iris_setosa","iris","petallength",0.8
5.2,4.1,2.05,0.1,"Iris_setosa","iris","petallength",0.8
5.5,4.2,1.72,0.2,"Iris_setosa","iris","petallength",0.8
4.9,3.1,1.53,0.1,"Iris_setosa","iris","petallength",0.8
5,3.2,0.32,0.2,"Iris_setosa","iris","petallength",0.8
5.5,3.5,3.08,0.2,"Iris_setosa","iris","petallength",0.8
4.9,3.1,0.93,0.1,"Iris_setosa","iris","petallength",0.8
4.4,3,2.24,0.2,"Iris_setosa","iris","petallength",0.8
5.1,3.4,1.73,0.2,"Iris_setosa","iris","petallength",0.8
5,3.5,3.81,0.3,"Iris_setosa","iris","petallength",0.8
4.5,2.3,2.3,0.3,"Iris_setosa","iris","petallength",0.8
4.4,3.2,0.82,0.2,"Iris_setosa","iris","petallength",0.8
5,3.5,1.59,0.6,"Iris_setosa","iris","petallength",0.8
5.1,3.8,1.72,0.4,"Iris_setosa","iris","petallength",0.8
