"dataset_name","technique","most_important_attribute"
"banknote","C5.0","variance"
"banknote","ctree","variance"
"banknote","fda","variance"
"banknote","gbm","variance"
"banknote","gcvEarth","variance"
"banknote","JRip","variance"
"banknote","lvq","variance"
"banknote","mlpML","variance"
"banknote","multinom","variance"
"banknote","naive_bayes","variance"
"banknote","PART","variance"
"banknote","rbfDDA","variance"
"banknote","rda","variance"
"banknote","rf","variance"
"banknote","rpart","variance"
"banknote","simpls","variance"
"banknote","svmLinear","variance"
"banknote","svmRadial","skewness"
"banknote","rfRules","variance"
"banknote","knn","variance"
"banknote","bayesglm","variance"
