"dataset_name","technique","most_important_attribute"
"cmc","C5.0","Number_of_children_ever_born"
"cmc","ctree","Number_of_children_ever_born"
"cmc","fda","Number_of_children_ever_born"
"cmc","gbm","Number_of_children_ever_born"
"cmc","gcvEarth","Number_of_children_ever_born"
"cmc","JRip","Number_of_children_ever_born"
"cmc","lvq","Number_of_children_ever_born"
"cmc","mlpML","Number_of_children_ever_born"
"cmc","multinom","Number_of_children_ever_born"
"cmc","naive_bayes","Number_of_children_ever_born"
"cmc","PART","Number_of_children_ever_born"
"cmc","rbfDDA","Number_of_children_ever_born"
"cmc","rda","Number_of_children_ever_born"
"cmc","rf","Number_of_children_ever_born"
"cmc","rpart","Wifes_age"
"cmc","simpls","Number_of_children_ever_born"
"cmc","svmLinear","Number_of_children_ever_born"
"cmc","svmRadial","Number_of_children_ever_born"
"cmc","rfRules","Number_of_children_ever_born"
"cmc","knn","Number_of_children_ever_born"
"cmc","bayesglm","Number_of_children_ever_born"
