"dataset_name","technique","most_important_attribute"
"climate-model-simulation-crashes","C5.0","vconst_2"
"climate-model-simulation-crashes","ctree","vconst_corr"
"climate-model-simulation-crashes","fda","vconst_corr"
"climate-model-simulation-crashes","gbm","vconst_corr"
"climate-model-simulation-crashes","gcvEarth","vconst_corr"
"climate-model-simulation-crashes","JRip","vconst_corr"
"climate-model-simulation-crashes","lvq","vconst_corr"
"climate-model-simulation-crashes","mlpML","vconst_corr"
"climate-model-simulation-crashes","multinom","vconst_corr"
"climate-model-simulation-crashes","naive_bayes","vconst_2"
"climate-model-simulation-crashes","PART","vconst_2"
"climate-model-simulation-crashes","rbfDDA","vconst_corr"
"climate-model-simulation-crashes","rda","vconst_corr"
"climate-model-simulation-crashes","rf","vconst_2"
"climate-model-simulation-crashes","rpart","vconst_corr"
"climate-model-simulation-crashes","simpls","vconst_corr"
"climate-model-simulation-crashes","svmLinear","vconst_corr"
"climate-model-simulation-crashes","svmRadial","vconst_corr"
"climate-model-simulation-crashes","rfRules","vconst_corr"
"climate-model-simulation-crashes","knn","bckgrnd_vdc1"
"climate-model-simulation-crashes","bayesglm","vconst_corr"
