"dataset_name","technique","most_important_attribute"
"blood-transfusion-service-center","C5.0","V2"
"blood-transfusion-service-center","ctree","V3"
"blood-transfusion-service-center","fda","V3"
"blood-transfusion-service-center","gbm","V2"
"blood-transfusion-service-center","gcvEarth","V3"
"blood-transfusion-service-center","JRip","V2"
"blood-transfusion-service-center","lvq","V4"
"blood-transfusion-service-center","mlpML","V3"
"blood-transfusion-service-center","multinom","V3"
"blood-transfusion-service-center","naive_bayes","V3"
"blood-transfusion-service-center","PART","V2"
"blood-transfusion-service-center","rbfDDA","V1"
"blood-transfusion-service-center","rda","V4"
"blood-transfusion-service-center","rf","V4"
"blood-transfusion-service-center","rpart","V2"
"blood-transfusion-service-center","simpls","V3"
"blood-transfusion-service-center","svmLinear","V1"
"blood-transfusion-service-center","svmRadial","V4"
"blood-transfusion-service-center","rfRules","V2"
"blood-transfusion-service-center","knn","V2"
"blood-transfusion-service-center","bayesglm","V2"
