"dataset_name","technique","most_important_attribute"
"breast-w","C5.0","Clump_Thickness"
"breast-w","ctree","Cell_Size_Uniformity"
"breast-w","fda","Bare_Nuclei"
"breast-w","gbm","Bare_Nuclei"
"breast-w","gcvEarth","Bare_Nuclei"
"breast-w","JRip","Cell_Size_Uniformity"
"breast-w","lvq","Clump_Thickness"
"breast-w","mlpML","Bare_Nuclei"
"breast-w","multinom","Bare_Nuclei"
"breast-w","naive_bayes","Marginal_Adhesion"
"breast-w","PART","Cell_Shape_Uniformity"
"breast-w","rbfDDA","Cell_Size_Uniformity"
"breast-w","rda","Cell_Size_Uniformity"
"breast-w","rf","Bare_Nuclei"
"breast-w","rpart","Cell_Size_Uniformity"
"breast-w","simpls","Bare_Nuclei"
"breast-w","svmLinear","Bare_Nuclei"
"breast-w","svmRadial","Cell_Size_Uniformity"
"breast-w","rfRules","Bare_Nuclei"
"breast-w","knn","Bare_Nuclei"
"breast-w","bayesglm","Bare_Nuclei"
