"dataset_name","technique","most_important_attribute"
"mfeat-karhunen","C5.0","att1"
"mfeat-karhunen","ctree","att1"
"mfeat-karhunen","fda","att1"
"mfeat-karhunen","gbm","att1"
"mfeat-karhunen","gcvEarth","att1"
"mfeat-karhunen","JRip","att1"
"mfeat-karhunen","lvq","att4"
"mfeat-karhunen","mlpML","att1"
"mfeat-karhunen","multinom","att1"
"mfeat-karhunen","naive_bayes","att1"
"mfeat-karhunen","PART","att1"
"mfeat-karhunen","rbfDDA","att7"
"mfeat-karhunen","rda","att2"
"mfeat-karhunen","rf","att1"
"mfeat-karhunen","rpart","att3"
"mfeat-karhunen","simpls","att1"
"mfeat-karhunen","svmLinear","att4"
"mfeat-karhunen","svmRadial","att4"
"mfeat-karhunen","rfRules","att1"
"mfeat-karhunen","knn","att5"
"mfeat-karhunen","bayesglm","att1"
