"dataset_name","technique","most_important_attribute"
"phoneme","C5.0","V1"
"phoneme","ctree","V1"
"phoneme","fda","V4"
"phoneme","gbm","V1"
"phoneme","gcvEarth","V4"
"phoneme","JRip","V1"
"phoneme","lvq","V4"
"phoneme","mlpML","V1"
"phoneme","multinom","V4"
"phoneme","naive_bayes","V4"
"phoneme","PART","V1"
"phoneme","rbfDDA","V3"
"phoneme","rda","V1"
"phoneme","rf","V1"
"phoneme","rpart","V4"
"phoneme","simpls","V4"
"phoneme","svmLinear","V4"
"phoneme","svmRadial","V1"
"phoneme","rfRules","V4"
"phoneme","knn","V3"
"phoneme","bayesglm","V4"
