"dataset_name","technique","most_important_attribute"
"steel-plates-fault","C5.0","V33"
"steel-plates-fault","ctree","V33"
"steel-plates-fault","fda","V33"
"steel-plates-fault","gbm","V33"
"steel-plates-fault","gcvEarth","V33"
"steel-plates-fault","JRip","V33"
"steel-plates-fault","lvq","V33"
"steel-plates-fault","mlpML","V33"
"steel-plates-fault","multinom","V33"
"steel-plates-fault","naive_bayes","V24"
"steel-plates-fault","PART","V33"
"steel-plates-fault","rbfDDA","V33"
"steel-plates-fault","rda","V33"
"steel-plates-fault","rf","V33"
"steel-plates-fault","rpart","V33"
"steel-plates-fault","simpls","V33"
"steel-plates-fault","svmLinear","V33"
"steel-plates-fault","svmRadial","V33"
"steel-plates-fault","rfRules","V33"
"steel-plates-fault","knn","V33"
"steel-plates-fault","bayesglm","V33"
