"dataset_name","technique","most_important_attribute"
"mfeat-pixel","C5.0","att113"
"mfeat-pixel","ctree","att153"
"mfeat-pixel","fda","att57"
"mfeat-pixel","gbm","att113"
"mfeat-pixel","gcvEarth","att57"
"mfeat-pixel","JRip","att168"
"mfeat-pixel","lvq","att1"
"mfeat-pixel","mlpML","att60"
"mfeat-pixel","multinom","att1"
"mfeat-pixel","naive_bayes","att123"
"mfeat-pixel","PART","att153"
"mfeat-pixel","rbfDDA","att220"
"mfeat-pixel","rda","att15"
"mfeat-pixel","rf","att1"
"mfeat-pixel","rpart","att153"
"mfeat-pixel","simpls","att182"
"mfeat-pixel","svmLinear","att1"
"mfeat-pixel","svmRadial","att96"
"mfeat-pixel","rfRules","att153"
"mfeat-pixel","knn","att112"
"mfeat-pixel","bayesglm","att113"
