"dataset_name","technique","most_important_attribute"
"mfeat-zernike","C5.0","att19"
"mfeat-zernike","ctree","att19"
"mfeat-zernike","fda","att19"
"mfeat-zernike","gbm","att19"
"mfeat-zernike","gcvEarth","att19"
"mfeat-zernike","JRip","att19"
"mfeat-zernike","lvq","att19"
"mfeat-zernike","mlpML","att19"
"mfeat-zernike","multinom","att4"
"mfeat-zernike","naive_bayes","att19"
"mfeat-zernike","PART","att19"
"mfeat-zernike","rbfDDA","att19"
"mfeat-zernike","rda","att46"
"mfeat-zernike","rf","att19"
"mfeat-zernike","rpart","att19"
"mfeat-zernike","simpls","att19"
"mfeat-zernike","svmLinear","att19"
"mfeat-zernike","svmRadial","att19"
"mfeat-zernike","rfRules","att29"
"mfeat-zernike","knn","att19"
"mfeat-zernike","bayesglm","att29"
