"dataset_name","technique","most_important_attribute"
"vehicle","C5.0","ELONGATEDNESS"
"vehicle","ctree","ELONGATEDNESS"
"vehicle","fda","SCATTER_RATIO"
"vehicle","gbm","MAX.LENGTH_RECTANGULARITY"
"vehicle","gcvEarth","SCALED_VARIANCE_MINOR"
"vehicle","JRip","SCALED_VARIANCE_MAJOR"
"vehicle","lvq","COMPACTNESS"
"vehicle","mlpML","RADIUS_RATIO"
"vehicle","multinom","SCATTER_RATIO"
"vehicle","naive_bayes","MAX.LENGTH_ASPECT_RATIO"
"vehicle","PART","MAX.LENGTH_ASPECT_RATIO"
"vehicle","rbfDDA","MAX.LENGTH_RECTANGULARITY"
"vehicle","rda","SCALED_VARIANCE_MINOR"
"vehicle","rf","MAX.LENGTH_ASPECT_RATIO"
"vehicle","rpart","ELONGATEDNESS"
"vehicle","simpls","ELONGATEDNESS"
"vehicle","svmLinear","RADIUS_RATIO"
"vehicle","svmRadial","COMPACTNESS"
"vehicle","rfRules","MAX.LENGTH_ASPECT_RATIO"
"vehicle","knn","MAX.LENGTH_RECTANGULARITY"
"vehicle","bayesglm","RADIUS_RATIO"
