"dataset_name","technique","most_important_attribute"
"wdbc","C5.0","V28"
"wdbc","ctree","V28"
"wdbc","fda","V24"
"wdbc","gbm","V22"
"wdbc","gcvEarth","V24"
"wdbc","JRip","V23"
"wdbc","lvq","V22"
"wdbc","mlpML","V22"
"wdbc","multinom","V4"
"wdbc","naive_bayes","V1"
"wdbc","PART","V28"
"wdbc","rbfDDA","V23"
"wdbc","rda","V1"
"wdbc","rf","V14"
"wdbc","rpart","V21"
"wdbc","simpls","V21"
"wdbc","svmLinear","V22"
"wdbc","svmRadial","V22"
"wdbc","rfRules","V24"
"wdbc","knn","V22"
"wdbc","bayesglm","V24"
