"GLCM_Pan","Mean_G","Mean_R","Mean_NIR","SD_Plan","class","dataset_name","altered_attribute","noise_level"
120.362774,195.97,119.395349,416.581395,20.676318,"2","wilt","Mean_G",0.5
124.739583,244.48,115.333333,354.333333,16.707151,"2","wilt","Mean_G",0.5
134.691964,192.37,116.857143,477.857143,22.496712,"2","wilt","Mean_G",0.5
127.946309,220.94,92.368421,278.473684,14.977453,"2","wilt","Mean_G",0.5
135.431548,163.51,112.690476,532.952381,17.604193,"2","wilt","Mean_G",0.5
118.347962,177.7,138.85,608.9,29.072797,"2","wilt","Mean_G",0.5
135.436282,136.38,95.142857,309.190476,13.055264,"2","wilt","Mean_G",0.5
121.169643,215.86,146.214286,595.571429,22.808542,"2","wilt","Mean_G",0.5
131.127161,230.19,144.588235,563.843137,11.948563,"2","wilt","Mean_G",0.5
134.498092,225.79,116.909091,594.848485,27.937685,"2","wilt","Mean_G",0.5
131.164773,148.36,114.727273,483.045455,22.903544,"2","wilt","Mean_G",0.5
136.09596,193.89,111.4,444.6,16.553622,"2","wilt","Mean_G",0.5
122.631902,230.07,142.195122,473.707317,24.521889,"2","wilt","Mean_G",0.5
113.65618,209.23,129.785714,480.857143,29.237766,"2","wilt","Mean_G",0.5
133.894198,187.1,115.513514,419.513514,17.489139,"2","wilt","Mean_G",0.5
131.111498,178.97,125.444444,537.888889,19.434819,"2","wilt","Mean_G",0.5
127.835697,228.08,116.509434,372.132076,23.929111,"2","wilt","Mean_G",0.5
121.61126,178.62,121.06383,338.12766,15.019107,"2","wilt","Mean_G",0.5
106.242105,258.36,140,381.166667,18.903263,"2","wilt","Mean_G",0.5
147.771127,242.49,123.722222,479.166667,23.337037,"2","wilt","Mean_G",0.5
135.823938,161.82,115.09589,332.424658,12.805692,"2","wilt","Mean_G",0.5
134.958974,231.97,141.469388,435.959184,17.606107,"2","wilt","Mean_G",0.5
128.531408,243.56,93.312,296.616,16.932495,"2","wilt","Mean_G",0.5
143.528736,156.61,78.454545,400,10.832306,"2","wilt","Mean_G",0.5
141.109375,173.9,68,242.5,6.753471,"2","wilt","Mean_G",0.5
140.02603,224.84,89.241379,561.310345,23.83759,"2","wilt","Mean_G",0.5
132.58773,229.45,133.058823,579.215686,19.832652,"2","wilt","Mean_G",0.5
121.757895,168.6,92.666667,217.777778,14.055446,"2","wilt","Mean_G",0.5
135.677165,188.88,105.208333,453.333333,16.185073,"2","wilt","Mean_G",0.5
119.457404,174.23,93.145161,227.774194,12.293254,"2","wilt","Mean_G",0.5
124.591944,175.16,89.083333,208.083333,20.352602,"2","wilt","Mean_G",0.5
126.527972,152.93,85.111111,359.777778,11.080513,"2","wilt","Mean_G",0.5
135.024485,144.7,104.55102,270.653061,14.329932,"2","wilt","Mean_G",0.5
142.56579,178.72,89.763889,240.263889,11.29866,"2","wilt","Mean_G",0.5
124.611009,177.05,93.434783,242.608696,9.803702,"2","wilt","Mean_G",0.5
130.84965,203.57,83.402778,342.277778,21.171678,"2","wilt","Mean_G",0.5
133.854167,152.06,78.740741,254.37037,14.175076,"2","wilt","Mean_G",0.5
119.714558,204.74,153.515152,591.015152,25.385987,"2","wilt","Mean_G",0.5
