"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,126.24,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"false","kc1","t",0.5
1,1,1,1,1,1,1,1,1,1,1,419.34,1,1,1,1,1,1,1,1,1,"true","kc1","t",0.5
83,11,1,11,171,927.89,0.04,23.04,40.27,21378.61,0.31,1077.47,65,10,6,0,18,25,107,64,21,"true","kc1","t",0.5
46,8,6,8,141,769.78,0.07,14.86,51.81,11436.73,0.26,125.46,37,2,5,0,16,28,89,52,15,"true","kc1","t",0.5
25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,-88.95,21,0,2,0,11,10,41,17,5,"true","kc1","t",0.5
43,3,1,3,115,569.73,0.09,11.27,50.53,6423.73,0.19,-535.51,35,2,4,0,11,20,74,41,5,"true","kc1","t",0.5
48,6,1,6,149,751.61,0.06,15.43,48.72,11596.34,0.25,1062.85,41,2,2,0,12,21,95,54,11,"true","kc1","t",0.5
69,12,1,12,231,1212.27,0.04,27.27,44.45,33061.94,0.4,2159.13,62,3,2,0,16,22,156,75,23,"true","kc1","t",0.5
47,6,1,6,149,745,0.06,16.2,45.99,12069,0.25,196.71,41,2,1,0,12,20,95,54,11,"true","kc1","t",0.5
48,7,1,7,155,801.34,0.06,17.82,44.97,14278.39,0.27,1048.08,42,2,1,0,14,22,99,56,13,"true","kc1","t",0.5
58,9,1,9,193,1027.13,0.05,20.7,49.62,21261.63,0.34,1250.57,50,2,2,0,15,25,124,69,17,"true","kc1","t",0.5
65,6,1,5,155,801.34,0.05,19.73,40.62,15808.22,0.27,1350.55,54,4,5,0,14,22,93,62,11,"true","kc1","t",0.5
116,11,4,8,289,1700.08,0.04,26.6,63.91,45222.23,0.57,2880.61,88,14,12,0,19,40,177,112,21,"true","kc1","t",0.5
24,4,1,4,74,347.83,0.09,11.37,30.6,3953.7,0.12,157.17,20,0,0,0,11,15,43,31,7,"true","kc1","t",0.5
77,19,12,19,231,1245.63,0.03,29.25,42.59,36434.54,0.42,1607.43,61,7,7,0,18,24,153,78,37,"true","kc1","t",0.5
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,203.13,5,0,0,0,7,5,8,5,1,"true","kc1","t",0.5
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,345.16,13,0,1,0,8,14,24,19,3,"true","kc1","t",0.5
93,7,3,6,257,1499.05,0.03,29.86,50.21,44757.43,0.5,2706.78,71,4,15,0,22,35,162,95,12,"true","kc1","t",0.5
23,1,1,1,67,307.19,0.21,4.74,64.87,1454.65,0.1,-50.16,18,0,1,0,7,17,44,23,1,"true","kc1","t",0.5
30,1,1,1,21,85.84,0.3,3.33,25.75,286.12,0.03,39.8,18,0,1,0,5,12,5,16,1,"true","kc1","t",0.5
30,1,1,1,54,108,0.03,39,2.77,4212,0.04,333.56,28,0,0,0,3,1,28,26,1,"true","kc1","t",0.5
35,3,1,3,108,529.94,0.08,13,40.76,6889.27,0.18,838.64,30,0,3,0,12,18,69,39,5,"true","kc1","t",0.5
25,4,1,4,57,232.99,0.07,13.5,17.26,3145.3,0.08,789.09,20,0,3,0,9,8,33,24,7,"true","kc1","t",0.5
20,7,7,3,54,240.81,0.1,9.58,25.13,2307.76,0.08,231.62,14,0,1,0,10,12,31,23,13,"true","kc1","t",0.5
119,14,1,14,289,1605.28,0.03,30.72,52.25,49320.73,0.54,2507.85,85,26,6,0,18,29,190,99,27,"true","kc1","t",0.5
35,4,1,4,78,362.22,0.07,14.31,25.32,5182.54,0.12,-85.13,31,0,2,0,12,13,47,31,7,"true","kc1","t",0.5
33,4,1,4,73,334.7,0.07,14.5,23.08,4853.18,0.11,512.79,30,0,1,0,12,12,44,29,7,"true","kc1","t",0.5
17,2,1,2,25,92.51,0.16,6.4,14.45,592.07,0.03,-174.22,12,0,3,0,8,5,17,8,3,"true","kc1","t",0.5
44,3,1,3,127,603.87,0.06,16,37.74,9661.93,0.2,28.13,38,2,2,0,12,15,87,40,5,"true","kc1","t",0.5
84,15,9,15,230,1347.34,0.04,25.26,53.35,34029.33,0.45,1591.75,72,0,10,0,21,37,141,89,29,"true","kc1","t",0.5
56,3,1,3,150,769.39,0.07,14.09,54.62,10838.4,0.26,65.85,43,3,4,0,12,23,96,54,5,"true","kc1","t",0.5
58,3,1,3,191,1016.49,0.05,21,48.4,21346.25,0.34,617.56,46,2,3,0,15,25,121,70,5,"true","kc1","t",0.5
78,7,1,6,213,1189.6,0.06,17.71,67.19,21062.86,0.4,1804.91,66,4,6,0,14,34,127,86,13,"true","kc1","t",0.5
75,8,3,8,250,1356.57,0.03,29.1,46.62,39470.86,0.45,2774.88,63,5,5,0,17,26,161,89,15,"true","kc1","t",0.5
12,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,475.34,6,1,3,0,5,6,14,8,1,"true","kc1","t",0.5
11,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,-234.95,6,1,2,0,5,6,14,8,1,"true","kc1","t",0.5
69,10,1,10,199,1059.06,0.04,25,42.36,26476.59,0.35,1173.86,54,7,6,0,16,24,124,75,19,"true","kc1","t",0.5
39,5,3,5,86,430,0.09,11.67,36.86,5016.67,0.14,-377.86,33,1,1,0,14,18,56,30,8,"true","kc1","t",0.5
53,5,1,5,113,579.61,0.1,9.65,60.05,5594.49,0.19,560.24,47,0,0,0,12,23,76,37,8,"true","kc1","t",0.5
52,5,1,5,107,544.36,0.1,9.82,55.44,5344.61,0.18,706.74,46,0,1,0,12,22,71,36,8,"true","kc1","t",0.5
