"Wifes_age","Wifes_education","Husbands_education","Number_of_children_ever_born","Wifes_religion","Wifes_now_working","Husbands_occupation","Standard_of_living_index","Media_exposure","class","dataset_name","altered_attribute","noise_level"
24,"2","3",-0.41,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",1
45,"1","3",7.37,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",1
43,"2","3",7.26,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",1
42,"3","2",7.88,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",1
36,"3","3",10.19,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",1
19,"4","4",-4.45,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",1
38,"2","3",6.75,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",1
21,"3","3",2.23,"1","0","3","2","0","P","cmc","Number_of_children_ever_born",1
27,"2","3",6.03,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",1
45,"1","1",5.42,"1","1","2","2","1","P","cmc","Number_of_children_ever_born",1
38,"1","3",0.87,"1","0","3","3","1","P","cmc","Number_of_children_ever_born",1
42,"1","4",3.9,"1","1","1","3","0","P","cmc","Number_of_children_ever_born",1
44,"4","4",2.04,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",1
42,"2","4",-0.19,"1","0","3","3","0","P","cmc","Number_of_children_ever_born",1
38,"3","4",-1.6,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",1
26,"2","4",-1.06,"1","1","4","1","0","P","cmc","Number_of_children_ever_born",1
48,"1","1",10.16,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",1
39,"2","2",6.16,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",1
37,"2","2",9.64,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",1
39,"2","1",4.4,"1","1","2","1","1","P","cmc","Number_of_children_ever_born",1
26,"3","4",-1.15,"1","0","4","1","0","P","cmc","Number_of_children_ever_born",1
24,"3","4",-1.42,"1","0","3","1","0","P","cmc","Number_of_children_ever_born",1
46,"4","4",-0.71,"0","1","1","4","0","P","cmc","Number_of_children_ever_born",1
39,"4","4",3.15,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",1
48,"4","4",5.36,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",1
40,"2","4",4.14,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",1
38,"4","4",3.6,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",1
29,"4","4",2,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",1
24,"4","4",-2.12,"1","0","2","2","0","P","cmc","Number_of_children_ever_born",1
43,"1","2",8.53,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",1
31,"3","4",5.2,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",1
31,"4","4",0.28,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",1
