"Wifes_age","Wifes_education","Husbands_education","Number_of_children_ever_born","Wifes_religion","Wifes_now_working","Husbands_occupation","Standard_of_living_index","Media_exposure","class","dataset_name","altered_attribute","noise_level"
24,"2","3",2.85,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",0.1
45,"1","3",10.04,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.1
43,"2","3",6.8,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.1
42,"3","2",9.38,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.1
36,"3","3",8.08,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.1
19,"4","4",-0.19,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.1
38,"2","3",6.11,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.1
21,"3","3",1.17,"1","0","3","2","0","P","cmc","Number_of_children_ever_born",0.1
27,"2","3",3.14,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.1
45,"1","1",7.93,"1","1","2","2","1","P","cmc","Number_of_children_ever_born",0.1
38,"1","3",2.36,"1","0","3","3","1","P","cmc","Number_of_children_ever_born",0.1
42,"1","4",4.09,"1","1","1","3","0","P","cmc","Number_of_children_ever_born",0.1
44,"4","4",0.85,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.1
42,"2","4",0.48,"1","0","3","3","0","P","cmc","Number_of_children_ever_born",0.1
38,"3","4",2.27,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",0.1
26,"2","4",-0.01,"1","1","4","1","0","P","cmc","Number_of_children_ever_born",0.1
48,"1","1",7,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.1
39,"2","2",6.22,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.1
37,"2","2",8.19,"1","1","2","3","0","P","cmc","Number_of_children_ever_born",0.1
39,"2","1",5.14,"1","1","2","1","1","P","cmc","Number_of_children_ever_born",0.1
26,"3","4",1.22,"1","0","4","1","0","P","cmc","Number_of_children_ever_born",0.1
24,"3","4",0.18,"1","0","3","1","0","P","cmc","Number_of_children_ever_born",0.1
46,"4","4",1.02,"0","1","1","4","0","P","cmc","Number_of_children_ever_born",0.1
39,"4","4",0.53,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",0.1
48,"4","4",5.15,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",0.1
40,"2","4",7.99,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.1
38,"4","4",0.96,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.1
29,"4","4",-0.35,"1","0","1","4","0","P","cmc","Number_of_children_ever_born",0.1
24,"4","4",-0.11,"1","0","2","2","0","P","cmc","Number_of_children_ever_born",0.1
43,"1","2",8.1,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.1
31,"3","4",2.32,"1","1","1","4","0","P","cmc","Number_of_children_ever_born",0.1
31,"4","4",1.98,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.1
26,"2","4",0.09,"1","0","1","2","0","P","cmc","Number_of_children_ever_born",0.1
33,"2","2",1.99,"1","1","3","1","0","P","cmc","Number_of_children_ever_born",0.1
24,"2","3",0.68,"1","1","3","3","0","P","cmc","Number_of_children_ever_born",0.1
42,"1","3",8.9,"1","1","3","2","1","P","cmc","Number_of_children_ever_born",0.1
43,"1","2",7.91,"1","0","3","1","0","P","cmc","Number_of_children_ever_born",0.1
25,"3","3",3.99,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.1
42,"2","2",3.26,"1","1","3","4","0","P","cmc","Number_of_children_ever_born",0.1
28,"2","2",1.18,"1","1","2","4","0","P","cmc","Number_of_children_ever_born",0.1
28,"1","1",2.96,"1","1","3","1","0","P","cmc","Number_of_children_ever_born",0.1
47,"2","3",-0.06,"1","0","1","3","0","P","cmc","Number_of_children_ever_born",0.1
48,"2","4",2.16,"1","1","1","3","0","P","cmc","Number_of_children_ever_born",0.1
40,"4","4",2.13,"0","1","1","4","0","P","cmc","Number_of_children_ever_born",0.1
28,"2","2",0.84,"1","1","3","2","0","P","cmc","Number_of_children_ever_born",0.1
25,"1","4",0.83,"1","1","2","1","0","P","cmc","Number_of_children_ever_born",0.1
