"loc","v_g","ev_g","iv_g","n","v","l","d","i","e","b","t","lOCode","lOComment","lOBlank","locCodeAndComment","uniq_Op","uniq_Opnd","total_Op","total_Opnd","branchCount","class","dataset_name","altered_attribute","noise_level"
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,805.1,2,2,2,2,1.2,1.2,1.2,1.2,1.4,"false","kc1","t",0.7
1,1,1,1,1,1,1,1,1,1,1,694.75,1,1,1,1,1,1,1,1,1,"true","kc1","t",0.7
83,11,1,11,171,927.89,0.04,23.04,40.27,21378.61,0.31,2409.17,65,10,6,0,18,25,107,64,21,"true","kc1","t",0.7
46,8,6,8,141,769.78,0.07,14.86,51.81,11436.73,0.26,1240.55,37,2,5,0,16,28,89,52,15,"true","kc1","t",0.7
25,3,1,3,58,254.75,0.11,9.35,27.25,2381.95,0.08,577.46,21,0,2,0,11,10,41,17,5,"true","kc1","t",0.7
43,3,1,3,115,569.73,0.09,11.27,50.53,6423.73,0.19,-126.78,35,2,4,0,11,20,74,41,5,"true","kc1","t",0.7
48,6,1,6,149,751.61,0.06,15.43,48.72,11596.34,0.25,170.01,41,2,2,0,12,21,95,54,11,"true","kc1","t",0.7
69,12,1,12,231,1212.27,0.04,27.27,44.45,33061.94,0.4,3036.26,62,3,2,0,16,22,156,75,23,"true","kc1","t",0.7
47,6,1,6,149,745,0.06,16.2,45.99,12069,0.25,246.07,41,2,1,0,12,20,95,54,11,"true","kc1","t",0.7
48,7,1,7,155,801.34,0.06,17.82,44.97,14278.39,0.27,52.59,42,2,1,0,14,22,99,56,13,"true","kc1","t",0.7
58,9,1,9,193,1027.13,0.05,20.7,49.62,21261.63,0.34,1303.81,50,2,2,0,15,25,124,69,17,"true","kc1","t",0.7
65,6,1,5,155,801.34,0.05,19.73,40.62,15808.22,0.27,924.56,54,4,5,0,14,22,93,62,11,"true","kc1","t",0.7
116,11,4,8,289,1700.08,0.04,26.6,63.91,45222.23,0.57,3013.92,88,14,12,0,19,40,177,112,21,"true","kc1","t",0.7
24,4,1,4,74,347.83,0.09,11.37,30.6,3953.7,0.12,1327.83,20,0,0,0,11,15,43,31,7,"true","kc1","t",0.7
77,19,12,19,231,1245.63,0.03,29.25,42.59,36434.54,0.42,2578.46,61,7,7,0,18,24,153,78,37,"true","kc1","t",0.7
9,1,1,1,13,46.6,0.29,3.5,13.32,163.12,0.02,-689.21,5,0,0,0,7,5,8,5,1,"true","kc1","t",0.7
16,2,1,2,43,191.76,0.18,5.43,35.32,1040.96,0.06,-648.34,13,0,1,0,8,14,24,19,3,"true","kc1","t",0.7
93,7,3,6,257,1499.05,0.03,29.86,50.21,44757.43,0.5,1670.19,71,4,15,0,22,35,162,95,12,"true","kc1","t",0.7
23,1,1,1,67,307.19,0.21,4.74,64.87,1454.65,0.1,146.52,18,0,1,0,7,17,44,23,1,"true","kc1","t",0.7
30,1,1,1,21,85.84,0.3,3.33,25.75,286.12,0.03,15.14,18,0,1,0,5,12,5,16,1,"true","kc1","t",0.7
30,1,1,1,54,108,0.03,39,2.77,4212,0.04,655.54,28,0,0,0,3,1,28,26,1,"true","kc1","t",0.7
35,3,1,3,108,529.94,0.08,13,40.76,6889.27,0.18,-500.48,30,0,3,0,12,18,69,39,5,"true","kc1","t",0.7
25,4,1,4,57,232.99,0.07,13.5,17.26,3145.3,0.08,228.76,20,0,3,0,9,8,33,24,7,"true","kc1","t",0.7
20,7,7,3,54,240.81,0.1,9.58,25.13,2307.76,0.08,419.72,14,0,1,0,10,12,31,23,13,"true","kc1","t",0.7
119,14,1,14,289,1605.28,0.03,30.72,52.25,49320.73,0.54,2927.02,85,26,6,0,18,29,190,99,27,"true","kc1","t",0.7
35,4,1,4,78,362.22,0.07,14.31,25.32,5182.54,0.12,67.16,31,0,2,0,12,13,47,31,7,"true","kc1","t",0.7
33,4,1,4,73,334.7,0.07,14.5,23.08,4853.18,0.11,-504.66,30,0,1,0,12,12,44,29,7,"true","kc1","t",0.7
17,2,1,2,25,92.51,0.16,6.4,14.45,592.07,0.03,-593.83,12,0,3,0,8,5,17,8,3,"true","kc1","t",0.7
44,3,1,3,127,603.87,0.06,16,37.74,9661.93,0.2,789.71,38,2,2,0,12,15,87,40,5,"true","kc1","t",0.7
84,15,9,15,230,1347.34,0.04,25.26,53.35,34029.33,0.45,2162.4,72,0,10,0,21,37,141,89,29,"true","kc1","t",0.7
56,3,1,3,150,769.39,0.07,14.09,54.62,10838.4,0.26,510.34,43,3,4,0,12,23,96,54,5,"true","kc1","t",0.7
58,3,1,3,191,1016.49,0.05,21,48.4,21346.25,0.34,1160.57,46,2,3,0,15,25,121,70,5,"true","kc1","t",0.7
78,7,1,6,213,1189.6,0.06,17.71,67.19,21062.86,0.4,1403.35,66,4,6,0,14,34,127,86,13,"true","kc1","t",0.7
75,8,3,8,250,1356.57,0.03,29.1,46.62,39470.86,0.45,2763.6,63,5,5,0,17,26,161,89,15,"true","kc1","t",0.7
12,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,-1140.42,6,1,3,0,5,6,14,8,1,"true","kc1","t",0.7
11,1,1,1,22,76.11,0.3,3.33,22.83,253.69,0.03,-55.32,6,1,2,0,5,6,14,8,1,"true","kc1","t",0.7
69,10,1,10,199,1059.06,0.04,25,42.36,26476.59,0.35,154.64,54,7,6,0,16,24,124,75,19,"true","kc1","t",0.7
39,5,3,5,86,430,0.09,11.67,36.86,5016.67,0.14,337.82,33,1,1,0,14,18,56,30,8,"true","kc1","t",0.7
53,5,1,5,113,579.61,0.1,9.65,60.05,5594.49,0.19,866.54,47,0,0,0,12,23,76,37,8,"true","kc1","t",0.7
52,5,1,5,107,544.36,0.1,9.82,55.44,5344.61,0.18,-530.67,46,0,1,0,12,22,71,36,8,"true","kc1","t",0.7
30,2,1,2,74,330,0.08,12.5,26.4,4124.97,0.11,-1133.86,24,2,2,0,10,12,44,30,3,"true","kc1","t",0.7
27,3,1,3,77,394.95,0.14,7.1,55.59,2805.82,0.13,-473.26,22,0,3,0,11,24,46,31,5,"true","kc1","t",0.7
47,7,1,6,105,525,0.08,12.05,43.58,6323.86,0.18,418.44,43,0,2,0,10,22,52,53,13,"true","kc1","t",0.7
49,7,1,6,110,554.88,0.08,12.17,45.58,6755.1,0.18,333.69,44,0,3,0,10,23,54,56,13,"true","kc1","t",0.7
7,1,1,1,14,50.19,0.33,3,16.73,150.57,0.02,660.65,4,0,0,0,6,6,8,6,1,"true","kc1","t",0.7
66,12,5,12,177,922.07,0.05,20.45,45.08,18860.59,0.31,241.02,55,4,5,0,15,22,117,60,23,"true","kc1","t",0.7
14,1,1,1,29,118.54,0.18,5.63,21.07,666.77,0.04,172.22,7,2,2,0,9,8,19,10,1,"true","kc1","t",0.7
29,3,1,3,64,300.83,0.11,9.17,32.82,2757.59,0.1,330.64,25,0,1,0,11,15,39,25,5,"true","kc1","t",0.7
6,1,1,1,14,48.43,0.4,2.5,19.37,121.08,0.02,-838.93,4,0,0,0,5,6,8,6,1,"true","kc1","t",0.7
12,1,1,1,36,140.65,0.19,5.25,26.79,738.4,0.05,-46.93,9,0,0,0,7,8,24,12,1,"true","kc1","t",0.7
38,7,1,7,119,583.92,0.06,16,36.49,9342.72,0.19,710.01,30,0,6,0,12,18,71,48,13,"true","kc1","t",0.7
132,16,11,13,322,2052.76,0.03,29.65,69.24,60862.61,0.68,3286.04,101,7,22,0,26,57,192,130,31,"true","kc1","t",0.7
26,4,1,4,81,418.76,0.08,11.79,35.53,4935.43,0.14,307.55,24,0,0,0,15,21,48,33,7,"true","kc1","t",0.7
56,5,1,4,178,988.72,0.08,13.19,74.95,13042.34,0.33,225.25,48,1,5,0,13,34,109,69,9,"true","kc1","t",0.7
21,1,1,1,76,365.36,0.16,6.2,58.93,2265.23,0.12,778.01,14,0,0,0,8,20,45,31,1,"true","kc1","t",0.7
43,6,5,5,95,508.97,0.05,18.9,26.93,9619.48,0.17,1954.82,30,0,10,0,21,20,59,36,11,"true","kc1","t",0.7
12,4,1,2,44,199.04,0.1,9.82,20.27,1954.18,0.07,-597.05,10,0,0,0,12,11,26,18,7,"true","kc1","t",0.7
11,1,1,1,26,98.99,0.17,6,16.5,593.95,0.03,1557.39,8,0,1,0,8,6,17,9,1,"true","kc1","t",0.7
26,2,1,2,68,319.63,0.14,7.15,44.72,2284.41,0.11,-1195.04,21,0,3,0,9,17,41,27,3,"true","kc1","t",0.7
80,11,1,11,274,1637.77,0.03,28.71,57.05,47016.12,0.55,2771.05,66,2,10,0,22,41,167,107,21,"true","kc1","t",0.7
63,8,1,8,185,1069.55,0.04,24.33,43.95,26025.75,0.36,2187.14,52,2,7,0,22,33,112,73,15,"true","kc1","t",0.7
10,2,1,2,23,87.57,0.08,12.83,6.82,1123.8,0.03,32.08,8,0,0,0,11,3,16,7,3,"true","kc1","t",0.7
9,2,1,1,31,129.27,0.18,5.6,23.08,723.9,0.04,688.35,6,0,0,0,8,10,17,14,3,"true","kc1","t",0.7
35,5,1,4,89,448.95,0.05,20.4,22.01,9158.6,0.15,-378.5,29,1,3,0,18,15,55,34,9,"true","kc1","t",0.7
9,1,1,1,25,92.51,0.4,2.5,37,231.28,0.03,-293.99,7,0,0,0,5,8,17,8,1,"true","kc1","t",0.7
16,2,1,2,35,136.74,0.07,13.75,9.94,1880.19,0.05,1393.8,11,0,1,2,11,4,25,10,3,"true","kc1","t",0.7
5,1,1,1,10,28.07,0.27,3.75,7.49,105.28,0.01,466.17,3,0,0,0,5,2,7,3,1,"true","kc1","t",0.7
16,1,1,1,28,109.39,0.22,4.57,23.93,500.08,0.04,1002.18,11,1,1,0,8,7,20,8,3,"true","kc1","t",0.7
4,1,1,1,7,19.65,0.33,3,6.55,58.95,0.01,111.01,2,0,0,0,6,1,6,1,1,"true","kc1","t",0.7
12,2,1,2,24,88.81,0.29,3.43,25.9,304.49,0.03,486.66,8,2,0,0,6,7,16,8,3,"true","kc1","t",0.7
8,2,1,1,20,74.01,0.19,5.25,14.1,388.55,0.02,-462.58,5,0,0,0,7,6,11,9,3,"true","kc1","t",0.7
4,1,1,1,5,11.61,0.5,2,5.8,23.22,0,71.37,2,0,0,0,4,1,4,1,1,"true","kc1","t",0.7
14,2,1,2,29,120.93,0.15,6.87,17.59,831.38,0.04,-902.21,11,1,0,0,10,8,18,11,3,"true","kc1","t",0.7
56,3,1,2,101,537.51,0.13,7.5,71.67,4031.36,0.18,206.59,33,5,14,0,10,30,56,45,5,"true","kc1","t",0.7
30,2,1,2,55,248.8,0.11,9.17,27.14,2280.63,0.08,334.81,21,0,4,0,11,12,35,20,3,"true","kc1","t",0.7
52,8,1,8,247,1440.72,0.04,23.08,62.43,33247.47,0.48,2236.09,45,0,2,3,18,39,147,100,15,"true","kc1","t",0.7
41,6,3,6,109,572.02,0.05,18.45,31,10553.84,0.19,13.39,35,0,2,0,18,20,68,41,11,"true","kc1","t",0.7
4,1,1,1,1,0,0,0,0,0,0,-383.32,1,1,0,0,1,0,1,0,1,"true","kc1","t",0.7
15,1,1,1,26,101.58,0.29,3.5,29.02,355.53,0.03,-482.67,8,2,3,0,7,8,18,8,1,"true","kc1","t",0.7
9,1,1,1,31,107.24,0.29,3.43,31.28,367.69,0.04,-586.96,7,0,0,0,4,7,19,12,1,"true","kc1","t",0.7
