"variance","skewness","curtosis","entropy","class","dataset_name","altered_attribute","noise_level"
3.6216,10.85,-2.8073,-0.44699,"0","banknote","skewness",0.9
4.5459,-1.22,-2.4586,-1.4621,"0","banknote","skewness",0.9
3.866,-5.36,1.9242,0.10645,"0","banknote","skewness",0.9
3.4566,18.04,-4.0112,-3.5944,"0","banknote","skewness",0.9
0.32924,-8.25,4.5718,-0.9888,"0","banknote","skewness",0.9
4.3684,9.29,-3.9606,-3.1625,"0","banknote","skewness",0.9
3.5912,-0.96,0.72888,0.56421,"0","banknote","skewness",0.9
2.0922,-2.84,8.4636,-0.60216,"0","banknote","skewness",0.9
3.2032,3.25,-0.75345,-0.61251,"0","banknote","skewness",0.9
1.5356,13.26,-2.2718,-0.73535,"0","banknote","skewness",0.9
1.2247,7.92,-2.2135,-0.80647,"0","banknote","skewness",0.9
3.9899,2.77,2.3946,0.86291,"0","banknote","skewness",0.9
1.8993,-4.92,0.15394,-3.1108,"0","banknote","skewness",0.9
-1.5768,24.47,2.5462,-2.9362,"0","banknote","skewness",0.9
3.404,19.55,-2.9915,-0.57242,"0","banknote","skewness",0.9
4.6765,-8.3,3.4896,1.4771,"0","banknote","skewness",0.9
2.6719,-3.8,0.37158,0.58619,"0","banknote","skewness",0.9
0.80355,3.44,4.3439,0.6017,"0","banknote","skewness",0.9
1.4479,-0.74,8.3428,-2.1086,"0","banknote","skewness",0.9
5.2423,3.62,-4.353,-4.1013,"0","banknote","skewness",0.9
5.7867,-2.2,-2.6196,-0.48708,"0","banknote","skewness",0.9
0.3292,-4.45,4.5718,-0.9888,"0","banknote","skewness",0.9
3.9362,16.53,-3.8235,-4.0172,"0","banknote","skewness",0.9
0.93584,9.6,-1.6831,-1.6599,"0","banknote","skewness",0.9
4.4338,9.87,-4.6795,-3.7483,"0","banknote","skewness",0.9
0.7057,-5.14,8.3368,-2.8715,"0","banknote","skewness",0.9
1.1432,-5.61,5.5777,-0.63578,"0","banknote","skewness",0.9
-0.38214,14.05,2.1624,-3.7405,"0","banknote","skewness",0.9
6.5633,9.71,-4.4113,-3.2258,"0","banknote","skewness",0.9
4.8906,-5.77,3.4202,1.0905,"0","banknote","skewness",0.9
-0.24811,1.83,4.9068,0.15429,"0","banknote","skewness",0.9
1.4884,-1.53,3.308,0.48921,"0","banknote","skewness",0.9
4.2969,10.39,-2.3874,-0.96164,"0","banknote","skewness",0.9
-0.96511,12.76,1.7305,-4.8629,"0","banknote","skewness",0.9
-1.6162,-6.55,8.1628,0.60817,"0","banknote","skewness",0.9
2.4391,13.8,-0.80743,-0.69139,"0","banknote","skewness",0.9
2.6881,-1.2,-0.46641,-0.69268,"0","banknote","skewness",0.9
3.6289,-7.41,1.6277,0.77627,"0","banknote","skewness",0.9
4.5679,5.4,-2.1055,0.29653,"0","banknote","skewness",0.9
3.4805,13.97,-3.7541,-3.4379,"0","banknote","skewness",0.9
4.1711,6.73,-3.0224,-0.59699,"0","banknote","skewness",0.9
-0.2062,3.73,-3.7044,-6.8103,"0","banknote","skewness",0.9
-0.00689189999999999,-1.11,-0.41243,-1.9638,"0","banknote","skewness",0.9
0.96441,6.16,2.3235,0.066365,"0","banknote","skewness",0.9
2.8561,8.7,-0.79372,0.48403,"0","banknote","skewness",0.9
-0.7869,5.62,-3.7867,-7.5034,"0","banknote","skewness",0.9
2.0843,8.47,0.48382,-2.2134,"0","banknote","skewness",0.9
-0.7869,5.71,-3.7867,-7.5034,"0","banknote","skewness",0.9
3.9102,10.02,-2.4534,-0.68234,"0","banknote","skewness",0.9
1.6349,3.58,2.8753,0.087054,"0","banknote","skewness",0.9
4.3239,2.88,3.4356,-0.5776,"0","banknote","skewness",0.9
5.262,4.26,-1.5572,1.0103,"0","banknote","skewness",0.9
3.1452,9.64,-0.51439,-1.4944,"0","banknote","skewness",0.9
2.549,16.63,-1.1605,-1.2371,"0","banknote","skewness",0.9
4.9264,8.42,-2.4774,-0.50648,"0","banknote","skewness",0.9
4.8265,9.31,1.6371,1.1875,"0","banknote","skewness",0.9
2.5635,4.19,-0.61979,0.38576,"0","banknote","skewness",0.9
