"Feature_0","Feature_1","Feature_2","Feature_3","Feature_4","Feature_5","Feature_6","Feature_7","Feature_8","Feature_9","class","dataset_name","altered_attribute","noise_level"
-3.639,0.418,-0.67,1.779,-0.168,1.66,-0.388,0.529,-0.874,-0.814,"P","vowel","Feature_5",0.1
-3.327,0.496,-0.694,1.365,-0.265,1.97,-0.363,0.51,-0.621,-0.488,"N","vowel","Feature_5",0.1
-2.12,0.894,-1.576,0.147,-0.707,1.52,-0.579,0.676,-0.809,-0.049,"N","vowel","Feature_5",0.1
-2.287,1.809,-1.498,1.012,-1.053,1.13,-0.567,0.235,-0.091,-0.795,"N","vowel","Feature_5",0.1
-2.598,1.938,-0.846,1.062,-1.633,0.82,0.394,-0.15,0.277,-0.396,"N","vowel","Feature_5",0.1
-2.852,1.914,-0.755,0.825,-1.588,0.94,0.217,-0.246,0.238,-0.365,"N","vowel","Feature_5",0.1
-3.482,2.524,-0.433,1.048,-1.995,0.85,0.322,0.45,0.377,-0.366,"N","vowel","Feature_5",0.1
-3.941,2.305,0.124,1.771,-1.815,0.65,-0.435,0.992,0.575,-0.301,"N","vowel","Feature_5",0.1
-3.86,2.116,-0.939,0.688,-0.675,1.67,-0.512,0.928,-0.167,-0.434,"N","vowel","Feature_5",0.1
-3.648,1.812,-1.378,1.578,0.065,1.63,-0.466,0.702,0.06,-0.836,"N","vowel","Feature_5",0.1
-3.032,1.739,-1.141,0.737,-0.834,1.38,-0.575,0.679,-0.018,-0.823,"N","vowel","Feature_5",0.1
-3.653,0.373,-0.6,1.705,-0.222,1.78,-0.353,0.537,-0.797,-0.813,"P","vowel","Feature_5",0.1
-3.237,0.436,-0.86,1.363,-0.251,1.85,-0.395,0.751,-0.774,-0.327,"N","vowel","Feature_5",0.1
-2.135,0.954,-1.632,0.121,-0.704,1.66,-0.628,0.713,-0.903,-0.027,"N","vowel","Feature_5",0.1
-2.304,1.784,-1.506,0.981,-0.961,0.72,-0.294,-0.002,0.119,-0.76,"N","vowel","Feature_5",0.1
-2.54,2.144,-1.024,0.933,-1.567,1.06,0.188,-0.047,0.309,-0.633,"N","vowel","Feature_5",0.1
-2.826,2.003,-0.738,0.801,-1.669,0.93,0.245,-0.257,0.256,-0.458,"N","vowel","Feature_5",0.1
-3.582,2.374,-0.358,1.162,-1.953,0.53,0.339,0.355,0.415,-0.259,"N","vowel","Feature_5",0.1
-3.951,2.25,0.127,1.772,-1.906,0.46,-0.432,1.045,0.598,-0.293,"N","vowel","Feature_5",0.1
-3.783,1.974,-1.2,0.606,-0.65,1.37,-0.134,0.528,0.392,-0.58,"N","vowel","Feature_5",0.1
