"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.4,-0.31,"Iris_setosa","iris","petalwidth",0.5
4.9,3,1.4,0.18,"Iris_setosa","iris","petalwidth",0.5
4.7,3.2,1.3,1.03,"Iris_setosa","iris","petalwidth",0.5
4.6,3.1,1.5,0.74,"Iris_setosa","iris","petalwidth",0.5
5,3.6,1.4,0.27,"Iris_setosa","iris","petalwidth",0.5
5.4,3.9,1.7,0.15,"Iris_setosa","iris","petalwidth",0.5
4.6,3.4,1.4,1.08,"Iris_setosa","iris","petalwidth",0.5
5,3.4,1.5,0.11,"Iris_setosa","iris","petalwidth",0.5
4.4,2.9,1.4,-0.14,"Iris_setosa","iris","petalwidth",0.5
4.9,3.1,1.5,-0.42,"Iris_setosa","iris","petalwidth",0.5
5.4,3.7,1.5,-0.02,"Iris_setosa","iris","petalwidth",0.5
4.8,3.4,1.6,0.84,"Iris_setosa","iris","petalwidth",0.5
4.8,3,1.4,0.51,"Iris_setosa","iris","petalwidth",0.5
4.3,3,1.1,0.31,"Iris_setosa","iris","petalwidth",0.5
5.8,4,1.2,-0.42,"Iris_setosa","iris","petalwidth",0.5
5.7,4.4,1.5,0.3,"Iris_setosa","iris","petalwidth",0.5
5.4,3.9,1.3,0.82,"Iris_setosa","iris","petalwidth",0.5
5.1,3.5,1.4,0.18,"Iris_setosa","iris","petalwidth",0.5
5.7,3.8,1.7,0.04,"Iris_setosa","iris","petalwidth",0.5
5.1,3.8,1.5,0.32,"Iris_setosa","iris","petalwidth",0.5
5.4,3.4,1.7,-0.07,"Iris_setosa","iris","petalwidth",0.5
5.1,3.7,1.5,0.26,"Iris_setosa","iris","petalwidth",0.5
4.6,3.6,1,1.11,"Iris_setosa","iris","petalwidth",0.5
5.1,3.3,1.7,0.71,"Iris_setosa","iris","petalwidth",0.5
4.8,3.4,1.9,0.68,"Iris_setosa","iris","petalwidth",0.5
5,3,1.6,0.22,"Iris_setosa","iris","petalwidth",0.5
