"sepallength","sepalwidth","petallength","petalwidth","class","dataset_name","altered_attribute","noise_level"
5.1,3.5,1.1,0.2,"Iris_setosa","iris","petallength",0.5
4.9,3,2.73,0.2,"Iris_setosa","iris","petallength",0.5
4.7,3.2,1.77,0.2,"Iris_setosa","iris","petallength",0.5
4.6,3.1,1.98,0.2,"Iris_setosa","iris","petallength",0.5
5,3.6,1.28,0.2,"Iris_setosa","iris","petallength",0.5
5.4,3.9,0.7,0.4,"Iris_setosa","iris","petallength",0.5
4.6,3.4,0.08,0.3,"Iris_setosa","iris","petallength",0.5
5,3.4,1.3,0.2,"Iris_setosa","iris","petallength",0.5
4.4,2.9,3.17,0.2,"Iris_setosa","iris","petallength",0.5
4.9,3.1,1.7,0.1,"Iris_setosa","iris","petallength",0.5
5.4,3.7,1.65,0.2,"Iris_setosa","iris","petallength",0.5
4.8,3.4,1.89,0.2,"Iris_setosa","iris","petallength",0.5
4.8,3,1.06,0.1,"Iris_setosa","iris","petallength",0.5
4.3,3,-0.13,0.1,"Iris_setosa","iris","petallength",0.5
5.8,4,3.56,0.2,"Iris_setosa","iris","petallength",0.5
5.7,4.4,1.13,0.4,"Iris_setosa","iris","petallength",0.5
5.4,3.9,1.04,0.4,"Iris_setosa","iris","petallength",0.5
5.1,3.5,-0.18,0.3,"Iris_setosa","iris","petallength",0.5
5.7,3.8,1.48,0.3,"Iris_setosa","iris","petallength",0.5
5.1,3.8,1.28,0.3,"Iris_setosa","iris","petallength",0.5
5.4,3.4,1.47,0.2,"Iris_setosa","iris","petallength",0.5
5.1,3.7,-0.08,0.4,"Iris_setosa","iris","petallength",0.5
4.6,3.6,2.57,0.2,"Iris_setosa","iris","petallength",0.5
5.1,3.3,3.26,0.5,"Iris_setosa","iris","petallength",0.5
4.8,3.4,2.51,0.2,"Iris_setosa","iris","petallength",0.5
5,3,0.63,0.2,"Iris_setosa","iris","petallength",0.5
5,3.4,2.23,0.4,"Iris_setosa","iris","petallength",0.5
5.2,3.5,1.28,0.2,"Iris_setosa","iris","petallength",0.5
5.2,3.4,1.12,0.2,"Iris_setosa","iris","petallength",0.5
4.7,3.2,2.8,0.2,"Iris_setosa","iris","petallength",0.5
4.8,3.1,0.52,0.2,"Iris_setosa","iris","petallength",0.5
5.4,3.4,1.05,0.4,"Iris_setosa","iris","petallength",0.5
5.2,4.1,0.85,0.1,"Iris_setosa","iris","petallength",0.5
5.5,4.2,1.42,0.2,"Iris_setosa","iris","petallength",0.5
4.9,3.1,0.11,0.1,"Iris_setosa","iris","petallength",0.5
5,3.2,0.58,0.2,"Iris_setosa","iris","petallength",0.5
5.5,3.5,1.93,0.2,"Iris_setosa","iris","petallength",0.5
4.9,3.1,1.91,0.1,"Iris_setosa","iris","petallength",0.5
4.4,3,0.44,0.2,"Iris_setosa","iris","petallength",0.5
5.1,3.4,1.99,0.2,"Iris_setosa","iris","petallength",0.5
5,3.5,-0.85,0.3,"Iris_setosa","iris","petallength",0.5
4.5,2.3,1,0.3,"Iris_setosa","iris","petallength",0.5
