dataset,method,noise_levels,instance_level,original_kappa_loss,train_noise_kappa_loss,kappa_loss_diff,original_accuracy,train_noise_accuracy,accuracy_diff
analcatdata_authorship,C5.0,0.1,0.1,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.2,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.25,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.3,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.4,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.5,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.6,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.7,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.1,0.75,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,C5.0,0.1,0.8,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,C5.0,0.1,0.9,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,C5.0,0.1,1,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,C5.0,0.2,0.1,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,C5.0,0.2,0.2,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,C5.0,0.2,0.25,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,C5.0,0.2,0.3,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,C5.0,0.2,0.4,0.008,0,-0.008,0.996,1,0.004
analcatdata_authorship,C5.0,0.2,0.5,0.008,0.003,-0.005,0.996,0.999,0.003
analcatdata_authorship,C5.0,0.2,0.6,0.008,0.003,-0.005,0.996,0.999,0.003
analcatdata_authorship,C5.0,0.2,0.7,0.008,0.003,-0.005,0.996,0.999,0.003
analcatdata_authorship,C5.0,0.2,0.75,0.008,0.003,-0.005,0.996,0.999,0.003
analcatdata_authorship,C5.0,0.2,0.8,0.008,0.003,-0.005,0.996,0.999,0.003
analcatdata_authorship,C5.0,0.2,0.9,0.008,0.005,-0.003,0.996,0.998,0.002
analcatdata_authorship,C5.0,0.2,1,0.008,0.005,-0.003,0.996,0.998,0.002
analcatdata_authorship,C5.0,0.3,0.1,0.002,0,-0.002,0.999,1,0.001
analcatdata_authorship,C5.0,0.3,0.2,0.002,0.003,0.001,0.999,0.999,0
analcatdata_authorship,C5.0,0.3,0.25,0.002,0.005,0.003,0.999,0.998,-0.001
analcatdata_authorship,C5.0,0.3,0.3,0.002,0.005,0.003,0.999,0.998,-0.001
analcatdata_authorship,C5.0,0.3,0.4,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,C5.0,0.3,0.5,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,C5.0,0.3,0.6,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,C5.0,0.3,0.7,0.008,0.008,0,0.996,0.996,0
analcatdata_authorship,C5.0,0.3,0.75,0.008,0.008,0,0.996,0.996,0
analcatdata_authorship,C5.0,0.3,0.8,0.008,0.008,0,0.996,0.996,0
analcatdata_authorship,C5.0,0.3,0.9,0.01,0.01,0,0.995,0.995,0
analcatdata_authorship,C5.0,0.3,1,0.01,0.01,0,0.995,0.995,0
analcatdata_authorship,JRip,0.1,0.1,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,JRip,0.1,0.2,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,JRip,0.1,0.25,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,JRip,0.1,0.3,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,JRip,0.1,0.4,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,JRip,0.1,0.5,0.003,0,-0.003,0.999,1,0.001
analcatdata_authorship,JRip,0.1,0.6,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,JRip,0.1,0.7,0.008,0,-0.008,0.996,1,0.004
analcatdata_authorship,JRip,0.1,0.75,0.008,0,-0.008,0.996,1,0.004
analcatdata_authorship,JRip,0.1,0.8,0.01,0,-0.01,0.995,1,0.005
analcatdata_authorship,JRip,0.1,0.9,0.01,0,-0.01,0.995,1,0.005
analcatdata_authorship,JRip,0.1,1,0.01,0,-0.01,0.995,1,0.005
analcatdata_authorship,JRip,0.2,0.1,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,JRip,0.2,0.2,0.005,0,-0.005,0.998,1,0.002
analcatdata_authorship,JRip,0.2,0.25,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.2,0.3,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.2,0.4,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.2,0.5,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,JRip,0.2,0.6,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,JRip,0.2,0.7,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,JRip,0.2,0.75,0.005,0.01,0.005,0.998,0.995,-0.003
analcatdata_authorship,JRip,0.2,0.8,0.005,0.01,0.005,0.998,0.995,-0.003
analcatdata_authorship,JRip,0.2,0.9,0.008,0.01,0.002,0.996,0.995,-0.001
analcatdata_authorship,JRip,0.2,1,0.008,0.01,0.002,0.996,0.995,-0.001
analcatdata_authorship,JRip,0.3,0.1,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,JRip,0.3,0.2,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.3,0.25,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.3,0.3,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.3,0.4,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.3,0.5,0.005,0.003,-0.002,0.998,0.999,0.001
analcatdata_authorship,JRip,0.3,0.6,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,JRip,0.3,0.7,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,JRip,0.3,0.75,0.005,0.008,0.003,0.998,0.996,-0.002
analcatdata_authorship,JRip,0.3,0.8,0.008,0.008,0,0.996,0.996,0
analcatdata_authorship,JRip,0.3,0.9,0.01,0.008,-0.002,0.995,0.996,0.001
analcatdata_authorship,JRip,0.3,1,0.01,0.01,0,0.995,0.995,0
analcatdata_authorship,PART,0.1,0.1,0,0.003,0.003,1,0.999,-0.001
analcatdata_authorship,PART,0.1,0.2,0.003,0.003,0,0.999,0.999,0
analcatdata_authorship,PART,0.1,0.25,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,PART,0.1,0.3,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,PART,0.1,0.4,0.003,0.005,0.002,0.999,0.998,-0.001
analcatdata_authorship,PART,0.1,0.5,0.005,0.005,0,0.998,0.998,0
analcatdata_authorship,PART,0.1,0.6,0.008,0.005,-0.003,0.996,0.998,0.002
