"dataset_name","most_important_attribute"
"mfeat-pixel","att113"
"mfeat-pixel","att153"
"mfeat-pixel","att57"
"mfeat-pixel","att168"
"mfeat-pixel","att1"
"mfeat-pixel","att60"
"mfeat-pixel","att123"
"mfeat-pixel","att220"
"mfeat-pixel","att15"
"mfeat-pixel","att182"
"mfeat-pixel","att96"
"mfeat-pixel","att112"
"monks-problems-2","attr6"
"monks-problems-2","attr3"
"monks-problems-2","attr1"
"monks-problems-2","attr5"
"monks-problems-2","attr2"
"steel-plates-fault","V33"
"steel-plates-fault","V24"
"vehicle","ELONGATEDNESS"
"vehicle","SCATTER_RATIO"
"vehicle","MAX.LENGTH_RECTANGULARITY"
"vehicle","SCALED_VARIANCE_MINOR"
"vehicle","SCALED_VARIANCE_MAJOR"
"vehicle","COMPACTNESS"
"vehicle","RADIUS_RATIO"
"vehicle","MAX.LENGTH_ASPECT_RATIO"
"wall-robot-navigation","V15"
